Country/region,Legislation title,Legislation reference,Year of enactment,Year of last amendment,Year of consultation,Source,Tag
Switzerland,Ordinance for the Reduction of CO2 Emissions (CO2 Ordinance),SR 641.711,,,,,
Switzerland,Federal Act on the Reduction of CO2,SR 641.71,2013,,2015,https://www.admin.ch/opc/en/classified-compilation/20091310/index.html,SW-FARC
British Columbia,British Columbia Carbon Tax Act,SBC 2008 - Chapter 40,2008,,2015,http://www.bclaws.ca/Recon/document/ID/freeside/00_08040_01,BC-CTA
France,Projet de Loi de Finance,1395,2014,,2015,http://www.assemblee-nationale.fr/14/projets/pl1395.asp,FR-PLF
Connecticut,Air pollution control,2012 Supplement to the general statutes of connecticut - Title 22a Environmental Protection - Chapter 446c Air Pollution Control,2012,,2015,https://www.cga.ct.gov/2012/sup/chap446c.htm#Sec22a-200c.htm,CT-APC
Connecticut,Control of Carbon Dioxide Emissions/Carbon Dioxide Budget Trading Program,Section 22a-174-31. ,2013,,2015,,CT-CCDE
Delaware,TITLE 7 Conservation Natural ResourcesCHAPTER 60. ENVIRONMENTAL CONTROL Subchapter II-A. Regional Greenhouse Gas Initiative and CO2 Emission Trading Program,As amended by SENATE BILL NO. 263,2013,,2015,,DE-T7
Maine,Title 38 - Chapter 3-B: REGIONAL GREENHOUSE GAS INITIATIVE,,,,,http://www.mainelegislature.org/legis/statutes/38/title38sec580-B.html,ME
Massachussetts,Section 22 - Carbon dioxide cap and trade program,,,,2015,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleII/Chapter21A/Section22,MA-GL
New Hampshire,Multiple Pollutant Reduction Program,"RSA 125-O:23 repealed by 2012, 281:11, II",2009,2012,2015,http://www.gencourt.state.nh.us/rsa/html/X/125-O/125-O-23.htm,NH-MPRP
New York,Express Terms ,,2008,,2015,http://www.nyserda.ny.gov/About/Regional-Greenhouse-Gas-Initiative/21-NYCRR-Part-507,NY-ET
Rhode Island,CHAPTER 23-82 - Implementation of the Regional Greenhouse Gas Initiative Act - SECTION 23-82-6,,2007,2014,2015,http://webserver.rilin.state.ri.us/Statutes/title23/23-82/23-82-6.HTM,RI-RA
New Zealand,Climate Change Response (Emissions Trading) Amendment Act 2008,2008 No 85,2008,2013,2015,http://www.legislation.govt.nz/act/public/2008/0085/latest/DLM1130932.html,NZ-CCR
Alberta,Specified Emissions Gas Regulation,139/2007,2007,2015,2015,http://www.qp.alberta.ca/documents/Regs/2007_139.pdf,AL-SGER
Iceland,Bill on environmental and resource taxes,293/257,,,2015,http://www.althingi.is/altext/138/s/0293.html,IC-BER
Quebec,Determination of annual caps on GHG emission units,O.C. 1185-2012,2012,,2015,http://www2.publicationsduquebec.gouv.qc.ca/dynamicSearch/telecharge.php?type=1&file=2389.PDF,QC-GHGC
Quebec,Regulation respecting a cap-and-trade system for greenhouse gas emission allowances,"Environment Quality Act - chapter Q-2, r. 46.1",,,2015,http://www2.publicationsduquebec.gouv.qc.ca/dynamicSearch/telecharge.php?type=3&file=/Q_2/Q2R46_1_A.HTM,QC-CAT
Slovenia,U R E D B O o taksi za obremenjevanje zraka z emisijo ogljikovega dioksida,91/2002,2002,,2015,http://www.uradni-list.si/_pdf/2002/Ur/u2002091.pdf#!/u2002091-pdf,SL-CO2
Estonia,Environmental Charges Act,"RT I 2005, 67, 512",2005,,2016,https://www.riigiteataja.ee/en/eli/524032014003/consolide,EST-ECA
Iceland,A bill to the law on environmental and natural resources taxes ,,2010,,2020,http://www.althingi.is/altext/138/s/0293.html ,ICE
,,,,,,,
