Jurisdiction,Year,IPCC_cat_code,Product,tax_dummy,ets_dummy,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Belgium,1989,0,,,,,,
Belgium,1989,1,,,,,,
Belgium,1989,1A,Coal/peat,,,,,
Belgium,1989,1A,Natural gas,,,,,
Belgium,1989,1A,Oil,,,,,
Belgium,1989,1A1,Coal/peat,,,,,
Belgium,1989,1A1,Natural gas,,,,,
Belgium,1989,1A1,Oil,,,,,
Belgium,1989,1A1A,Coal/peat,,,,,
Belgium,1989,1A1A,Natural gas,,,,,
Belgium,1989,1A1A,Oil,,,,,
Belgium,1989,1A1A1,Coal/peat,,,,,
Belgium,1989,1A1A1,Natural gas,,,,,
Belgium,1989,1A1A1,Oil,,,,,
Belgium,1989,1A1A2,Coal/peat,,,,,
Belgium,1989,1A1A2,Natural gas,,,,,
Belgium,1989,1A1A2,Oil,,,,,
Belgium,1989,1A1A3,Coal/peat,,,,,
Belgium,1989,1A1A3,Natural gas,,,,,
Belgium,1989,1A1A3,Oil,,,,,
Belgium,1989,1A1B,Coal/peat,,,,,
Belgium,1989,1A1B,Natural gas,,,,,
Belgium,1989,1A1B,Oil,,,,,
Belgium,1989,1A1C,Coal/peat,,,,,
Belgium,1989,1A1C,Natural gas,,,,,
Belgium,1989,1A1C,Oil,,,,,
Belgium,1989,1A2,Coal/peat,,,,,
Belgium,1989,1A2,Natural gas,,,,,
Belgium,1989,1A2,Oil,,,,,
Belgium,1989,1A2A,Coal/peat,,,,,
Belgium,1989,1A2A,Natural gas,,,,,
Belgium,1989,1A2A,Oil,,,,,
Belgium,1989,1A2B,Coal/peat,,,,,
Belgium,1989,1A2B,Natural gas,,,,,
Belgium,1989,1A2B,Oil,,,,,
Belgium,1989,1A2C,Coal/peat,,,,,
Belgium,1989,1A2C,Natural gas,,,,,
Belgium,1989,1A2C,Oil,,,,,
Belgium,1989,1A2D,Coal/peat,,,,,
Belgium,1989,1A2D,Natural gas,,,,,
Belgium,1989,1A2D,Oil,,,,,
Belgium,1989,1A2E,Coal/peat,,,,,
Belgium,1989,1A2E,Natural gas,,,,,
Belgium,1989,1A2E,Oil,,,,,
Belgium,1989,1A2F,Coal/peat,,,,,
Belgium,1989,1A2F,Natural gas,,,,,
Belgium,1989,1A2F,Oil,,,,,
Belgium,1989,1A2G,Coal/peat,,,,,
Belgium,1989,1A2G,Natural gas,,,,,
Belgium,1989,1A2G,Oil,,,,,
Belgium,1989,1A2H,Coal/peat,,,,,
Belgium,1989,1A2H,Natural gas,,,,,
Belgium,1989,1A2H,Oil,,,,,
Belgium,1989,1A2I,Coal/peat,,,,,
Belgium,1989,1A2I,Natural gas,,,,,
Belgium,1989,1A2I,Oil,,,,,
Belgium,1989,1A2J,Coal/peat,,,,,
Belgium,1989,1A2J,Natural gas,,,,,
Belgium,1989,1A2J,Oil,,,,,
Belgium,1989,1A2K,Coal/peat,,,,,
Belgium,1989,1A2K,Natural gas,,,,,
Belgium,1989,1A2K,Oil,,,,,
Belgium,1989,1A2L,Coal/peat,,,,,
Belgium,1989,1A2L,Natural gas,,,,,
Belgium,1989,1A2L,Oil,,,,,
Belgium,1989,1A2M,Coal/peat,,,,,
Belgium,1989,1A2M,Natural gas,,,,,
Belgium,1989,1A2M,Oil,,,,,
Belgium,1989,1A3,Coal/peat,,,,,
Belgium,1989,1A3,Natural gas,,,,,
Belgium,1989,1A3,Oil,,,,,
Belgium,1989,1A3A,Coal/peat,,,,,
Belgium,1989,1A3A,Natural gas,,,,,
Belgium,1989,1A3A,Oil,,,,,
Belgium,1989,1A3A1,Coal/peat,,,,,
Belgium,1989,1A3A1,Natural gas,,,,,
Belgium,1989,1A3A1,Oil,,,,,
Belgium,1989,1A3A2,Coal/peat,,,,,
Belgium,1989,1A3A2,Natural gas,,,,,
Belgium,1989,1A3A2,Oil,,,,,
Belgium,1989,1A3B,Coal/peat,,,,,
Belgium,1989,1A3B,Natural gas,,,,,
Belgium,1989,1A3B,Oil,,,,,
Belgium,1989,1A3C,Coal/peat,,,,,
Belgium,1989,1A3C,Natural gas,,,,,
Belgium,1989,1A3C,Oil,,,,,
Belgium,1989,1A3D,Coal/peat,,,,,
Belgium,1989,1A3D,Natural gas,,,,,
Belgium,1989,1A3D,Oil,,,,,
Belgium,1989,1A3D1,Coal/peat,,,,,
Belgium,1989,1A3D1,Natural gas,,,,,
Belgium,1989,1A3D1,Oil,,,,,
Belgium,1989,1A3D2,Coal/peat,,,,,
Belgium,1989,1A3D2,Natural gas,,,,,
Belgium,1989,1A3D2,Oil,,,,,
Belgium,1989,1A3E,Coal/peat,,,,,
Belgium,1989,1A3E,Natural gas,,,,,
Belgium,1989,1A3E,Oil,,,,,
Belgium,1989,1A3E1,Coal/peat,,,,,
Belgium,1989,1A3E1,Natural gas,,,,,
Belgium,1989,1A3E1,Oil,,,,,
Belgium,1989,1A4,Coal/peat,,,,,
Belgium,1989,1A4,Natural gas,,,,,
