Jurisdiction,Year,IPCC_cat_code,Product,tax_dummy,ets_dummy,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Central African Republic,1989,0,,,,,,
Central African Republic,1989,1,,,,,,
Central African Republic,1989,1A,Coal/peat,,,,,
Central African Republic,1989,1A,Natural gas,,,,,
Central African Republic,1989,1A,Oil,,,,,
Central African Republic,1989,1A1,Coal/peat,,,,,
Central African Republic,1989,1A1,Natural gas,,,,,
Central African Republic,1989,1A1,Oil,,,,,
Central African Republic,1989,1A1A,Coal/peat,,,,,
Central African Republic,1989,1A1A,Natural gas,,,,,
Central African Republic,1989,1A1A,Oil,,,,,
Central African Republic,1989,1A1A1,Coal/peat,,,,,
Central African Republic,1989,1A1A1,Natural gas,,,,,
Central African Republic,1989,1A1A1,Oil,,,,,
Central African Republic,1989,1A1A2,Coal/peat,,,,,
Central African Republic,1989,1A1A2,Natural gas,,,,,
Central African Republic,1989,1A1A2,Oil,,,,,
Central African Republic,1989,1A1A3,Coal/peat,,,,,
Central African Republic,1989,1A1A3,Natural gas,,,,,
Central African Republic,1989,1A1A3,Oil,,,,,
Central African Republic,1989,1A1B,Coal/peat,,,,,
Central African Republic,1989,1A1B,Natural gas,,,,,
Central African Republic,1989,1A1B,Oil,,,,,
Central African Republic,1989,1A1C,Coal/peat,,,,,
Central African Republic,1989,1A1C,Natural gas,,,,,
Central African Republic,1989,1A1C,Oil,,,,,
Central African Republic,1989,1A2,Coal/peat,,,,,
Central African Republic,1989,1A2,Natural gas,,,,,
Central African Republic,1989,1A2,Oil,,,,,
Central African Republic,1989,1A2A,Coal/peat,,,,,
Central African Republic,1989,1A2A,Natural gas,,,,,
Central African Republic,1989,1A2A,Oil,,,,,
Central African Republic,1989,1A2B,Coal/peat,,,,,
Central African Republic,1989,1A2B,Natural gas,,,,,
Central African Republic,1989,1A2B,Oil,,,,,
Central African Republic,1989,1A2C,Coal/peat,,,,,
Central African Republic,1989,1A2C,Natural gas,,,,,
Central African Republic,1989,1A2C,Oil,,,,,
Central African Republic,1989,1A2D,Coal/peat,,,,,
Central African Republic,1989,1A2D,Natural gas,,,,,
Central African Republic,1989,1A2D,Oil,,,,,
Central African Republic,1989,1A2E,Coal/peat,,,,,
Central African Republic,1989,1A2E,Natural gas,,,,,
Central African Republic,1989,1A2E,Oil,,,,,
Central African Republic,1989,1A2F,Coal/peat,,,,,
Central African Republic,1989,1A2F,Natural gas,,,,,
Central African Republic,1989,1A2F,Oil,,,,,
Central African Republic,1989,1A2G,Coal/peat,,,,,
Central African Republic,1989,1A2G,Natural gas,,,,,
Central African Republic,1989,1A2G,Oil,,,,,
Central African Republic,1989,1A2H,Coal/peat,,,,,
Central African Republic,1989,1A2H,Natural gas,,,,,
Central African Republic,1989,1A2H,Oil,,,,,
Central African Republic,1989,1A2I,Coal/peat,,,,,
Central African Republic,1989,1A2I,Natural gas,,,,,
Central African Republic,1989,1A2I,Oil,,,,,
Central African Republic,1989,1A2J,Coal/peat,,,,,
Central African Republic,1989,1A2J,Natural gas,,,,,
Central African Republic,1989,1A2J,Oil,,,,,
Central African Republic,1989,1A2K,Coal/peat,,,,,
Central African Republic,1989,1A2K,Natural gas,,,,,
Central African Republic,1989,1A2K,Oil,,,,,
Central African Republic,1989,1A2L,Coal/peat,,,,,
Central African Republic,1989,1A2L,Natural gas,,,,,
Central African Republic,1989,1A2L,Oil,,,,,
Central African Republic,1989,1A2M,Coal/peat,,,,,
Central African Republic,1989,1A2M,Natural gas,,,,,
Central African Republic,1989,1A2M,Oil,,,,,
Central African Republic,1989,1A3,Coal/peat,,,,,
Central African Republic,1989,1A3,Natural gas,,,,,
Central African Republic,1989,1A3,Oil,,,,,
Central African Republic,1989,1A3A,Coal/peat,,,,,
Central African Republic,1989,1A3A,Natural gas,,,,,
Central African Republic,1989,1A3A,Oil,,,,,
Central African Republic,1989,1A3A1,Coal/peat,,,,,
Central African Republic,1989,1A3A1,Natural gas,,,,,
Central African Republic,1989,1A3A1,Oil,,,,,
Central African Republic,1989,1A3A2,Coal/peat,,,,,
Central African Republic,1989,1A3A2,Natural gas,,,,,
Central African Republic,1989,1A3A2,Oil,,,,,
Central African Republic,1989,1A3B,Coal/peat,,,,,
Central African Republic,1989,1A3B,Natural gas,,,,,
Central African Republic,1989,1A3B,Oil,,,,,
Central African Republic,1989,1A3C,Coal/peat,,,,,
Central African Republic,1989,1A3C,Natural gas,,,,,
Central African Republic,1989,1A3C,Oil,,,,,
Central African Republic,1989,1A3D,Coal/peat,,,,,
Central African Republic,1989,1A3D,Natural gas,,,,,
Central African Republic,1989,1A3D,Oil,,,,,
Central African Republic,1989,1A3D1,Coal/peat,,,,,
Central African Republic,1989,1A3D1,Natural gas,,,,,
Central African Republic,1989,1A3D1,Oil,,,,,
Central African Republic,1989,1A3D2,Coal/peat,,,,,
Central African Republic,1989,1A3D2,Natural gas,,,,,
Central African Republic,1989,1A3D2,Oil,,,,,
Central African Republic,1989,1A3E,Coal/peat,,,,,
Central African Republic,1989,1A3E,Natural gas,,,,,
Central African Republic,1989,1A3E,Oil,,,,,
Central African Republic,1989,1A3E1,Coal/peat,,,,,
Central African Republic,1989,1A3E1,Natural gas,,,,,
Central African Republic,1989,1A3E1,Oil,,,,,
Central African Republic,1989,1A4,Coal/peat,,,,,
Central African Republic,1989,1A4,Natural gas,,,,,
Central African Republic,1989,1A4,Oil,,,,,
Central African Republic,1989,1A4A,Coal/peat,,,,,
Central African Republic,1989,1A4A,Natural gas,,,,,
Central African Republic,1989,1A4A,Oil,,,,,
Central African Republic,1989,1A4B,Coal/peat,,,,,
Central African Republic,1989,1A4B,Natural gas,,,,,
Central African Republic,1989,1A4B,Oil,,,,,
Central African Republic,1989,1A4C,Coal/peat,,,,,
Central African Republic,1989,1A4C,Natural gas,,,,,
Central African Republic,1989,1A4C,Oil,,,,,
Central African Republic,1989,1A4C1,Coal/peat,,,,,
Central African Republic,1989,1A4C1,Natural gas,,,,,
Central African Republic,1989,1A4C1,Oil,,,,,
Central African Republic,1989,1A4C2,Coal/peat,,,,,
Central African Republic,1989,1A4C2,Natural gas,,,,,
