Jurisdiction,Year,IPCC_cat_code,Product,tax_dummy,ets_dummy,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Philippines,1989,0,,,,,,
Philippines,1989,1,,,,,,
Philippines,1989,1A,Coal/peat,,,,,
Philippines,1989,1A,Natural gas,,,,,
Philippines,1989,1A,Oil,,,,,
Philippines,1989,1A1,Coal/peat,,,,,
Philippines,1989,1A1,Natural gas,,,,,
Philippines,1989,1A1,Oil,,,,,
Philippines,1989,1A1A,Coal/peat,,,,,
Philippines,1989,1A1A,Natural gas,,,,,
Philippines,1989,1A1A,Oil,,,,,
Philippines,1989,1A1A1,Coal/peat,,,,,
Philippines,1989,1A1A1,Natural gas,,,,,
Philippines,1989,1A1A1,Oil,,,,,
Philippines,1989,1A1A2,Coal/peat,,,,,
Philippines,1989,1A1A2,Natural gas,,,,,
Philippines,1989,1A1A2,Oil,,,,,
Philippines,1989,1A1A3,Coal/peat,,,,,
Philippines,1989,1A1A3,Natural gas,,,,,
Philippines,1989,1A1A3,Oil,,,,,
Philippines,1989,1A1B,Coal/peat,,,,,
Philippines,1989,1A1B,Natural gas,,,,,
Philippines,1989,1A1B,Oil,,,,,
Philippines,1989,1A1C,Coal/peat,,,,,
Philippines,1989,1A1C,Natural gas,,,,,
Philippines,1989,1A1C,Oil,,,,,
Philippines,1989,1A2,Coal/peat,,,,,
Philippines,1989,1A2,Natural gas,,,,,
Philippines,1989,1A2,Oil,,,,,
Philippines,1989,1A2A,Coal/peat,,,,,
Philippines,1989,1A2A,Natural gas,,,,,
Philippines,1989,1A2A,Oil,,,,,
Philippines,1989,1A2B,Coal/peat,,,,,
Philippines,1989,1A2B,Natural gas,,,,,
Philippines,1989,1A2B,Oil,,,,,
Philippines,1989,1A2C,Coal/peat,,,,,
Philippines,1989,1A2C,Natural gas,,,,,
Philippines,1989,1A2C,Oil,,,,,
Philippines,1989,1A2D,Coal/peat,,,,,
Philippines,1989,1A2D,Natural gas,,,,,
Philippines,1989,1A2D,Oil,,,,,
Philippines,1989,1A2E,Coal/peat,,,,,
Philippines,1989,1A2E,Natural gas,,,,,
Philippines,1989,1A2E,Oil,,,,,
Philippines,1989,1A2F,Coal/peat,,,,,
Philippines,1989,1A2F,Natural gas,,,,,
Philippines,1989,1A2F,Oil,,,,,
Philippines,1989,1A2G,Coal/peat,,,,,
Philippines,1989,1A2G,Natural gas,,,,,
Philippines,1989,1A2G,Oil,,,,,
Philippines,1989,1A2H,Coal/peat,,,,,
Philippines,1989,1A2H,Natural gas,,,,,
Philippines,1989,1A2H,Oil,,,,,
Philippines,1989,1A2I,Coal/peat,,,,,
Philippines,1989,1A2I,Natural gas,,,,,
Philippines,1989,1A2I,Oil,,,,,
Philippines,1989,1A2J,Coal/peat,,,,,
