Jurisdiction,Year,IPCC_cat_code,Product,tax_dummy,ets_dummy,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Vatican City,1989,0,,,,,,
Vatican City,1989,1,,,,,,
Vatican City,1989,1A,Coal/peat,,,,,
Vatican City,1989,1A,Natural gas,,,,,
Vatican City,1989,1A,Oil,,,,,
Vatican City,1989,1A1,Coal/peat,,,,,
Vatican City,1989,1A1,Natural gas,,,,,
Vatican City,1989,1A1,Oil,,,,,
Vatican City,1989,1A1A,Coal/peat,,,,,
Vatican City,1989,1A1A,Natural gas,,,,,
Vatican City,1989,1A1A,Oil,,,,,
Vatican City,1989,1A1A1,Coal/peat,,,,,
Vatican City,1989,1A1A1,Natural gas,,,,,
Vatican City,1989,1A1A1,Oil,,,,,
Vatican City,1989,1A1A2,Coal/peat,,,,,
Vatican City,1989,1A1A2,Natural gas,,,,,
Vatican City,1989,1A1A2,Oil,,,,,
Vatican City,1989,1A1A3,Coal/peat,,,,,
Vatican City,1989,1A1A3,Natural gas,,,,,
Vatican City,1989,1A1A3,Oil,,,,,
Vatican City,1989,1A1B,Coal/peat,,,,,
Vatican City,1989,1A1B,Natural gas,,,,,
Vatican City,1989,1A1B,Oil,,,,,
Vatican City,1989,1A1C,Coal/peat,,,,,
Vatican City,1989,1A1C,Natural gas,,,,,
Vatican City,1989,1A1C,Oil,,,,,
Vatican City,1989,1A2,Coal/peat,,,,,
Vatican City,1989,1A2,Natural gas,,,,,
Vatican City,1989,1A2,Oil,,,,,
Vatican City,1989,1A2A,Coal/peat,,,,,
Vatican City,1989,1A2A,Natural gas,,,,,
Vatican City,1989,1A2A,Oil,,,,,
Vatican City,1989,1A2B,Coal/peat,,,,,
Vatican City,1989,1A2B,Natural gas,,,,,
Vatican City,1989,1A2B,Oil,,,,,
Vatican City,1989,1A2C,Coal/peat,,,,,
Vatican City,1989,1A2C,Natural gas,,,,,
Vatican City,1989,1A2C,Oil,,,,,
Vatican City,1989,1A2D,Coal/peat,,,,,
Vatican City,1989,1A2D,Natural gas,,,,,
Vatican City,1989,1A2D,Oil,,,,,
Vatican City,1989,1A2E,Coal/peat,,,,,
Vatican City,1989,1A2E,Natural gas,,,,,
Vatican City,1989,1A2E,Oil,,,,,
Vatican City,1989,1A2F,Coal/peat,,,,,
Vatican City,1989,1A2F,Natural gas,,,,,
Vatican City,1989,1A2F,Oil,,,,,
Vatican City,1989,1A2G,Coal/peat,,,,,
