Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
Argentina,1989,0,,,,,,
Argentina,1989,1,,,,,,
Argentina,1989,1A,Coal/peat,,,,,
Argentina,1989,1A,Natural gas,,,,,
Argentina,1989,1A,Oil,,,,,
Argentina,1989,1A1,Coal/peat,,,,,
Argentina,1989,1A1,Natural gas,,,,,
Argentina,1989,1A1,Oil,,,,,
Argentina,1989,1A1A,Coal/peat,,,,,
Argentina,1989,1A1A,Natural gas,,,,,
Argentina,1989,1A1A,Oil,,,,,
Argentina,1989,1A1A1,Coal/peat,,,,,
Argentina,1989,1A1A1,Natural gas,,,,,
Argentina,1989,1A1A1,Oil,,,,,
Argentina,1989,1A1A2,Coal/peat,,,,,
Argentina,1989,1A1A2,Natural gas,,,,,
Argentina,1989,1A1A2,Oil,,,,,
Argentina,1989,1A1A3,Coal/peat,,,,,
Argentina,1989,1A1A3,Natural gas,,,,,
Argentina,1989,1A1A3,Oil,,,,,
Argentina,1989,1A1B,Coal/peat,,,,,
Argentina,1989,1A1B,Natural gas,,,,,
Argentina,1989,1A1B,Oil,,,,,
Argentina,1989,1A1C,Coal/peat,,,,,
Argentina,1989,1A1C,Natural gas,,,,,
Argentina,1989,1A1C,Oil,,,,,
Argentina,1989,1A2,Coal/peat,,,,,
Argentina,1989,1A2,Natural gas,,,,,
Argentina,1989,1A2,Oil,,,,,
Argentina,1989,1A2A,Coal/peat,,,,,
Argentina,1989,1A2A,Natural gas,,,,,
Argentina,1989,1A2A,Oil,,,,,
Argentina,1989,1A2B,Coal/peat,,,,,
Argentina,1989,1A2B,Natural gas,,,,,
Argentina,1989,1A2B,Oil,,,,,
Argentina,1989,1A2C,Coal/peat,,,,,
Argentina,1989,1A2C,Natural gas,,,,,
Argentina,1989,1A2C,Oil,,,,,
Argentina,1989,1A2D,Coal/peat,,,,,
Argentina,1989,1A2D,Natural gas,,,,,
Argentina,1989,1A2D,Oil,,,,,
Argentina,1989,1A2E,Coal/peat,,,,,
Argentina,1989,1A2E,Natural gas,,,,,
Argentina,1989,1A2E,Oil,,,,,
Argentina,1989,1A2F,Coal/peat,,,,,
Argentina,1989,1A2F,Natural gas,,,,,
Argentina,1989,1A2F,Oil,,,,,
Argentina,1989,1A2G,Coal/peat,,,,,
Argentina,1989,1A2G,Natural gas,,,,,
Argentina,1989,1A2G,Oil,,,,,
Argentina,1989,1A2H,Coal/peat,,,,,
Argentina,1989,1A2H,Natural gas,,,,,
Argentina,1989,1A2H,Oil,,,,,
Argentina,1989,1A2I,Coal/peat,,,,,
Argentina,1989,1A2I,Natural gas,,,,,
Argentina,1989,1A2I,Oil,,,,,
Argentina,1989,1A2J,Coal/peat,,,,,
Argentina,1989,1A2J,Natural gas,,,,,
Argentina,1989,1A2J,Oil,,,,,
Argentina,1989,1A2K,Coal/peat,,,,,
Argentina,1989,1A2K,Natural gas,,,,,
Argentina,1989,1A2K,Oil,,,,,
Argentina,1989,1A2L,Coal/peat,,,,,
Argentina,1989,1A2L,Natural gas,,,,,
Argentina,1989,1A2L,Oil,,,,,
Argentina,1989,1A2M,Coal/peat,,,,,
Argentina,1989,1A2M,Natural gas,,,,,
Argentina,1989,1A2M,Oil,,,,,
Argentina,1989,1A3,Coal/peat,,,,,
Argentina,1989,1A3,Natural gas,,,,,
Argentina,1989,1A3,Oil,,,,,
Argentina,1989,1A3A,Coal/peat,,,,,
Argentina,1989,1A3A,Natural gas,,,,,
Argentina,1989,1A3A,Oil,,,,,
Argentina,1989,1A3A1,Coal/peat,,,,,
Argentina,1989,1A3A1,Natural gas,,,,,
Argentina,1989,1A3A1,Oil,,,,,
Argentina,1989,1A3A2,Coal/peat,,,,,
Argentina,1989,1A3A2,Natural gas,,,,,
Argentina,1989,1A3A2,Oil,,,,,
Argentina,1989,1A3B,Coal/peat,,,,,
Argentina,1989,1A3B,Natural gas,,,,,
Argentina,1989,1A3B,Oil,,,,,
Argentina,1989,1A3C,Coal/peat,,,,,
Argentina,1989,1A3C,Natural gas,,,,,
Argentina,1989,1A3C,Oil,,,,,
Argentina,1989,1A3D,Coal/peat,,,,,
Argentina,1989,1A3D,Natural gas,,,,,
Argentina,1989,1A3D,Oil,,,,,
Argentina,1989,1A3D1,Coal/peat,,,,,
Argentina,1989,1A3D1,Natural gas,,,,,
