Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
Armenia,1985,0,,,,,,
Armenia,1985,1,,,,,,
Armenia,1985,1B,,,,,,
Armenia,1985,1B1,,,,,,
Armenia,1985,1B1A,,,,,,
Armenia,1985,1B1A1,,,,,,
Armenia,1985,1B1A11,,,,,,
Armenia,1985,1B1A12,,,,,,
Armenia,1985,1B1A13,,,,,,
Armenia,1985,1B1A14,,,,,,
Armenia,1985,1B1A2,,,,,,
Armenia,1985,1B1A21,,,,,,
Armenia,1985,1B1A22,,,,,,
Armenia,1985,1B1B,,,,,,
Armenia,1985,1B2,,,,,,
Armenia,1985,1B2A,,,,,,
Armenia,1985,1B2A1,,,,,,
Armenia,1985,1B2A2,,,,,,
Armenia,1985,1B2A3,,,,,,
Armenia,1985,1B2A31,,,,,,
Armenia,1985,1B2A32,,,,,,
Armenia,1985,1B2A33,,,,,,
Armenia,1985,1B2A34,,,,,,
Armenia,1985,1B2A35,,,,,,
Armenia,1985,1B2A36,,,,,,
Armenia,1985,1B2B,,,,,,
Armenia,1985,1B2B1,,,,,,
Armenia,1985,1B2B2,,,,,,
Armenia,1985,1B2B3,,,,,,
Armenia,1985,1B2B31,,,,,,
Armenia,1985,1B2B32,,,,,,
Armenia,1985,1B2B33,,,,,,
Armenia,1985,1B2B34,,,,,,
Armenia,1985,1B2B35,,,,,,
Armenia,1985,1B2B36,,,,,,
Armenia,1985,1B3,,,,,,
Armenia,1985,1C,,,,,,
Armenia,1985,1C1,,,,,,
Armenia,1985,1C1A,,,,,,
Armenia,1985,1C1B,,,,,,
Armenia,1985,1C1C,,,,,,
Armenia,1985,1C2,,,,,,
Armenia,1985,1C2A,,,,,,
Armenia,1985,1C2B,,,,,,
Armenia,1985,1C3,,,,,,
Armenia,1985,2,,,,,,
Armenia,1985,2A,,,,,,
Armenia,1985,2A1,,,,,,
Armenia,1985,2A2,,,,,,
Armenia,1985,2A3,,,,,,
Armenia,1985,2A4,,,,,,
Armenia,1985,2A4A,,,,,,
Armenia,1985,2A4B,,,,,,
Armenia,1985,2A4C,,,,,,
Armenia,1985,2A4D,,,,,,
Armenia,1985,2B,,,,,,
Armenia,1985,2B1,,,,,,
Armenia,1985,2B2,,,,,,
Armenia,1985,2B3,,,,,,
Armenia,1985,2B4,,,,,,
Armenia,1985,2B5,,,,,,
Armenia,1985,2B6,,,,,,
Armenia,1985,2B7,,,,,,
Armenia,1985,2B8,,,,,,
Armenia,1985,2B8A,,,,,,
Armenia,1985,2B8B,,,,,,
Armenia,1985,2B8C,,,,,,
Armenia,1985,2B8D,,,,,,
Armenia,1985,2B8E,,,,,,
Armenia,1985,2B8F,,,,,,
Armenia,1985,2B9,,,,,,
Armenia,1985,2B9A,,,,,,
Armenia,1985,2B9B,,,,,,
Armenia,1985,2B10,,,,,,
Armenia,1985,2C,,,,,,
Armenia,1985,2C1,,,,,,
Armenia,1985,2C2,,,,,,
Armenia,1985,2C3,,,,,,
Armenia,1985,2C4,,,,,,
Armenia,1985,2C5,,,,,,
Armenia,1985,2C6,,,,,,
Armenia,1985,2C7,,,,,,
Armenia,1985,2D,,,,,,
Armenia,1985,2D1,,,,,,
Armenia,1985,2D2,,,,,,
Armenia,1985,2D3,,,,,,
Armenia,1985,2D4,,,,,,
Armenia,1985,2E,,,,,,
Armenia,1985,20,,,,,,
Armenia,1985,200,,,,,,
Armenia,1985,2000,,,,,,
Armenia,1985,20000,,,,,,
Armenia,1985,200000,,,,,,
Armenia,1985,2F,,,,,,
Armenia,1985,2F1,,,,,,
Armenia,1985,2F2,,,,,,
Armenia,1985,2F3,,,,,,
Armenia,1985,2F4,,,,,,
Armenia,1985,2F5,,,,,,
Armenia,1985,2F6,,,,,,
Armenia,1985,2G,,,,,,
Armenia,1985,2G1,,,,,,
Armenia,1985,2G2,,,,,,
Armenia,1985,2G3,,,,,,
Armenia,1985,2G4,,,,,,
Armenia,1985,2H,,,,,,
Armenia,1985,2H1,,,,,,
Armenia,1985,2H2,,,,,,
Armenia,1985,2H3,,,,,,
Armenia,1985,3,,,,,,
Armenia,1985,3A,,,,,,
Armenia,1985,3A1,,,,,,
Armenia,1985,3A2,,,,,,
Armenia,1985,3B,,,,,,
Armenia,1985,3B1,,,,,,
Armenia,1985,3B1A,,,,,,
Armenia,1985,3B1B,,,,,,
Armenia,1985,3B2,,,,,,
Armenia,1985,3B2A,,,,,,
Armenia,1985,3B2B,,,,,,
Armenia,1985,3B3,,,,,,
Armenia,1985,3B3A,,,,,,
Armenia,1985,3B3B,,,,,,
Armenia,1985,3B4,,,,,,
Armenia,1985,3B4A,,,,,,
Armenia,1985,3B4B,,,,,,
Armenia,1985,3B5,,,,,,
Armenia,1985,3B5A,,,,,,
Armenia,1985,3B5B,,,,,,
Armenia,1985,3B6,,,,,,
Armenia,1985,3B6A,,,,,,
Armenia,1985,3B6B,,,,,,
Armenia,1985,3B6B1,,,,,,
Armenia,1985,3B6B2,,,,,,
Armenia,1985,3B6B3,,,,,,
Armenia,1985,3B6B4,,,,,,
Armenia,1985,3B6B5,,,,,,
Armenia,1985,3C,,,,,,
Armenia,1985,3C1,,,,,,
Armenia,1985,3C2,,,,,,
Armenia,1985,3C3,,,,,,
Armenia,1985,3C4,,,,,,
Armenia,1985,3C5,,,,,,
Armenia,1985,3C6,,,,,,
Armenia,1985,3C7,,,,,,
Armenia,1985,3C8,,,,,,
Armenia,1985,3D,,,,,,
Armenia,1985,3D1,,,,,,
Armenia,1985,3D2,,,,,,
Armenia,1985,4,,,,,,
Armenia,1985,4A,,,,,,
Armenia,1985,4A1,,,,,,
Armenia,1985,4A2,,,,,,
Armenia,1985,4A3,,,,,,
Armenia,1985,4B,,,,,,
Armenia,1985,4C,,,,,,
Armenia,1985,4C1,,,,,,
Armenia,1985,4C2,,,,,,
Armenia,1985,4D,,,,,,
Armenia,1985,4D1,,,,,,
Armenia,1985,4D2,,,,,,
Armenia,1985,4E,,,,,,
Armenia,1985,5,,,,,,
Armenia,1985,5A,,,,,,
Armenia,1985,5A1,,,,,,
Armenia,1985,5A2,,,,,,
Armenia,1985,1A,Coal/peat,,,,,
Armenia,1985,1A,Oil,,,,,
Armenia,1985,1A,Natural gas,,,,,
Armenia,1985,1A1,Coal/peat,,,,,
Armenia,1985,1A1,Oil,,,,,
Armenia,1985,1A1,Natural gas,,,,,
Armenia,1985,1A1A,Coal/peat,,,,,
Armenia,1985,1A1A,Oil,,,,,
Armenia,1985,1A1A,Natural gas,,,,,
Armenia,1985,1A1A1,Coal/peat,,,,,
Armenia,1985,1A1A1,Oil,,,,,
