Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
Botswana,1985,0,,,,,,
Botswana,1985,1,,,,,,
Botswana,1985,1B,,,,,,
Botswana,1985,1B1,,,,,,
Botswana,1985,1B1A,,,,,,
Botswana,1985,1B1A1,,,,,,
Botswana,1985,1B1A11,,,,,,
Botswana,1985,1B1A12,,,,,,
Botswana,1985,1B1A13,,,,,,
Botswana,1985,1B1A14,,,,,,
Botswana,1985,1B1A2,,,,,,
Botswana,1985,1B1A21,,,,,,
Botswana,1985,1B1A22,,,,,,
Botswana,1985,1B1B,,,,,,
Botswana,1985,1B2,,,,,,
Botswana,1985,1B2A,,,,,,
Botswana,1985,1B2A1,,,,,,
Botswana,1985,1B2A2,,,,,,
Botswana,1985,1B2A3,,,,,,
Botswana,1985,1B2A31,,,,,,
Botswana,1985,1B2A32,,,,,,
Botswana,1985,1B2A33,,,,,,
Botswana,1985,1B2A34,,,,,,
Botswana,1985,1B2A35,,,,,,
Botswana,1985,1B2A36,,,,,,
Botswana,1985,1B2B,,,,,,
Botswana,1985,1B2B1,,,,,,
Botswana,1985,1B2B2,,,,,,
Botswana,1985,1B2B3,,,,,,
Botswana,1985,1B2B31,,,,,,
Botswana,1985,1B2B32,,,,,,
Botswana,1985,1B2B33,,,,,,
Botswana,1985,1B2B34,,,,,,
Botswana,1985,1B2B35,,,,,,
Botswana,1985,1B2B36,,,,,,
Botswana,1985,1B3,,,,,,
Botswana,1985,1C,,,,,,
Botswana,1985,1C1,,,,,,
Botswana,1985,1C1A,,,,,,
Botswana,1985,1C1B,,,,,,
Botswana,1985,1C1C,,,,,,
Botswana,1985,1C2,,,,,,
Botswana,1985,1C2A,,,,,,
Botswana,1985,1C2B,,,,,,
Botswana,1985,1C3,,,,,,
Botswana,1985,2,,,,,,
Botswana,1985,2A,,,,,,
Botswana,1985,2A1,,,,,,
Botswana,1985,2A2,,,,,,
Botswana,1985,2A3,,,,,,
Botswana,1985,2A4,,,,,,
Botswana,1985,2A4A,,,,,,
Botswana,1985,2A4B,,,,,,
Botswana,1985,2A4C,,,,,,
Botswana,1985,2A4D,,,,,,
Botswana,1985,2B,,,,,,
Botswana,1985,2B1,,,,,,
Botswana,1985,2B2,,,,,,
Botswana,1985,2B3,,,,,,
Botswana,1985,2B4,,,,,,
Botswana,1985,2B5,,,,,,
Botswana,1985,2B6,,,,,,
Botswana,1985,2B7,,,,,,
Botswana,1985,2B8,,,,,,
Botswana,1985,2B8A,,,,,,
Botswana,1985,2B8B,,,,,,
Botswana,1985,2B8C,,,,,,
Botswana,1985,2B8D,,,,,,
Botswana,1985,2B8E,,,,,,
Botswana,1985,2B8F,,,,,,
Botswana,1985,2B9,,,,,,
Botswana,1985,2B9A,,,,,,
Botswana,1985,2B9B,,,,,,
Botswana,1985,2B10,,,,,,
Botswana,1985,2C,,,,,,
Botswana,1985,2C1,,,,,,
Botswana,1985,2C2,,,,,,
Botswana,1985,2C3,,,,,,
Botswana,1985,2C4,,,,,,
Botswana,1985,2C5,,,,,,
Botswana,1985,2C6,,,,,,
Botswana,1985,2C7,,,,,,
Botswana,1985,2D,,,,,,
Botswana,1985,2D1,,,,,,
Botswana,1985,2D2,,,,,,
Botswana,1985,2D3,,,,,,
Botswana,1985,2D4,,,,,,
Botswana,1985,2E,,,,,,
Botswana,1985,20,,,,,,
Botswana,1985,200,,,,,,
Botswana,1985,2000,,,,,,
Botswana,1985,20000,,,,,,
Botswana,1985,200000,,,,,,
Botswana,1985,2F,,,,,,
Botswana,1985,2F1,,,,,,
Botswana,1985,2F2,,,,,,
Botswana,1985,2F3,,,,,,
Botswana,1985,2F4,,,,,,
Botswana,1985,2F5,,,,,,
Botswana,1985,2F6,,,,,,
Botswana,1985,2G,,,,,,
Botswana,1985,2G1,,,,,,
Botswana,1985,2G2,,,,,,
Botswana,1985,2G3,,,,,,
Botswana,1985,2G4,,,,,,
Botswana,1985,2H,,,,,,
