Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
Burundi,1989,0,,,,,,
Burundi,1989,1,,,,,,
Burundi,1989,1A,Coal/peat,,,,,
Burundi,1989,1A,Natural gas,,,,,
Burundi,1989,1A,Oil,,,,,
Burundi,1989,1A1,Coal/peat,,,,,
Burundi,1989,1A1,Natural gas,,,,,
Burundi,1989,1A1,Oil,,,,,
Burundi,1989,1A1A,Coal/peat,,,,,
Burundi,1989,1A1A,Natural gas,,,,,
Burundi,1989,1A1A,Oil,,,,,
Burundi,1989,1A1A1,Coal/peat,,,,,
Burundi,1989,1A1A1,Natural gas,,,,,
Burundi,1989,1A1A1,Oil,,,,,
Burundi,1989,1A1A2,Coal/peat,,,,,
Burundi,1989,1A1A2,Natural gas,,,,,
Burundi,1989,1A1A2,Oil,,,,,
Burundi,1989,1A1A3,Coal/peat,,,,,
Burundi,1989,1A1A3,Natural gas,,,,,
Burundi,1989,1A1A3,Oil,,,,,
Burundi,1989,1A1B,Coal/peat,,,,,
Burundi,1989,1A1B,Natural gas,,,,,
Burundi,1989,1A1B,Oil,,,,,
Burundi,1989,1A1C,Coal/peat,,,,,
Burundi,1989,1A1C,Natural gas,,,,,
Burundi,1989,1A1C,Oil,,,,,
Burundi,1989,1A2,Coal/peat,,,,,
Burundi,1989,1A2,Natural gas,,,,,
Burundi,1989,1A2,Oil,,,,,
Burundi,1989,1A2A,Coal/peat,,,,,
Burundi,1989,1A2A,Natural gas,,,,,
Burundi,1989,1A2A,Oil,,,,,
Burundi,1989,1A2B,Coal/peat,,,,,
Burundi,1989,1A2B,Natural gas,,,,,
Burundi,1989,1A2B,Oil,,,,,
Burundi,1989,1A2C,Coal/peat,,,,,
Burundi,1989,1A2C,Natural gas,,,,,
Burundi,1989,1A2C,Oil,,,,,
Burundi,1989,1A2D,Coal/peat,,,,,
Burundi,1989,1A2D,Natural gas,,,,,
Burundi,1989,1A2D,Oil,,,,,
Burundi,1989,1A2E,Coal/peat,,,,,
Burundi,1989,1A2E,Natural gas,,,,,
Burundi,1989,1A2E,Oil,,,,,
Burundi,1989,1A2F,Coal/peat,,,,,
Burundi,1989,1A2F,Natural gas,,,,,
Burundi,1989,1A2F,Oil,,,,,
Burundi,1989,1A2G,Coal/peat,,,,,
Burundi,1989,1A2G,Natural gas,,,,,
Burundi,1989,1A2G,Oil,,,,,
Burundi,1989,1A2H,Coal/peat,,,,,
Burundi,1989,1A2H,Natural gas,,,,,
Burundi,1989,1A2H,Oil,,,,,
Burundi,1989,1A2I,Coal/peat,,,,,
Burundi,1989,1A2I,Natural gas,,,,,
Burundi,1989,1A2I,Oil,,,,,
Burundi,1989,1A2J,Coal/peat,,,,,
Burundi,1989,1A2J,Natural gas,,,,,
Burundi,1989,1A2J,Oil,,,,,
Burundi,1989,1A2K,Coal/peat,,,,,
Burundi,1989,1A2K,Natural gas,,,,,
Burundi,1989,1A2K,Oil,,,,,
Burundi,1989,1A2L,Coal/peat,,,,,
Burundi,1989,1A2L,Natural gas,,,,,
Burundi,1989,1A2L,Oil,,,,,
Burundi,1989,1A2M,Coal/peat,,,,,
Burundi,1989,1A2M,Natural gas,,,,,
Burundi,1989,1A2M,Oil,,,,,
Burundi,1989,1A3,Coal/peat,,,,,
Burundi,1989,1A3,Natural gas,,,,,
Burundi,1989,1A3,Oil,,,,,
Burundi,1989,1A3A,Coal/peat,,,,,
Burundi,1989,1A3A,Natural gas,,,,,
Burundi,1989,1A3A,Oil,,,,,
Burundi,1989,1A3A1,Coal/peat,,,,,
Burundi,1989,1A3A1,Natural gas,,,,,
Burundi,1989,1A3A1,Oil,,,,,
Burundi,1989,1A3A2,Coal/peat,,,,,
Burundi,1989,1A3A2,Natural gas,,,,,
Burundi,1989,1A3A2,Oil,,,,,
Burundi,1989,1A3B,Coal/peat,,,,,
Burundi,1989,1A3B,Natural gas,,,,,
Burundi,1989,1A3B,Oil,,,,,
Burundi,1989,1A3C,Coal/peat,,,,,
Burundi,1989,1A3C,Natural gas,,,,,
