Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
Chad,1985,0,,,,,,
Chad,1985,1,,,,,,
Chad,1985,1B,,,,,,
Chad,1985,1B1,,,,,,
Chad,1985,1B1A,,,,,,
Chad,1985,1B1A1,,,,,,
Chad,1985,1B1A11,,,,,,
Chad,1985,1B1A12,,,,,,
Chad,1985,1B1A13,,,,,,
Chad,1985,1B1A14,,,,,,
Chad,1985,1B1A2,,,,,,
Chad,1985,1B1A21,,,,,,
Chad,1985,1B1A22,,,,,,
Chad,1985,1B1B,,,,,,
Chad,1985,1B2,,,,,,
Chad,1985,1B2A,,,,,,
Chad,1985,1B2A1,,,,,,
Chad,1985,1B2A2,,,,,,
Chad,1985,1B2A3,,,,,,
Chad,1985,1B2A31,,,,,,
Chad,1985,1B2A32,,,,,,
Chad,1985,1B2A33,,,,,,
Chad,1985,1B2A34,,,,,,
Chad,1985,1B2A35,,,,,,
Chad,1985,1B2A36,,,,,,
Chad,1985,1B2B,,,,,,
Chad,1985,1B2B1,,,,,,
Chad,1985,1B2B2,,,,,,
Chad,1985,1B2B3,,,,,,
Chad,1985,1B2B31,,,,,,
Chad,1985,1B2B32,,,,,,
Chad,1985,1B2B33,,,,,,
Chad,1985,1B2B34,,,,,,
Chad,1985,1B2B35,,,,,,
Chad,1985,1B2B36,,,,,,
Chad,1985,1B3,,,,,,
Chad,1985,1C,,,,,,
Chad,1985,1C1,,,,,,
Chad,1985,1C1A,,,,,,
Chad,1985,1C1B,,,,,,
Chad,1985,1C1C,,,,,,
Chad,1985,1C2,,,,,,
Chad,1985,1C2A,,,,,,
Chad,1985,1C2B,,,,,,
Chad,1985,1C3,,,,,,
Chad,1985,2,,,,,,
Chad,1985,2A,,,,,,
Chad,1985,2A1,,,,,,
Chad,1985,2A2,,,,,,
Chad,1985,2A3,,,,,,
Chad,1985,2A4,,,,,,
Chad,1985,2A4A,,,,,,
Chad,1985,2A4B,,,,,,
Chad,1985,2A4C,,,,,,
Chad,1985,2A4D,,,,,,
Chad,1985,2B,,,,,,
Chad,1985,2B1,,,,,,
Chad,1985,2B2,,,,,,
Chad,1985,2B3,,,,,,
Chad,1985,2B4,,,,,,
Chad,1985,2B5,,,,,,
Chad,1985,2B6,,,,,,
Chad,1985,2B7,,,,,,
Chad,1985,2B8,,,,,,
Chad,1985,2B8A,,,,,,
Chad,1985,2B8B,,,,,,
Chad,1985,2B8C,,,,,,
Chad,1985,2B8D,,,,,,
Chad,1985,2B8E,,,,,,
Chad,1985,2B8F,,,,,,
Chad,1985,2B9,,,,,,
Chad,1985,2B9A,,,,,,
Chad,1985,2B9B,,,,,,
Chad,1985,2B10,,,,,,
Chad,1985,2C,,,,,,
Chad,1985,2C1,,,,,,
Chad,1985,2C2,,,,,,
Chad,1985,2C3,,,,,,
Chad,1985,2C4,,,,,,
Chad,1985,2C5,,,,,,
Chad,1985,2C6,,,,,,
Chad,1985,2C7,,,,,,
Chad,1985,2D,,,,,,
Chad,1985,2D1,,,,,,
Chad,1985,2D2,,,,,,
Chad,1985,2D3,,,,,,
Chad,1985,2D4,,,,,,
Chad,1985,2E,,,,,,
Chad,1985,20,,,,,,
Chad,1985,200,,,,,,
Chad,1985,2000,,,,,,
Chad,1985,20000,,,,,,
Chad,1985,200000,,,,,,
Chad,1985,2F,,,,,,
