Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
Croatia,1985,0,,,,,,
Croatia,1985,1,,,,,,
Croatia,1985,1B,,,,,,
Croatia,1985,1B1,,,,,,
Croatia,1985,1B1A,,,,,,
Croatia,1985,1B1A1,,,,,,
Croatia,1985,1B1A11,,,,,,
Croatia,1985,1B1A12,,,,,,
Croatia,1985,1B1A13,,,,,,
Croatia,1985,1B1A14,,,,,,
Croatia,1985,1B1A2,,,,,,
Croatia,1985,1B1A21,,,,,,
Croatia,1985,1B1A22,,,,,,
Croatia,1985,1B1B,,,,,,
Croatia,1985,1B2,,,,,,
Croatia,1985,1B2A,,,,,,
Croatia,1985,1B2A1,,,,,,
Croatia,1985,1B2A2,,,,,,
Croatia,1985,1B2A3,,,,,,
Croatia,1985,1B2A31,,,,,,
Croatia,1985,1B2A32,,,,,,
Croatia,1985,1B2A33,,,,,,
Croatia,1985,1B2A34,,,,,,
Croatia,1985,1B2A35,,,,,,
Croatia,1985,1B2A36,,,,,,
Croatia,1985,1B2B,,,,,,
Croatia,1985,1B2B1,,,,,,
Croatia,1985,1B2B2,,,,,,
Croatia,1985,1B2B3,,,,,,
Croatia,1985,1B2B31,,,,,,
Croatia,1985,1B2B32,,,,,,
Croatia,1985,1B2B33,,,,,,
Croatia,1985,1B2B34,,,,,,
Croatia,1985,1B2B35,,,,,,
Croatia,1985,1B2B36,,,,,,
Croatia,1985,1B3,,,,,,
Croatia,1985,1C,,,,,,
Croatia,1985,1C1,,,,,,
Croatia,1985,1C1A,,,,,,
Croatia,1985,1C1B,,,,,,
Croatia,1985,1C1C,,,,,,
Croatia,1985,1C2,,,,,,
Croatia,1985,1C2A,,,,,,
Croatia,1985,1C2B,,,,,,
Croatia,1985,1C3,,,,,,
Croatia,1985,2,,,,,,
Croatia,1985,2A,,,,,,
Croatia,1985,2A1,,,,,,
Croatia,1985,2A2,,,,,,
Croatia,1985,2A3,,,,,,
Croatia,1985,2A4,,,,,,
Croatia,1985,2A4A,,,,,,
Croatia,1985,2A4B,,,,,,
Croatia,1985,2A4C,,,,,,
Croatia,1985,2A4D,,,,,,
Croatia,1985,2B,,,,,,
Croatia,1985,2B1,,,,,,
Croatia,1985,2B2,,,,,,
Croatia,1985,2B3,,,,,,
Croatia,1985,2B4,,,,,,
Croatia,1985,2B5,,,,,,
Croatia,1985,2B6,,,,,,
Croatia,1985,2B7,,,,,,
Croatia,1985,2B8,,,,,,
Croatia,1985,2B8A,,,,,,
Croatia,1985,2B8B,,,,,,
Croatia,1985,2B8C,,,,,,
Croatia,1985,2B8D,,,,,,
Croatia,1985,2B8E,,,,,,
Croatia,1985,2B8F,,,,,,
Croatia,1985,2B9,,,,,,
Croatia,1985,2B9A,,,,,,
Croatia,1985,2B9B,,,,,,
Croatia,1985,2B10,,,,,,
Croatia,1985,2C,,,,,,
Croatia,1985,2C1,,,,,,
Croatia,1985,2C2,,,,,,
Croatia,1985,2C3,,,,,,
Croatia,1985,2C4,,,,,,
Croatia,1985,2C5,,,,,,
Croatia,1985,2C6,,,,,,
Croatia,1985,2C7,,,,,,
Croatia,1985,2D,,,,,,
Croatia,1985,2D1,,,,,,
Croatia,1985,2D2,,,,,,
Croatia,1985,2D3,,,,,,
Croatia,1985,2D4,,,,,,
Croatia,1985,2E,,,,,,
Croatia,1985,20,,,,,,
Croatia,1985,200,,,,,,
Croatia,1985,2000,,,,,,
Croatia,1985,20000,,,,,,
Croatia,1985,200000,,,,,,
Croatia,1985,2F,,,,,,
Croatia,1985,2F1,,,,,,
Croatia,1985,2F2,,,,,,
Croatia,1985,2F3,,,,,,
Croatia,1985,2F4,,,,,,
Croatia,1985,2F5,,,,,,
Croatia,1985,2F6,,,,,,
Croatia,1985,2G,,,,,,
Croatia,1985,2G1,,,,,,
Croatia,1985,2G2,,,,,,
Croatia,1985,2G3,,,,,,
Croatia,1985,2G4,,,,,,
Croatia,1985,2H,,,,,,
Croatia,1985,2H1,,,,,,
Croatia,1985,2H2,,,,,,
Croatia,1985,2H3,,,,,,
Croatia,1985,3,,,,,,
Croatia,1985,3A,,,,,,
Croatia,1985,3A1,,,,,,
Croatia,1985,3A2,,,,,,
Croatia,1985,3B,,,,,,
Croatia,1985,3B1,,,,,,
Croatia,1985,3B1A,,,,,,
Croatia,1985,3B1B,,,,,,
Croatia,1985,3B2,,,,,,
Croatia,1985,3B2A,,,,,,
Croatia,1985,3B2B,,,,,,
Croatia,1985,3B3,,,,,,
Croatia,1985,3B3A,,,,,,
Croatia,1985,3B3B,,,,,,
Croatia,1985,3B4,,,,,,
Croatia,1985,3B4A,,,,,,
Croatia,1985,3B4B,,,,,,
Croatia,1985,3B5,,,,,,
Croatia,1985,3B5A,,,,,,
Croatia,1985,3B5B,,,,,,
Croatia,1985,3B6,,,,,,
Croatia,1985,3B6A,,,,,,
Croatia,1985,3B6B,,,,,,
Croatia,1985,3B6B1,,,,,,
Croatia,1985,3B6B2,,,,,,
Croatia,1985,3B6B3,,,,,,
Croatia,1985,3B6B4,,,,,,
Croatia,1985,3B6B5,,,,,,
Croatia,1985,3C,,,,,,
Croatia,1985,3C1,,,,,,
Croatia,1985,3C2,,,,,,
Croatia,1985,3C3,,,,,,
Croatia,1985,3C4,,,,,,
Croatia,1985,3C5,,,,,,
Croatia,1985,3C6,,,,,,
Croatia,1985,3C7,,,,,,
Croatia,1985,3C8,,,,,,
Croatia,1985,3D,,,,,,
Croatia,1985,3D1,,,,,,
Croatia,1985,3D2,,,,,,
Croatia,1985,4,,,,,,
Croatia,1985,4A,,,,,,
Croatia,1985,4A1,,,,,,
Croatia,1985,4A2,,,,,,
Croatia,1985,4A3,,,,,,
Croatia,1985,4B,,,,,,
Croatia,1985,4C,,,,,,
Croatia,1985,4C1,,,,,,
Croatia,1985,4C2,,,,,,
Croatia,1985,4D,,,,,,
Croatia,1985,4D1,,,,,,
Croatia,1985,4D2,,,,,,
Croatia,1985,4E,,,,,,
Croatia,1985,5,,,,,,
Croatia,1985,5A,,,,,,
Croatia,1985,5A1,,,,,,
Croatia,1985,5A2,,,,,,
Croatia,1985,1A,Coal/peat,,,,,
Croatia,1985,1A,Oil,,,,,
Croatia,1985,1A,Natural gas,,,,,
Croatia,1985,1A1,Coal/peat,,,,,
Croatia,1985,1A1,Oil,,,,,
Croatia,1985,1A1,Natural gas,,,,,
Croatia,1985,1A1A,Coal/peat,,,,,
Croatia,1985,1A1A,Oil,,,,,
Croatia,1985,1A1A,Natural gas,,,,,
Croatia,1985,1A1A1,Coal/peat,,,,,
Croatia,1985,1A1A1,Oil,,,,,
Croatia,1985,1A1A1,Natural gas,,,,,
