Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
Ethiopia,1985,0,,,,,,
Ethiopia,1985,1,,,,,,
Ethiopia,1985,1B,,,,,,
Ethiopia,1985,1B1,,,,,,
Ethiopia,1985,1B1A,,,,,,
Ethiopia,1985,1B1A1,,,,,,
Ethiopia,1985,1B1A11,,,,,,
Ethiopia,1985,1B1A12,,,,,,
Ethiopia,1985,1B1A13,,,,,,
Ethiopia,1985,1B1A14,,,,,,
Ethiopia,1985,1B1A2,,,,,,
Ethiopia,1985,1B1A21,,,,,,
Ethiopia,1985,1B1A22,,,,,,
Ethiopia,1985,1B1B,,,,,,
Ethiopia,1985,1B2,,,,,,
Ethiopia,1985,1B2A,,,,,,
Ethiopia,1985,1B2A1,,,,,,
Ethiopia,1985,1B2A2,,,,,,
Ethiopia,1985,1B2A3,,,,,,
Ethiopia,1985,1B2A31,,,,,,
Ethiopia,1985,1B2A32,,,,,,
Ethiopia,1985,1B2A33,,,,,,
Ethiopia,1985,1B2A34,,,,,,
Ethiopia,1985,1B2A35,,,,,,
Ethiopia,1985,1B2A36,,,,,,
Ethiopia,1985,1B2B,,,,,,
Ethiopia,1985,1B2B1,,,,,,
Ethiopia,1985,1B2B2,,,,,,
Ethiopia,1985,1B2B3,,,,,,
Ethiopia,1985,1B2B31,,,,,,
Ethiopia,1985,1B2B32,,,,,,
Ethiopia,1985,1B2B33,,,,,,
Ethiopia,1985,1B2B34,,,,,,
Ethiopia,1985,1B2B35,,,,,,
Ethiopia,1985,1B2B36,,,,,,
Ethiopia,1985,1B3,,,,,,
Ethiopia,1985,1C,,,,,,
Ethiopia,1985,1C1,,,,,,
Ethiopia,1985,1C1A,,,,,,
Ethiopia,1985,1C1B,,,,,,
Ethiopia,1985,1C1C,,,,,,
Ethiopia,1985,1C2,,,,,,
Ethiopia,1985,1C2A,,,,,,
Ethiopia,1985,1C2B,,,,,,
Ethiopia,1985,1C3,,,,,,
Ethiopia,1985,2,,,,,,
Ethiopia,1985,2A,,,,,,
Ethiopia,1985,2A1,,,,,,
Ethiopia,1985,2A2,,,,,,
Ethiopia,1985,2A3,,,,,,
Ethiopia,1985,2A4,,,,,,
Ethiopia,1985,2A4A,,,,,,
Ethiopia,1985,2A4B,,,,,,
Ethiopia,1985,2A4C,,,,,,
Ethiopia,1985,2A4D,,,,,,
Ethiopia,1985,2B,,,,,,
Ethiopia,1985,2B1,,,,,,
Ethiopia,1985,2B2,,,,,,
Ethiopia,1985,2B3,,,,,,
Ethiopia,1985,2B4,,,,,,
Ethiopia,1985,2B5,,,,,,
Ethiopia,1985,2B6,,,,,,
Ethiopia,1985,2B7,,,,,,
Ethiopia,1985,2B8,,,,,,
Ethiopia,1985,2B8A,,,,,,
Ethiopia,1985,2B8B,,,,,,
Ethiopia,1985,2B8C,,,,,,
Ethiopia,1985,2B8D,,,,,,
Ethiopia,1985,2B8E,,,,,,
Ethiopia,1985,2B8F,,,,,,
Ethiopia,1985,2B9,,,,,,
Ethiopia,1985,2B9A,,,,,,
Ethiopia,1985,2B9B,,,,,,
Ethiopia,1985,2B10,,,,,,
Ethiopia,1985,2C,,,,,,
Ethiopia,1985,2C1,,,,,,
Ethiopia,1985,2C2,,,,,,
Ethiopia,1985,2C3,,,,,,
Ethiopia,1985,2C4,,,,,,
Ethiopia,1985,2C5,,,,,,
Ethiopia,1985,2C6,,,,,,
Ethiopia,1985,2C7,,,,,,
Ethiopia,1985,2D,,,,,,
Ethiopia,1985,2D1,,,,,,
Ethiopia,1985,2D2,,,,,,
Ethiopia,1985,2D3,,,,,,
Ethiopia,1985,2D4,,,,,,
Ethiopia,1985,2E,,,,,,
Ethiopia,1985,20,,,,,,
Ethiopia,1985,200,,,,,,
Ethiopia,1985,2000,,,,,,
Ethiopia,1985,20000,,,,,,
Ethiopia,1985,200000,,,,,,
Ethiopia,1985,2F,,,,,,
Ethiopia,1985,2F1,,,,,,
Ethiopia,1985,2F2,,,,,,
Ethiopia,1985,2F3,,,,,,
Ethiopia,1985,2F4,,,,,,
Ethiopia,1985,2F5,,,,,,
Ethiopia,1985,2F6,,,,,,
Ethiopia,1985,2G,,,,,,
Ethiopia,1985,2G1,,,,,,
Ethiopia,1985,2G2,,,,,,
Ethiopia,1985,2G3,,,,,,
Ethiopia,1985,2G4,,,,,,
Ethiopia,1985,2H,,,,,,
Ethiopia,1985,2H1,,,,,,
Ethiopia,1985,2H2,,,,,,
Ethiopia,1985,2H3,,,,,,
Ethiopia,1985,3,,,,,,
Ethiopia,1985,3A,,,,,,
Ethiopia,1985,3A1,,,,,,
Ethiopia,1985,3A2,,,,,,
Ethiopia,1985,3B,,,,,,
Ethiopia,1985,3B1,,,,,,
Ethiopia,1985,3B1A,,,,,,
Ethiopia,1985,3B1B,,,,,,
Ethiopia,1985,3B2,,,,,,
Ethiopia,1985,3B2A,,,,,,
Ethiopia,1985,3B2B,,,,,,
Ethiopia,1985,3B3,,,,,,
Ethiopia,1985,3B3A,,,,,,
Ethiopia,1985,3B3B,,,,,,
Ethiopia,1985,3B4,,,,,,
Ethiopia,1985,3B4A,,,,,,
Ethiopia,1985,3B4B,,,,,,
Ethiopia,1985,3B5,,,,,,
Ethiopia,1985,3B5A,,,,,,
Ethiopia,1985,3B5B,,,,,,
Ethiopia,1985,3B6,,,,,,
Ethiopia,1985,3B6A,,,,,,
Ethiopia,1985,3B6B,,,,,,
Ethiopia,1985,3B6B1,,,,,,
Ethiopia,1985,3B6B2,,,,,,
Ethiopia,1985,3B6B3,,,,,,
Ethiopia,1985,3B6B4,,,,,,
Ethiopia,1985,3B6B5,,,,,,
Ethiopia,1985,3C,,,,,,
Ethiopia,1985,3C1,,,,,,
Ethiopia,1985,3C2,,,,,,
Ethiopia,1985,3C3,,,,,,
Ethiopia,1985,3C4,,,,,,
Ethiopia,1985,3C5,,,,,,
Ethiopia,1985,3C6,,,,,,
Ethiopia,1985,3C7,,,,,,
Ethiopia,1985,3C8,,,,,,
Ethiopia,1985,3D,,,,,,
Ethiopia,1985,3D1,,,,,,
Ethiopia,1985,3D2,,,,,,
Ethiopia,1985,4,,,,,,
Ethiopia,1985,4A,,,,,,
Ethiopia,1985,4A1,,,,,,
Ethiopia,1985,4A2,,,,,,
Ethiopia,1985,4A3,,,,,,
Ethiopia,1985,4B,,,,,,
Ethiopia,1985,4C,,,,,,
Ethiopia,1985,4C1,,,,,,
Ethiopia,1985,4C2,,,,,,
Ethiopia,1985,4D,,,,,,
Ethiopia,1985,4D1,,,,,,
Ethiopia,1985,4D2,,,,,,
Ethiopia,1985,4E,,,,,,
Ethiopia,1985,5,,,,,,
Ethiopia,1985,5A,,,,,,
Ethiopia,1985,5A1,,,,,,
Ethiopia,1985,5A2,,,,,,
Ethiopia,1985,1A,Coal/peat,,,,,
Ethiopia,1985,1A,Oil,,,,,
Ethiopia,1985,1A,Natural gas,,,,,
Ethiopia,1985,1A1,Coal/peat,,,,,
Ethiopia,1985,1A1,Oil,,,,,
Ethiopia,1985,1A1,Natural gas,,,,,
Ethiopia,1985,1A1A,Coal/peat,,,,,
Ethiopia,1985,1A1A,Oil,,,,,
Ethiopia,1985,1A1A,Natural gas,,,,,
Ethiopia,1985,1A1A1,Coal/peat,,,,,
Ethiopia,1985,1A1A1,Oil,,,,,
Ethiopia,1985,1A1A1,Natural gas,,,,,
Ethiopia,1985,1A1A2,Coal/peat,,,,,
Ethiopia,1985,1A1A2,Oil,,,,,
Ethiopia,1985,1A1A2,Natural gas,,,,,
Ethiopia,1985,1A1A3,Coal/peat,,,,,
Ethiopia,1985,1A1A3,Oil,,,,,
Ethiopia,1985,1A1A3,Natural gas,,,,,
Ethiopia,1985,1A1B,Coal/peat,,,,,
Ethiopia,1985,1A1B,Oil,,,,,
Ethiopia,1985,1A1B,Natural gas,,,,,
Ethiopia,1985,1A1C,Coal/peat,,,,,
Ethiopia,1985,1A1C,Oil,,,,,
Ethiopia,1985,1A1C,Natural gas,,,,,
Ethiopia,1985,1A2,Coal/peat,,,,,
Ethiopia,1985,1A2,Oil,,,,,
Ethiopia,1985,1A2,Natural gas,,,,,
Ethiopia,1985,1A2A,Coal/peat,,,,,
Ethiopia,1985,1A2A,Oil,,,,,
Ethiopia,1985,1A2A,Natural gas,,,,,
