Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
Haiti,1985,0,,,,,,
Haiti,1985,1,,,,,,
Haiti,1985,1B,,,,,,
Haiti,1985,1B1,,,,,,
Haiti,1985,1B1A,,,,,,
Haiti,1985,1B1A1,,,,,,
Haiti,1985,1B1A11,,,,,,
Haiti,1985,1B1A12,,,,,,
Haiti,1985,1B1A13,,,,,,
Haiti,1985,1B1A14,,,,,,
Haiti,1985,1B1A2,,,,,,
Haiti,1985,1B1A21,,,,,,
Haiti,1985,1B1A22,,,,,,
Haiti,1985,1B1B,,,,,,
Haiti,1985,1B2,,,,,,
Haiti,1985,1B2A,,,,,,
Haiti,1985,1B2A1,,,,,,
Haiti,1985,1B2A2,,,,,,
Haiti,1985,1B2A3,,,,,,
Haiti,1985,1B2A31,,,,,,
Haiti,1985,1B2A32,,,,,,
Haiti,1985,1B2A33,,,,,,
Haiti,1985,1B2A34,,,,,,
Haiti,1985,1B2A35,,,,,,
Haiti,1985,1B2A36,,,,,,
Haiti,1985,1B2B,,,,,,
Haiti,1985,1B2B1,,,,,,
Haiti,1985,1B2B2,,,,,,
Haiti,1985,1B2B3,,,,,,
Haiti,1985,1B2B31,,,,,,
Haiti,1985,1B2B32,,,,,,
Haiti,1985,1B2B33,,,,,,
Haiti,1985,1B2B34,,,,,,
Haiti,1985,1B2B35,,,,,,
Haiti,1985,1B2B36,,,,,,
Haiti,1985,1B3,,,,,,
Haiti,1985,1C,,,,,,
Haiti,1985,1C1,,,,,,
Haiti,1985,1C1A,,,,,,
Haiti,1985,1C1B,,,,,,
Haiti,1985,1C1C,,,,,,
Haiti,1985,1C2,,,,,,
Haiti,1985,1C2A,,,,,,
Haiti,1985,1C2B,,,,,,
Haiti,1985,1C3,,,,,,
Haiti,1985,2,,,,,,
Haiti,1985,2A,,,,,,
Haiti,1985,2A1,,,,,,
Haiti,1985,2A2,,,,,,
Haiti,1985,2A3,,,,,,
Haiti,1985,2A4,,,,,,
Haiti,1985,2A4A,,,,,,
Haiti,1985,2A4B,,,,,,
Haiti,1985,2A4C,,,,,,
Haiti,1985,2A4D,,,,,,
Haiti,1985,2B,,,,,,
Haiti,1985,2B1,,,,,,
Haiti,1985,2B2,,,,,,
Haiti,1985,2B3,,,,,,
Haiti,1985,2B4,,,,,,
Haiti,1985,2B5,,,,,,
Haiti,1985,2B6,,,,,,
Haiti,1985,2B7,,,,,,
Haiti,1985,2B8,,,,,,
Haiti,1985,2B8A,,,,,,
Haiti,1985,2B8B,,,,,,
Haiti,1985,2B8C,,,,,,
Haiti,1985,2B8D,,,,,,
Haiti,1985,2B8E,,,,,,
Haiti,1985,2B8F,,,,,,
Haiti,1985,2B9,,,,,,
Haiti,1985,2B9A,,,,,,
Haiti,1985,2B9B,,,,,,
Haiti,1985,2B10,,,,,,
Haiti,1985,2C,,,,,,
Haiti,1985,2C1,,,,,,
Haiti,1985,2C2,,,,,,
Haiti,1985,2C3,,,,,,
Haiti,1985,2C4,,,,,,
Haiti,1985,2C5,,,,,,
Haiti,1985,2C6,,,,,,
Haiti,1985,2C7,,,,,,
Haiti,1985,2D,,,,,,
Haiti,1985,2D1,,,,,,
Haiti,1985,2D2,,,,,,
Haiti,1985,2D3,,,,,,
Haiti,1985,2D4,,,,,,
Haiti,1985,2E,,,,,,
Haiti,1985,20,,,,,,
Haiti,1985,200,,,,,,
Haiti,1985,2000,,,,,,
Haiti,1985,20000,,,,,,
Haiti,1985,200000,,,,,,
Haiti,1985,2F,,,,,,
Haiti,1985,2F1,,,,,,
Haiti,1985,2F2,,,,,,
Haiti,1985,2F3,,,,,,
Haiti,1985,2F4,,,,,,
Haiti,1985,2F5,,,,,,
Haiti,1985,2F6,,,,,,
Haiti,1985,2G,,,,,,
Haiti,1985,2G1,,,,,,
Haiti,1985,2G2,,,,,,
Haiti,1985,2G3,,,,,,
Haiti,1985,2G4,,,,,,
Haiti,1985,2H,,,,,,
Haiti,1985,2H1,,,,,,
Haiti,1985,2H2,,,,,,
Haiti,1985,2H3,,,,,,
Haiti,1985,3,,,,,,
Haiti,1985,3A,,,,,,
Haiti,1985,3A1,,,,,,
Haiti,1985,3A2,,,,,,
Haiti,1985,3B,,,,,,
Haiti,1985,3B1,,,,,,
Haiti,1985,3B1A,,,,,,
Haiti,1985,3B1B,,,,,,
Haiti,1985,3B2,,,,,,
Haiti,1985,3B2A,,,,,,
Haiti,1985,3B2B,,,,,,
Haiti,1985,3B3,,,,,,
Haiti,1985,3B3A,,,,,,
Haiti,1985,3B3B,,,,,,
Haiti,1985,3B4,,,,,,
Haiti,1985,3B4A,,,,,,
Haiti,1985,3B4B,,,,,,
Haiti,1985,3B5,,,,,,
Haiti,1985,3B5A,,,,,,
Haiti,1985,3B5B,,,,,,
Haiti,1985,3B6,,,,,,
Haiti,1985,3B6A,,,,,,
Haiti,1985,3B6B,,,,,,
Haiti,1985,3B6B1,,,,,,
Haiti,1985,3B6B2,,,,,,
Haiti,1985,3B6B3,,,,,,
Haiti,1985,3B6B4,,,,,,
Haiti,1985,3B6B5,,,,,,
Haiti,1985,3C,,,,,,
Haiti,1985,3C1,,,,,,
Haiti,1985,3C2,,,,,,
Haiti,1985,3C3,,,,,,
Haiti,1985,3C4,,,,,,
Haiti,1985,3C5,,,,,,
Haiti,1985,3C6,,,,,,
Haiti,1985,3C7,,,,,,
Haiti,1985,3C8,,,,,,
Haiti,1985,3D,,,,,,
Haiti,1985,3D1,,,,,,
Haiti,1985,3D2,,,,,,
Haiti,1985,4,,,,,,
Haiti,1985,4A,,,,,,
Haiti,1985,4A1,,,,,,
Haiti,1985,4A2,,,,,,
Haiti,1985,4A3,,,,,,
Haiti,1985,4B,,,,,,
Haiti,1985,4C,,,,,,
Haiti,1985,4C1,,,,,,
Haiti,1985,4C2,,,,,,
Haiti,1985,4D,,,,,,
Haiti,1985,4D1,,,,,,
Haiti,1985,4D2,,,,,,
Haiti,1985,4E,,,,,,
Haiti,1985,5,,,,,,
Haiti,1985,5A,,,,,,
Haiti,1985,5A1,,,,,,
Haiti,1985,5A2,,,,,,
Haiti,1985,1A,Coal/peat,,,,,
Haiti,1985,1A,Oil,,,,,
Haiti,1985,1A,Natural gas,,,,,
Haiti,1985,1A1,Coal/peat,,,,,
Haiti,1985,1A1,Oil,,,,,
Haiti,1985,1A1,Natural gas,,,,,
Haiti,1985,1A1A,Coal/peat,,,,,
Haiti,1985,1A1A,Oil,,,,,
Haiti,1985,1A1A,Natural gas,,,,,
Haiti,1985,1A1A1,Coal/peat,,,,,
Haiti,1985,1A1A1,Oil,,,,,
Haiti,1985,1A1A1,Natural gas,,,,,
Haiti,1985,1A1A2,Coal/peat,,,,,
Haiti,1985,1A1A2,Oil,,,,,
Haiti,1985,1A1A2,Natural gas,,,,,
Haiti,1985,1A1A3,Coal/peat,,,,,
Haiti,1985,1A1A3,Oil,,,,,
Haiti,1985,1A1A3,Natural gas,,,,,
Haiti,1985,1A1B,Coal/peat,,,,,
Haiti,1985,1A1B,Oil,,,,,
Haiti,1985,1A1B,Natural gas,,,,,
Haiti,1985,1A1C,Coal/peat,,,,,
Haiti,1985,1A1C,Oil,,,,,
Haiti,1985,1A1C,Natural gas,,,,,
Haiti,1985,1A2,Coal/peat,,,,,
Haiti,1985,1A2,Oil,,,,,
Haiti,1985,1A2,Natural gas,,,,,
Haiti,1985,1A2A,Coal/peat,,,,,
Haiti,1985,1A2A,Oil,,,,,
Haiti,1985,1A2A,Natural gas,,,,,
Haiti,1985,1A2B,Coal/peat,,,,,
Haiti,1985,1A2B,Oil,,,,,
Haiti,1985,1A2B,Natural gas,,,,,
Haiti,1985,1A2C,Coal/peat,,,,,
Haiti,1985,1A2C,Oil,,,,,
