Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
Ireland,1989,0,,,,,,
Ireland,1989,1,,,,,,
Ireland,1989,1A,Coal/peat,,,,,
Ireland,1989,1A,Natural gas,,,,,
Ireland,1989,1A,Oil,,,,,
Ireland,1989,1A1,Coal/peat,,,,,
Ireland,1989,1A1,Natural gas,,,,,
Ireland,1989,1A1,Oil,,,,,
Ireland,1989,1A1A,Coal/peat,,,,,
Ireland,1989,1A1A,Natural gas,,,,,
Ireland,1989,1A1A,Oil,,,,,
Ireland,1989,1A1A1,Coal/peat,,,,,
Ireland,1989,1A1A1,Natural gas,,,,,
Ireland,1989,1A1A1,Oil,,,,,
Ireland,1989,1A1A2,Coal/peat,,,,,
Ireland,1989,1A1A2,Natural gas,,,,,
Ireland,1989,1A1A2,Oil,,,,,
Ireland,1989,1A1A3,Coal/peat,,,,,
Ireland,1989,1A1A3,Natural gas,,,,,
Ireland,1989,1A1A3,Oil,,,,,
Ireland,1989,1A1B,Coal/peat,,,,,
Ireland,1989,1A1B,Natural gas,,,,,
Ireland,1989,1A1B,Oil,,,,,
Ireland,1989,1A1C,Coal/peat,,,,,
Ireland,1989,1A1C,Natural gas,,,,,
Ireland,1989,1A1C,Oil,,,,,
Ireland,1989,1A2,Coal/peat,,,,,
Ireland,1989,1A2,Natural gas,,,,,
Ireland,1989,1A2,Oil,,,,,
Ireland,1989,1A2A,Coal/peat,,,,,
Ireland,1989,1A2A,Natural gas,,,,,
Ireland,1989,1A2A,Oil,,,,,
Ireland,1989,1A2B,Coal/peat,,,,,
Ireland,1989,1A2B,Natural gas,,,,,
Ireland,1989,1A2B,Oil,,,,,
Ireland,1989,1A2C,Coal/peat,,,,,
Ireland,1989,1A2C,Natural gas,,,,,
Ireland,1989,1A2C,Oil,,,,,
Ireland,1989,1A2D,Coal/peat,,,,,
Ireland,1989,1A2D,Natural gas,,,,,
Ireland,1989,1A2D,Oil,,,,,
Ireland,1989,1A2E,Coal/peat,,,,,
Ireland,1989,1A2E,Natural gas,,,,,
Ireland,1989,1A2E,Oil,,,,,
Ireland,1989,1A2F,Coal/peat,,,,,
Ireland,1989,1A2F,Natural gas,,,,,
Ireland,1989,1A2F,Oil,,,,,
Ireland,1989,1A2G,Coal/peat,,,,,
Ireland,1989,1A2G,Natural gas,,,,,
Ireland,1989,1A2G,Oil,,,,,
Ireland,1989,1A2H,Coal/peat,,,,,
Ireland,1989,1A2H,Natural gas,,,,,
Ireland,1989,1A2H,Oil,,,,,
Ireland,1989,1A2I,Coal/peat,,,,,
Ireland,1989,1A2I,Natural gas,,,,,
Ireland,1989,1A2I,Oil,,,,,
Ireland,1989,1A2J,Coal/peat,,,,,
Ireland,1989,1A2J,Natural gas,,,,,
Ireland,1989,1A2J,Oil,,,,,
Ireland,1989,1A2K,Coal/peat,,,,,
Ireland,1989,1A2K,Natural gas,,,,,
Ireland,1989,1A2K,Oil,,,,,
Ireland,1989,1A2L,Coal/peat,,,,,
Ireland,1989,1A2L,Natural gas,,,,,
Ireland,1989,1A2L,Oil,,,,,
Ireland,1989,1A2M,Coal/peat,,,,,
Ireland,1989,1A2M,Natural gas,,,,,
Ireland,1989,1A2M,Oil,,,,,
Ireland,1989,1A3,Coal/peat,,,,,
Ireland,1989,1A3,Natural gas,,,,,
Ireland,1989,1A3,Oil,,,,,
Ireland,1989,1A3A,Coal/peat,,,,,
Ireland,1989,1A3A,Natural gas,,,,,
Ireland,1989,1A3A,Oil,,,,,
Ireland,1989,1A3A1,Coal/peat,,,,,
Ireland,1989,1A3A1,Natural gas,,,,,
Ireland,1989,1A3A1,Oil,,,,,
Ireland,1989,1A3A2,Coal/peat,,,,,
Ireland,1989,1A3A2,Natural gas,,,,,
Ireland,1989,1A3A2,Oil,,,,,
Ireland,1989,1A3B,Coal/peat,,,,,
Ireland,1989,1A3B,Natural gas,,,,,
Ireland,1989,1A3B,Oil,,,,,
Ireland,1989,1A3C,Coal/peat,,,,,
Ireland,1989,1A3C,Natural gas,,,,,
Ireland,1989,1A3C,Oil,,,,,
Ireland,1989,1A3D,Coal/peat,,,,,
Ireland,1989,1A3D,Natural gas,,,,,
Ireland,1989,1A3D,Oil,,,,,
Ireland,1989,1A3D1,Coal/peat,,,,,
Ireland,1989,1A3D1,Natural gas,,,,,
Ireland,1989,1A3D1,Oil,,,,,
Ireland,1989,1A3D2,Coal/peat,,,,,
Ireland,1989,1A3D2,Natural gas,,,,,
Ireland,1989,1A3D2,Oil,,,,,
Ireland,1989,1A3E,Coal/peat,,,,,
Ireland,1989,1A3E,Natural gas,,,,,
Ireland,1989,1A3E,Oil,,,,,
Ireland,1989,1A3E1,Coal/peat,,,,,
Ireland,1989,1A3E1,Natural gas,,,,,
Ireland,1989,1A3E1,Oil,,,,,
Ireland,1989,1A4,Coal/peat,,,,,
Ireland,1989,1A4,Natural gas,,,,,
Ireland,1989,1A4,Oil,,,,,
Ireland,1989,1A4A,Coal/peat,,,,,
Ireland,1989,1A4A,Natural gas,,,,,
