Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
"Macao SAR, China",1985,0,,,,,,
"Macao SAR, China",1985,1,,,,,,
"Macao SAR, China",1985,1B,,,,,,
"Macao SAR, China",1985,1B1,,,,,,
"Macao SAR, China",1985,1B1A,,,,,,
"Macao SAR, China",1985,1B1A1,,,,,,
"Macao SAR, China",1985,1B1A11,,,,,,
"Macao SAR, China",1985,1B1A12,,,,,,
"Macao SAR, China",1985,1B1A13,,,,,,
"Macao SAR, China",1985,1B1A14,,,,,,
"Macao SAR, China",1985,1B1A2,,,,,,
"Macao SAR, China",1985,1B1A21,,,,,,
"Macao SAR, China",1985,1B1A22,,,,,,
"Macao SAR, China",1985,1B1B,,,,,,
"Macao SAR, China",1985,1B2,,,,,,
"Macao SAR, China",1985,1B2A,,,,,,
"Macao SAR, China",1985,1B2A1,,,,,,
"Macao SAR, China",1985,1B2A2,,,,,,
"Macao SAR, China",1985,1B2A3,,,,,,
"Macao SAR, China",1985,1B2A31,,,,,,
"Macao SAR, China",1985,1B2A32,,,,,,
"Macao SAR, China",1985,1B2A33,,,,,,
"Macao SAR, China",1985,1B2A34,,,,,,
"Macao SAR, China",1985,1B2A35,,,,,,
"Macao SAR, China",1985,1B2A36,,,,,,
"Macao SAR, China",1985,1B2B,,,,,,
"Macao SAR, China",1985,1B2B1,,,,,,
"Macao SAR, China",1985,1B2B2,,,,,,
"Macao SAR, China",1985,1B2B3,,,,,,
"Macao SAR, China",1985,1B2B31,,,,,,
"Macao SAR, China",1985,1B2B32,,,,,,
"Macao SAR, China",1985,1B2B33,,,,,,
"Macao SAR, China",1985,1B2B34,,,,,,
"Macao SAR, China",1985,1B2B35,,,,,,
"Macao SAR, China",1985,1B2B36,,,,,,
"Macao SAR, China",1985,1B3,,,,,,
"Macao SAR, China",1985,1C,,,,,,
"Macao SAR, China",1985,1C1,,,,,,
"Macao SAR, China",1985,1C1A,,,,,,
"Macao SAR, China",1985,1C1B,,,,,,
"Macao SAR, China",1985,1C1C,,,,,,
"Macao SAR, China",1985,1C2,,,,,,
"Macao SAR, China",1985,1C2A,,,,,,
"Macao SAR, China",1985,1C2B,,,,,,
"Macao SAR, China",1985,1C3,,,,,,
"Macao SAR, China",1985,2,,,,,,
"Macao SAR, China",1985,2A,,,,,,
"Macao SAR, China",1985,2A1,,,,,,
"Macao SAR, China",1985,2A2,,,,,,
"Macao SAR, China",1985,2A3,,,,,,
"Macao SAR, China",1985,2A4,,,,,,
"Macao SAR, China",1985,2A4A,,,,,,
"Macao SAR, China",1985,2A4B,,,,,,
"Macao SAR, China",1985,2A4C,,,,,,
"Macao SAR, China",1985,2A4D,,,,,,
"Macao SAR, China",1985,2B,,,,,,
"Macao SAR, China",1985,2B1,,,,,,
"Macao SAR, China",1985,2B2,,,,,,
"Macao SAR, China",1985,2B3,,,,,,
"Macao SAR, China",1985,2B4,,,,,,
"Macao SAR, China",1985,2B5,,,,,,
"Macao SAR, China",1985,2B6,,,,,,
"Macao SAR, China",1985,2B7,,,,,,
"Macao SAR, China",1985,2B8,,,,,,
"Macao SAR, China",1985,2B8A,,,,,,
"Macao SAR, China",1985,2B8B,,,,,,
"Macao SAR, China",1985,2B8C,,,,,,
"Macao SAR, China",1985,2B8D,,,,,,
"Macao SAR, China",1985,2B8E,,,,,,
"Macao SAR, China",1985,2B8F,,,,,,
"Macao SAR, China",1985,2B9,,,,,,
"Macao SAR, China",1985,2B9A,,,,,,
"Macao SAR, China",1985,2B9B,,,,,,
"Macao SAR, China",1985,2B10,,,,,,
"Macao SAR, China",1985,2C,,,,,,
"Macao SAR, China",1985,2C1,,,,,,
"Macao SAR, China",1985,2C2,,,,,,
"Macao SAR, China",1985,2C3,,,,,,
"Macao SAR, China",1985,2C4,,,,,,
"Macao SAR, China",1985,2C5,,,,,,
"Macao SAR, China",1985,2C6,,,,,,
"Macao SAR, China",1985,2C7,,,,,,
"Macao SAR, China",1985,2D,,,,,,
"Macao SAR, China",1985,2D1,,,,,,
"Macao SAR, China",1985,2D2,,,,,,
"Macao SAR, China",1985,2D3,,,,,,
"Macao SAR, China",1985,2D4,,,,,,
"Macao SAR, China",1985,2E,,,,,,
"Macao SAR, China",1985,20,,,,,,
"Macao SAR, China",1985,200,,,,,,
"Macao SAR, China",1985,2000,,,,,,
"Macao SAR, China",1985,20000,,,,,,
"Macao SAR, China",1985,200000,,,,,,
"Macao SAR, China",1985,2F,,,,,,
"Macao SAR, China",1985,2F1,,,,,,
"Macao SAR, China",1985,2F2,,,,,,
"Macao SAR, China",1985,2F3,,,,,,
"Macao SAR, China",1985,2F4,,,,,,
"Macao SAR, China",1985,2F5,,,,,,
"Macao SAR, China",1985,2F6,,,,,,
"Macao SAR, China",1985,2G,,,,,,
"Macao SAR, China",1985,2G1,,,,,,
"Macao SAR, China",1985,2G2,,,,,,
"Macao SAR, China",1985,2G3,,,,,,
"Macao SAR, China",1985,2G4,,,,,,
"Macao SAR, China",1985,2H,,,,,,
"Macao SAR, China",1985,2H1,,,,,,
"Macao SAR, China",1985,2H2,,,,,,
"Macao SAR, China",1985,2H3,,,,,,
