Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
Mexico,1985,0,,,,,,
Mexico,1985,1,,,,,,
Mexico,1985,1B,,,,,,
Mexico,1985,1B1,,,,,,
Mexico,1985,1B1A,,,,,,
Mexico,1985,1B1A1,,,,,,
Mexico,1985,1B1A11,,,,,,
Mexico,1985,1B1A12,,,,,,
Mexico,1985,1B1A13,,,,,,
Mexico,1985,1B1A14,,,,,,
Mexico,1985,1B1A2,,,,,,
Mexico,1985,1B1A21,,,,,,
Mexico,1985,1B1A22,,,,,,
Mexico,1985,1B1B,,,,,,
Mexico,1985,1B2,,,,,,
Mexico,1985,1B2A,,,,,,
Mexico,1985,1B2A1,,,,,,
Mexico,1985,1B2A2,,,,,,
Mexico,1985,1B2A3,,,,,,
Mexico,1985,1B2A31,,,,,,
Mexico,1985,1B2A32,,,,,,
Mexico,1985,1B2A33,,,,,,
Mexico,1985,1B2A34,,,,,,
Mexico,1985,1B2A35,,,,,,
Mexico,1985,1B2A36,,,,,,
Mexico,1985,1B2B,,,,,,
Mexico,1985,1B2B1,,,,,,
Mexico,1985,1B2B2,,,,,,
Mexico,1985,1B2B3,,,,,,
Mexico,1985,1B2B31,,,,,,
Mexico,1985,1B2B32,,,,,,
Mexico,1985,1B2B33,,,,,,
Mexico,1985,1B2B34,,,,,,
Mexico,1985,1B2B35,,,,,,
Mexico,1985,1B2B36,,,,,,
Mexico,1985,1B3,,,,,,
Mexico,1985,1C,,,,,,
Mexico,1985,1C1,,,,,,
Mexico,1985,1C1A,,,,,,
Mexico,1985,1C1B,,,,,,
Mexico,1985,1C1C,,,,,,
Mexico,1985,1C2,,,,,,
Mexico,1985,1C2A,,,,,,
Mexico,1985,1C2B,,,,,,
Mexico,1985,1C3,,,,,,
Mexico,1985,2,,,,,,
Mexico,1985,2A,,,,,,
Mexico,1985,2A1,,,,,,
Mexico,1985,2A2,,,,,,
Mexico,1985,2A3,,,,,,
Mexico,1985,2A4,,,,,,
Mexico,1985,2A4A,,,,,,
Mexico,1985,2A4B,,,,,,
Mexico,1985,2A4C,,,,,,
Mexico,1985,2A4D,,,,,,
Mexico,1985,2B,,,,,,
Mexico,1985,2B1,,,,,,
Mexico,1985,2B2,,,,,,
Mexico,1985,2B3,,,,,,
Mexico,1985,2B4,,,,,,
Mexico,1985,2B5,,,,,,
Mexico,1985,2B6,,,,,,
Mexico,1985,2B7,,,,,,
Mexico,1985,2B8,,,,,,
Mexico,1985,2B8A,,,,,,
Mexico,1985,2B8B,,,,,,
Mexico,1985,2B8C,,,,,,
Mexico,1985,2B8D,,,,,,
Mexico,1985,2B8E,,,,,,
Mexico,1985,2B8F,,,,,,
Mexico,1985,2B9,,,,,,
Mexico,1985,2B9A,,,,,,
Mexico,1985,2B9B,,,,,,
Mexico,1985,2B10,,,,,,
Mexico,1985,2C,,,,,,
Mexico,1985,2C1,,,,,,
Mexico,1985,2C2,,,,,,
Mexico,1985,2C3,,,,,,
Mexico,1985,2C4,,,,,,
Mexico,1985,2C5,,,,,,
Mexico,1985,2C6,,,,,,
Mexico,1985,2C7,,,,,,
Mexico,1985,2D,,,,,,
Mexico,1985,2D1,,,,,,
Mexico,1985,2D2,,,,,,
Mexico,1985,2D3,,,,,,
Mexico,1985,2D4,,,,,,
Mexico,1985,2E,,,,,,
Mexico,1985,20,,,,,,
Mexico,1985,200,,,,,,
Mexico,1985,2000,,,,,,
Mexico,1985,20000,,,,,,
Mexico,1985,200000,,,,,,
Mexico,1985,2F,,,,,,
Mexico,1985,2F1,,,,,,
Mexico,1985,2F2,,,,,,
Mexico,1985,2F3,,,,,,
Mexico,1985,2F4,,,,,,
Mexico,1985,2F5,,,,,,
Mexico,1985,2F6,,,,,,
Mexico,1985,2G,,,,,,
Mexico,1985,2G1,,,,,,
Mexico,1985,2G2,,,,,,
Mexico,1985,2G3,,,,,,
Mexico,1985,2G4,,,,,,
Mexico,1985,2H,,,,,,
Mexico,1985,2H1,,,,,,
Mexico,1985,2H2,,,,,,
Mexico,1985,2H3,,,,,,
Mexico,1985,3,,,,,,
Mexico,1985,3A,,,,,,
Mexico,1985,3A1,,,,,,
Mexico,1985,3A2,,,,,,
Mexico,1985,3B,,,,,,
Mexico,1985,3B1,,,,,,
Mexico,1985,3B1A,,,,,,
