Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
Netherlands,1985,0,,,,,,
Netherlands,1985,1,,,,,,
Netherlands,1985,1B,,,,,,
Netherlands,1985,1B1,,,,,,
Netherlands,1985,1B1A,,,,,,
Netherlands,1985,1B1A1,,,,,,
Netherlands,1985,1B1A11,,,,,,
Netherlands,1985,1B1A12,,,,,,
Netherlands,1985,1B1A13,,,,,,
Netherlands,1985,1B1A14,,,,,,
Netherlands,1985,1B1A2,,,,,,
Netherlands,1985,1B1A21,,,,,,
Netherlands,1985,1B1A22,,,,,,
Netherlands,1985,1B1B,,,,,,
Netherlands,1985,1B2,,,,,,
Netherlands,1985,1B2A,,,,,,
Netherlands,1985,1B2A1,,,,,,
Netherlands,1985,1B2A2,,,,,,
Netherlands,1985,1B2A3,,,,,,
Netherlands,1985,1B2A31,,,,,,
Netherlands,1985,1B2A32,,,,,,
Netherlands,1985,1B2A33,,,,,,
Netherlands,1985,1B2A34,,,,,,
Netherlands,1985,1B2A35,,,,,,
Netherlands,1985,1B2A36,,,,,,
Netherlands,1985,1B2B,,,,,,
Netherlands,1985,1B2B1,,,,,,
Netherlands,1985,1B2B2,,,,,,
Netherlands,1985,1B2B3,,,,,,
Netherlands,1985,1B2B31,,,,,,
Netherlands,1985,1B2B32,,,,,,
Netherlands,1985,1B2B33,,,,,,
Netherlands,1985,1B2B34,,,,,,
Netherlands,1985,1B2B35,,,,,,
Netherlands,1985,1B2B36,,,,,,
Netherlands,1985,1B3,,,,,,
Netherlands,1985,1C,,,,,,
Netherlands,1985,1C1,,,,,,
Netherlands,1985,1C1A,,,,,,
Netherlands,1985,1C1B,,,,,,
Netherlands,1985,1C1C,,,,,,
Netherlands,1985,1C2,,,,,,
Netherlands,1985,1C2A,,,,,,
Netherlands,1985,1C2B,,,,,,
Netherlands,1985,1C3,,,,,,
Netherlands,1985,2,,,,,,
Netherlands,1985,2A,,,,,,
Netherlands,1985,2A1,,,,,,
Netherlands,1985,2A2,,,,,,
Netherlands,1985,2A3,,,,,,
Netherlands,1985,2A4,,,,,,
Netherlands,1985,2A4A,,,,,,
Netherlands,1985,2A4B,,,,,,
Netherlands,1985,2A4C,,,,,,
Netherlands,1985,2A4D,,,,,,
Netherlands,1985,2B,,,,,,
Netherlands,1985,2B1,,,,,,
Netherlands,1985,2B2,,,,,,
Netherlands,1985,2B3,,,,,,
Netherlands,1985,2B4,,,,,,
Netherlands,1985,2B5,,,,,,
Netherlands,1985,2B6,,,,,,
Netherlands,1985,2B7,,,,,,
Netherlands,1985,2B8,,,,,,
Netherlands,1985,2B8A,,,,,,
Netherlands,1985,2B8B,,,,,,
Netherlands,1985,2B8C,,,,,,
Netherlands,1985,2B8D,,,,,,
Netherlands,1985,2B8E,,,,,,
Netherlands,1985,2B8F,,,,,,
Netherlands,1985,2B9,,,,,,
Netherlands,1985,2B9A,,,,,,
Netherlands,1985,2B9B,,,,,,
Netherlands,1985,2B10,,,,,,
Netherlands,1985,2C,,,,,,
Netherlands,1985,2C1,,,,,,
Netherlands,1985,2C2,,,,,,
Netherlands,1985,2C3,,,,,,
Netherlands,1985,2C4,,,,,,
Netherlands,1985,2C5,,,,,,
Netherlands,1985,2C6,,,,,,
Netherlands,1985,2C7,,,,,,
Netherlands,1985,2D,,,,,,
Netherlands,1985,2D1,,,,,,
Netherlands,1985,2D2,,,,,,
Netherlands,1985,2D3,,,,,,
Netherlands,1985,2D4,,,,,,
Netherlands,1985,2E,,,,,,
Netherlands,1985,20,,,,,,
Netherlands,1985,200,,,,,,
Netherlands,1985,2000,,,,,,
Netherlands,1985,20000,,,,,,
Netherlands,1985,200000,,,,,,
Netherlands,1985,2F,,,,,,
Netherlands,1985,2F1,,,,,,
Netherlands,1985,2F2,,,,,,
Netherlands,1985,2F3,,,,,,
Netherlands,1985,2F4,,,,,,
Netherlands,1985,2F5,,,,,,
Netherlands,1985,2F6,,,,,,
Netherlands,1985,2G,,,,,,
Netherlands,1985,2G1,,,,,,
Netherlands,1985,2G2,,,,,,
Netherlands,1985,2G3,,,,,,
Netherlands,1985,2G4,,,,,,
Netherlands,1985,2H,,,,,,
Netherlands,1985,2H1,,,,,,
Netherlands,1985,2H2,,,,,,
Netherlands,1985,2H3,,,,,,
Netherlands,1985,3,,,,,,
Netherlands,1985,3A,,,,,,
Netherlands,1985,3A1,,,,,,
Netherlands,1985,3A2,,,,,,
Netherlands,1985,3B,,,,,,
Netherlands,1985,3B1,,,,,,
Netherlands,1985,3B1A,,,,,,
Netherlands,1985,3B1B,,,,,,
Netherlands,1985,3B2,,,,,,
Netherlands,1985,3B2A,,,,,,
Netherlands,1985,3B2B,,,,,,
Netherlands,1985,3B3,,,,,,
Netherlands,1985,3B3A,,,,,,
Netherlands,1985,3B3B,,,,,,
Netherlands,1985,3B4,,,,,,
Netherlands,1985,3B4A,,,,,,
Netherlands,1985,3B4B,,,,,,
Netherlands,1985,3B5,,,,,,
Netherlands,1985,3B5A,,,,,,
Netherlands,1985,3B5B,,,,,,
Netherlands,1985,3B6,,,,,,
Netherlands,1985,3B6A,,,,,,
Netherlands,1985,3B6B,,,,,,
Netherlands,1985,3B6B1,,,,,,
Netherlands,1985,3B6B2,,,,,,
Netherlands,1985,3B6B3,,,,,,
Netherlands,1985,3B6B4,,,,,,
Netherlands,1985,3B6B5,,,,,,
Netherlands,1985,3C,,,,,,
Netherlands,1985,3C1,,,,,,
Netherlands,1985,3C2,,,,,,
Netherlands,1985,3C3,,,,,,
Netherlands,1985,3C4,,,,,,
Netherlands,1985,3C5,,,,,,
Netherlands,1985,3C6,,,,,,
Netherlands,1985,3C7,,,,,,
Netherlands,1985,3C8,,,,,,
Netherlands,1985,3D,,,,,,
Netherlands,1985,3D1,,,,,,
Netherlands,1985,3D2,,,,,,
Netherlands,1985,4,,,,,,
Netherlands,1985,4A,,,,,,
Netherlands,1985,4A1,,,,,,
Netherlands,1985,4A2,,,,,,
Netherlands,1985,4A3,,,,,,
Netherlands,1985,4B,,,,,,
Netherlands,1985,4C,,,,,,
Netherlands,1985,4C1,,,,,,
Netherlands,1985,4C2,,,,,,
Netherlands,1985,4D,,,,,,
Netherlands,1985,4D1,,,,,,
Netherlands,1985,4D2,,,,,,
Netherlands,1985,4E,,,,,,
Netherlands,1985,5,,,,,,
Netherlands,1985,5A,,,,,,
Netherlands,1985,5A1,,,,,,
Netherlands,1985,5A2,,,,,,
Netherlands,1985,1A,Coal/peat,,,,,
Netherlands,1985,1A,Oil,,,,,
Netherlands,1985,1A,Natural gas,,,,,
Netherlands,1985,1A1,Coal/peat,,,,,
Netherlands,1985,1A1,Oil,,,,,
Netherlands,1985,1A1,Natural gas,,,,,
