Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
Palau,1985,0,,,,,,
Palau,1985,1,,,,,,
Palau,1985,1B,,,,,,
Palau,1985,1B1,,,,,,
Palau,1985,1B1A,,,,,,
Palau,1985,1B1A1,,,,,,
Palau,1985,1B1A11,,,,,,
Palau,1985,1B1A12,,,,,,
Palau,1985,1B1A13,,,,,,
Palau,1985,1B1A14,,,,,,
Palau,1985,1B1A2,,,,,,
Palau,1985,1B1A21,,,,,,
Palau,1985,1B1A22,,,,,,
Palau,1985,1B1B,,,,,,
Palau,1985,1B2,,,,,,
Palau,1985,1B2A,,,,,,
Palau,1985,1B2A1,,,,,,
Palau,1985,1B2A2,,,,,,
Palau,1985,1B2A3,,,,,,
Palau,1985,1B2A31,,,,,,
Palau,1985,1B2A32,,,,,,
Palau,1985,1B2A33,,,,,,
Palau,1985,1B2A34,,,,,,
Palau,1985,1B2A35,,,,,,
Palau,1985,1B2A36,,,,,,
Palau,1985,1B2B,,,,,,
Palau,1985,1B2B1,,,,,,
Palau,1985,1B2B2,,,,,,
Palau,1985,1B2B3,,,,,,
Palau,1985,1B2B31,,,,,,
Palau,1985,1B2B32,,,,,,
Palau,1985,1B2B33,,,,,,
Palau,1985,1B2B34,,,,,,
Palau,1985,1B2B35,,,,,,
Palau,1985,1B2B36,,,,,,
Palau,1985,1B3,,,,,,
Palau,1985,1C,,,,,,
Palau,1985,1C1,,,,,,
Palau,1985,1C1A,,,,,,
Palau,1985,1C1B,,,,,,
Palau,1985,1C1C,,,,,,
Palau,1985,1C2,,,,,,
Palau,1985,1C2A,,,,,,
Palau,1985,1C2B,,,,,,
Palau,1985,1C3,,,,,,
Palau,1985,2,,,,,,
Palau,1985,2A,,,,,,
Palau,1985,2A1,,,,,,
Palau,1985,2A2,,,,,,
Palau,1985,2A3,,,,,,
Palau,1985,2A4,,,,,,
Palau,1985,2A4A,,,,,,
Palau,1985,2A4B,,,,,,
Palau,1985,2A4C,,,,,,
Palau,1985,2A4D,,,,,,
Palau,1985,2B,,,,,,
Palau,1985,2B1,,,,,,
Palau,1985,2B2,,,,,,
Palau,1985,2B3,,,,,,
Palau,1985,2B4,,,,,,
Palau,1985,2B5,,,,,,
Palau,1985,2B6,,,,,,
Palau,1985,2B7,,,,,,
Palau,1985,2B8,,,,,,
Palau,1985,2B8A,,,,,,
Palau,1985,2B8B,,,,,,
Palau,1985,2B8C,,,,,,
Palau,1985,2B8D,,,,,,
Palau,1985,2B8E,,,,,,
Palau,1985,2B8F,,,,,,
Palau,1985,2B9,,,,,,
Palau,1985,2B9A,,,,,,
Palau,1985,2B9B,,,,,,
Palau,1985,2B10,,,,,,
Palau,1985,2C,,,,,,
Palau,1985,2C1,,,,,,
Palau,1985,2C2,,,,,,
Palau,1985,2C3,,,,,,
Palau,1985,2C4,,,,,,
Palau,1985,2C5,,,,,,
Palau,1985,2C6,,,,,,
Palau,1985,2C7,,,,,,
Palau,1985,2D,,,,,,
Palau,1985,2D1,,,,,,
Palau,1985,2D2,,,,,,
Palau,1985,2D3,,,,,,
Palau,1985,2D4,,,,,,
Palau,1985,2E,,,,,,
Palau,1985,20,,,,,,
Palau,1985,200,,,,,,
Palau,1985,2000,,,,,,
Palau,1985,20000,,,,,,
Palau,1985,200000,,,,,,
Palau,1985,2F,,,,,,
Palau,1985,2F1,,,,,,
Palau,1985,2F2,,,,,,
Palau,1985,2F3,,,,,,
Palau,1985,2F4,,,,,,
Palau,1985,2F5,,,,,,
Palau,1985,2F6,,,,,,
Palau,1985,2G,,,,,,
Palau,1985,2G1,,,,,,
Palau,1985,2G2,,,,,,
Palau,1985,2G3,,,,,,
Palau,1985,2G4,,,,,,
Palau,1985,2H,,,,,,
Palau,1985,2H1,,,,,,
Palau,1985,2H2,,,,,,
Palau,1985,2H3,,,,,,
Palau,1985,3,,,,,,
Palau,1985,3A,,,,,,
Palau,1985,3A1,,,,,,
Palau,1985,3A2,,,,,,
Palau,1985,3B,,,,,,
Palau,1985,3B1,,,,,,
Palau,1985,3B1A,,,,,,
Palau,1985,3B1B,,,,,,
Palau,1985,3B2,,,,,,
