Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
Papua New Guinea,1985,0,,,,,,
Papua New Guinea,1985,1,,,,,,
Papua New Guinea,1985,1B,,,,,,
Papua New Guinea,1985,1B1,,,,,,
Papua New Guinea,1985,1B1A,,,,,,
Papua New Guinea,1985,1B1A1,,,,,,
Papua New Guinea,1985,1B1A11,,,,,,
Papua New Guinea,1985,1B1A12,,,,,,
Papua New Guinea,1985,1B1A13,,,,,,
Papua New Guinea,1985,1B1A14,,,,,,
Papua New Guinea,1985,1B1A2,,,,,,
Papua New Guinea,1985,1B1A21,,,,,,
Papua New Guinea,1985,1B1A22,,,,,,
Papua New Guinea,1985,1B1B,,,,,,
Papua New Guinea,1985,1B2,,,,,,
Papua New Guinea,1985,1B2A,,,,,,
Papua New Guinea,1985,1B2A1,,,,,,
Papua New Guinea,1985,1B2A2,,,,,,
Papua New Guinea,1985,1B2A3,,,,,,
Papua New Guinea,1985,1B2A31,,,,,,
Papua New Guinea,1985,1B2A32,,,,,,
Papua New Guinea,1985,1B2A33,,,,,,
Papua New Guinea,1985,1B2A34,,,,,,
Papua New Guinea,1985,1B2A35,,,,,,
Papua New Guinea,1985,1B2A36,,,,,,
Papua New Guinea,1985,1B2B,,,,,,
Papua New Guinea,1985,1B2B1,,,,,,
Papua New Guinea,1985,1B2B2,,,,,,
Papua New Guinea,1985,1B2B3,,,,,,
Papua New Guinea,1985,1B2B31,,,,,,
Papua New Guinea,1985,1B2B32,,,,,,
Papua New Guinea,1985,1B2B33,,,,,,
Papua New Guinea,1985,1B2B34,,,,,,
Papua New Guinea,1985,1B2B35,,,,,,
Papua New Guinea,1985,1B2B36,,,,,,
Papua New Guinea,1985,1B3,,,,,,
Papua New Guinea,1985,1C,,,,,,
Papua New Guinea,1985,1C1,,,,,,
Papua New Guinea,1985,1C1A,,,,,,
Papua New Guinea,1985,1C1B,,,,,,
Papua New Guinea,1985,1C1C,,,,,,
Papua New Guinea,1985,1C2,,,,,,
Papua New Guinea,1985,1C2A,,,,,,
Papua New Guinea,1985,1C2B,,,,,,
Papua New Guinea,1985,1C3,,,,,,
Papua New Guinea,1985,2,,,,,,
Papua New Guinea,1985,2A,,,,,,
Papua New Guinea,1985,2A1,,,,,,
Papua New Guinea,1985,2A2,,,,,,
Papua New Guinea,1985,2A3,,,,,,
Papua New Guinea,1985,2A4,,,,,,
Papua New Guinea,1985,2A4A,,,,,,
Papua New Guinea,1985,2A4B,,,,,,
Papua New Guinea,1985,2A4C,,,,,,
Papua New Guinea,1985,2A4D,,,,,,
Papua New Guinea,1985,2B,,,,,,
Papua New Guinea,1985,2B1,,,,,,
Papua New Guinea,1985,2B2,,,,,,
Papua New Guinea,1985,2B3,,,,,,
Papua New Guinea,1985,2B4,,,,,,
Papua New Guinea,1985,2B5,,,,,,
Papua New Guinea,1985,2B6,,,,,,
Papua New Guinea,1985,2B7,,,,,,
Papua New Guinea,1985,2B8,,,,,,
Papua New Guinea,1985,2B8A,,,,,,
Papua New Guinea,1985,2B8B,,,,,,
Papua New Guinea,1985,2B8C,,,,,,
Papua New Guinea,1985,2B8D,,,,,,
Papua New Guinea,1985,2B8E,,,,,,
Papua New Guinea,1985,2B8F,,,,,,
Papua New Guinea,1985,2B9,,,,,,
Papua New Guinea,1985,2B9A,,,,,,
Papua New Guinea,1985,2B9B,,,,,,
Papua New Guinea,1985,2B10,,,,,,
Papua New Guinea,1985,2C,,,,,,
Papua New Guinea,1985,2C1,,,,,,
Papua New Guinea,1985,2C2,,,,,,
Papua New Guinea,1985,2C3,,,,,,
Papua New Guinea,1985,2C4,,,,,,
Papua New Guinea,1985,2C5,,,,,,
Papua New Guinea,1985,2C6,,,,,,
Papua New Guinea,1985,2C7,,,,,,
Papua New Guinea,1985,2D,,,,,,
Papua New Guinea,1985,2D1,,,,,,
Papua New Guinea,1985,2D2,,,,,,
Papua New Guinea,1985,2D3,,,,,,
Papua New Guinea,1985,2D4,,,,,,
Papua New Guinea,1985,2E,,,,,,
Papua New Guinea,1985,20,,,,,,
Papua New Guinea,1985,200,,,,,,
Papua New Guinea,1985,2000,,,,,,
Papua New Guinea,1985,20000,,,,,,
Papua New Guinea,1985,200000,,,,,,
Papua New Guinea,1985,2F,,,,,,
