Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
Paraguay,1985,0,,,,,,
Paraguay,1985,1,,,,,,
Paraguay,1985,1B,,,,,,
Paraguay,1985,1B1,,,,,,
Paraguay,1985,1B1A,,,,,,
Paraguay,1985,1B1A1,,,,,,
Paraguay,1985,1B1A11,,,,,,
Paraguay,1985,1B1A12,,,,,,
Paraguay,1985,1B1A13,,,,,,
Paraguay,1985,1B1A14,,,,,,
Paraguay,1985,1B1A2,,,,,,
Paraguay,1985,1B1A21,,,,,,
Paraguay,1985,1B1A22,,,,,,
Paraguay,1985,1B1B,,,,,,
Paraguay,1985,1B2,,,,,,
Paraguay,1985,1B2A,,,,,,
Paraguay,1985,1B2A1,,,,,,
Paraguay,1985,1B2A2,,,,,,
Paraguay,1985,1B2A3,,,,,,
Paraguay,1985,1B2A31,,,,,,
Paraguay,1985,1B2A32,,,,,,
Paraguay,1985,1B2A33,,,,,,
Paraguay,1985,1B2A34,,,,,,
Paraguay,1985,1B2A35,,,,,,
Paraguay,1985,1B2A36,,,,,,
Paraguay,1985,1B2B,,,,,,
Paraguay,1985,1B2B1,,,,,,
Paraguay,1985,1B2B2,,,,,,
Paraguay,1985,1B2B3,,,,,,
Paraguay,1985,1B2B31,,,,,,
Paraguay,1985,1B2B32,,,,,,
Paraguay,1985,1B2B33,,,,,,
Paraguay,1985,1B2B34,,,,,,
Paraguay,1985,1B2B35,,,,,,
Paraguay,1985,1B2B36,,,,,,
Paraguay,1985,1B3,,,,,,
Paraguay,1985,1C,,,,,,
Paraguay,1985,1C1,,,,,,
Paraguay,1985,1C1A,,,,,,
Paraguay,1985,1C1B,,,,,,
Paraguay,1985,1C1C,,,,,,
Paraguay,1985,1C2,,,,,,
Paraguay,1985,1C2A,,,,,,
Paraguay,1985,1C2B,,,,,,
Paraguay,1985,1C3,,,,,,
Paraguay,1985,2,,,,,,
Paraguay,1985,2A,,,,,,
Paraguay,1985,2A1,,,,,,
Paraguay,1985,2A2,,,,,,
Paraguay,1985,2A3,,,,,,
Paraguay,1985,2A4,,,,,,
Paraguay,1985,2A4A,,,,,,
Paraguay,1985,2A4B,,,,,,
Paraguay,1985,2A4C,,,,,,
Paraguay,1985,2A4D,,,,,,
Paraguay,1985,2B,,,,,,
Paraguay,1985,2B1,,,,,,
Paraguay,1985,2B2,,,,,,
Paraguay,1985,2B3,,,,,,
Paraguay,1985,2B4,,,,,,
Paraguay,1985,2B5,,,,,,
Paraguay,1985,2B6,,,,,,
Paraguay,1985,2B7,,,,,,
Paraguay,1985,2B8,,,,,,
Paraguay,1985,2B8A,,,,,,
Paraguay,1985,2B8B,,,,,,
Paraguay,1985,2B8C,,,,,,
Paraguay,1985,2B8D,,,,,,
Paraguay,1985,2B8E,,,,,,
