Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
Samoa,1985,0,,,,,,
Samoa,1985,1,,,,,,
Samoa,1985,1B,,,,,,
Samoa,1985,1B1,,,,,,
Samoa,1985,1B1A,,,,,,
Samoa,1985,1B1A1,,,,,,
Samoa,1985,1B1A11,,,,,,
Samoa,1985,1B1A12,,,,,,
Samoa,1985,1B1A13,,,,,,
Samoa,1985,1B1A14,,,,,,
Samoa,1985,1B1A2,,,,,,
Samoa,1985,1B1A21,,,,,,
Samoa,1985,1B1A22,,,,,,
Samoa,1985,1B1B,,,,,,
Samoa,1985,1B2,,,,,,
Samoa,1985,1B2A,,,,,,
Samoa,1985,1B2A1,,,,,,
Samoa,1985,1B2A2,,,,,,
Samoa,1985,1B2A3,,,,,,
Samoa,1985,1B2A31,,,,,,
Samoa,1985,1B2A32,,,,,,
Samoa,1985,1B2A33,,,,,,
Samoa,1985,1B2A34,,,,,,
Samoa,1985,1B2A35,,,,,,
Samoa,1985,1B2A36,,,,,,
Samoa,1985,1B2B,,,,,,
Samoa,1985,1B2B1,,,,,,
Samoa,1985,1B2B2,,,,,,
Samoa,1985,1B2B3,,,,,,
Samoa,1985,1B2B31,,,,,,
Samoa,1985,1B2B32,,,,,,
Samoa,1985,1B2B33,,,,,,
Samoa,1985,1B2B34,,,,,,
Samoa,1985,1B2B35,,,,,,
Samoa,1985,1B2B36,,,,,,
Samoa,1985,1B3,,,,,,
Samoa,1985,1C,,,,,,
Samoa,1985,1C1,,,,,,
Samoa,1985,1C1A,,,,,,
Samoa,1985,1C1B,,,,,,
Samoa,1985,1C1C,,,,,,
Samoa,1985,1C2,,,,,,
Samoa,1985,1C2A,,,,,,
Samoa,1985,1C2B,,,,,,
Samoa,1985,1C3,,,,,,
Samoa,1985,2,,,,,,
Samoa,1985,2A,,,,,,
Samoa,1985,2A1,,,,,,
Samoa,1985,2A2,,,,,,
Samoa,1985,2A3,,,,,,
Samoa,1985,2A4,,,,,,
Samoa,1985,2A4A,,,,,,
Samoa,1985,2A4B,,,,,,
Samoa,1985,2A4C,,,,,,
Samoa,1985,2A4D,,,,,,
Samoa,1985,2B,,,,,,
Samoa,1985,2B1,,,,,,
Samoa,1985,2B2,,,,,,
Samoa,1985,2B3,,,,,,
Samoa,1985,2B4,,,,,,
Samoa,1985,2B5,,,,,,
Samoa,1985,2B6,,,,,,
Samoa,1985,2B7,,,,,,
Samoa,1985,2B8,,,,,,
Samoa,1985,2B8A,,,,,,
Samoa,1985,2B8B,,,,,,
Samoa,1985,2B8C,,,,,,
Samoa,1985,2B8D,,,,,,
Samoa,1985,2B8E,,,,,,
Samoa,1985,2B8F,,,,,,
Samoa,1985,2B9,,,,,,
Samoa,1985,2B9A,,,,,,
Samoa,1985,2B9B,,,,,,
Samoa,1985,2B10,,,,,,
Samoa,1985,2C,,,,,,
Samoa,1985,2C1,,,,,,
Samoa,1985,2C2,,,,,,
Samoa,1985,2C3,,,,,,
Samoa,1985,2C4,,,,,,
Samoa,1985,2C5,,,,,,
Samoa,1985,2C6,,,,,,
Samoa,1985,2C7,,,,,,
Samoa,1985,2D,,,,,,
Samoa,1985,2D1,,,,,,
Samoa,1985,2D2,,,,,,
