Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
Tajikistan,1985,0,,,,,,
Tajikistan,1985,1,,,,,,
Tajikistan,1985,1B,,,,,,
Tajikistan,1985,1B1,,,,,,
Tajikistan,1985,1B1A,,,,,,
Tajikistan,1985,1B1A1,,,,,,
Tajikistan,1985,1B1A11,,,,,,
Tajikistan,1985,1B1A12,,,,,,
Tajikistan,1985,1B1A13,,,,,,
Tajikistan,1985,1B1A14,,,,,,
Tajikistan,1985,1B1A2,,,,,,
Tajikistan,1985,1B1A21,,,,,,
Tajikistan,1985,1B1A22,,,,,,
Tajikistan,1985,1B1B,,,,,,
Tajikistan,1985,1B2,,,,,,
Tajikistan,1985,1B2A,,,,,,
Tajikistan,1985,1B2A1,,,,,,
Tajikistan,1985,1B2A2,,,,,,
Tajikistan,1985,1B2A3,,,,,,
Tajikistan,1985,1B2A31,,,,,,
Tajikistan,1985,1B2A32,,,,,,
Tajikistan,1985,1B2A33,,,,,,
Tajikistan,1985,1B2A34,,,,,,
Tajikistan,1985,1B2A35,,,,,,
Tajikistan,1985,1B2A36,,,,,,
Tajikistan,1985,1B2B,,,,,,
Tajikistan,1985,1B2B1,,,,,,
Tajikistan,1985,1B2B2,,,,,,
Tajikistan,1985,1B2B3,,,,,,
Tajikistan,1985,1B2B31,,,,,,
Tajikistan,1985,1B2B32,,,,,,
Tajikistan,1985,1B2B33,,,,,,
Tajikistan,1985,1B2B34,,,,,,
Tajikistan,1985,1B2B35,,,,,,
Tajikistan,1985,1B2B36,,,,,,
Tajikistan,1985,1B3,,,,,,
Tajikistan,1985,1C,,,,,,
Tajikistan,1985,1C1,,,,,,
Tajikistan,1985,1C1A,,,,,,
Tajikistan,1985,1C1B,,,,,,
Tajikistan,1985,1C1C,,,,,,
Tajikistan,1985,1C2,,,,,,
Tajikistan,1985,1C2A,,,,,,
Tajikistan,1985,1C2B,,,,,,
Tajikistan,1985,1C3,,,,,,
Tajikistan,1985,2,,,,,,
Tajikistan,1985,2A,,,,,,
Tajikistan,1985,2A1,,,,,,
Tajikistan,1985,2A2,,,,,,
Tajikistan,1985,2A3,,,,,,
Tajikistan,1985,2A4,,,,,,
Tajikistan,1985,2A4A,,,,,,
Tajikistan,1985,2A4B,,,,,,
Tajikistan,1985,2A4C,,,,,,
Tajikistan,1985,2A4D,,,,,,
Tajikistan,1985,2B,,,,,,
Tajikistan,1985,2B1,,,,,,
Tajikistan,1985,2B2,,,,,,
Tajikistan,1985,2B3,,,,,,
Tajikistan,1985,2B4,,,,,,
Tajikistan,1985,2B5,,,,,,
Tajikistan,1985,2B6,,,,,,
Tajikistan,1985,2B7,,,,,,
Tajikistan,1985,2B8,,,,,,
Tajikistan,1985,2B8A,,,,,,
Tajikistan,1985,2B8B,,,,,,
Tajikistan,1985,2B8C,,,,,,
Tajikistan,1985,2B8D,,,,,,
Tajikistan,1985,2B8E,,,,,,
Tajikistan,1985,2B8F,,,,,,
Tajikistan,1985,2B9,,,,,,
Tajikistan,1985,2B9A,,,,,,
Tajikistan,1985,2B9B,,,,,,
Tajikistan,1985,2B10,,,,,,
Tajikistan,1985,2C,,,,,,
Tajikistan,1985,2C1,,,,,,
Tajikistan,1985,2C2,,,,,,
Tajikistan,1985,2C3,,,,,,
Tajikistan,1985,2C4,,,,,,
Tajikistan,1985,2C5,,,,,,
Tajikistan,1985,2C6,,,,,,
Tajikistan,1985,2C7,,,,,,
Tajikistan,1985,2D,,,,,,
Tajikistan,1985,2D1,,,,,,
Tajikistan,1985,2D2,,,,,,
Tajikistan,1985,2D3,,,,,,
Tajikistan,1985,2D4,,,,,,
Tajikistan,1985,2E,,,,,,
Tajikistan,1985,20,,,,,,
Tajikistan,1985,200,,,,,,
Tajikistan,1985,2000,,,,,,
Tajikistan,1985,20000,,,,,,
