Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
Trinidad and Tobago,1985,0,,,,,,
Trinidad and Tobago,1985,1,,,,,,
Trinidad and Tobago,1985,1B,,,,,,
Trinidad and Tobago,1985,1B1,,,,,,
Trinidad and Tobago,1985,1B1A,,,,,,
Trinidad and Tobago,1985,1B1A1,,,,,,
Trinidad and Tobago,1985,1B1A11,,,,,,
Trinidad and Tobago,1985,1B1A12,,,,,,
Trinidad and Tobago,1985,1B1A13,,,,,,
Trinidad and Tobago,1985,1B1A14,,,,,,
Trinidad and Tobago,1985,1B1A2,,,,,,
Trinidad and Tobago,1985,1B1A21,,,,,,
Trinidad and Tobago,1985,1B1A22,,,,,,
Trinidad and Tobago,1985,1B1B,,,,,,
Trinidad and Tobago,1985,1B2,,,,,,
Trinidad and Tobago,1985,1B2A,,,,,,
Trinidad and Tobago,1985,1B2A1,,,,,,
Trinidad and Tobago,1985,1B2A2,,,,,,
Trinidad and Tobago,1985,1B2A3,,,,,,
Trinidad and Tobago,1985,1B2A31,,,,,,
Trinidad and Tobago,1985,1B2A32,,,,,,
Trinidad and Tobago,1985,1B2A33,,,,,,
Trinidad and Tobago,1985,1B2A34,,,,,,
Trinidad and Tobago,1985,1B2A35,,,,,,
Trinidad and Tobago,1985,1B2A36,,,,,,
Trinidad and Tobago,1985,1B2B,,,,,,
Trinidad and Tobago,1985,1B2B1,,,,,,
Trinidad and Tobago,1985,1B2B2,,,,,,
Trinidad and Tobago,1985,1B2B3,,,,,,
Trinidad and Tobago,1985,1B2B31,,,,,,
Trinidad and Tobago,1985,1B2B32,,,,,,
Trinidad and Tobago,1985,1B2B33,,,,,,
Trinidad and Tobago,1985,1B2B34,,,,,,
Trinidad and Tobago,1985,1B2B35,,,,,,
Trinidad and Tobago,1985,1B2B36,,,,,,
Trinidad and Tobago,1985,1B3,,,,,,
Trinidad and Tobago,1985,1C,,,,,,
Trinidad and Tobago,1985,1C1,,,,,,
Trinidad and Tobago,1985,1C1A,,,,,,
Trinidad and Tobago,1985,1C1B,,,,,,
Trinidad and Tobago,1985,1C1C,,,,,,
Trinidad and Tobago,1985,1C2,,,,,,
Trinidad and Tobago,1985,1C2A,,,,,,
Trinidad and Tobago,1985,1C2B,,,,,,
Trinidad and Tobago,1985,1C3,,,,,,
Trinidad and Tobago,1985,2,,,,,,
Trinidad and Tobago,1985,2A,,,,,,
Trinidad and Tobago,1985,2A1,,,,,,
Trinidad and Tobago,1985,2A2,,,,,,
Trinidad and Tobago,1985,2A3,,,,,,
Trinidad and Tobago,1985,2A4,,,,,,
Trinidad and Tobago,1985,2A4A,,,,,,
Trinidad and Tobago,1985,2A4B,,,,,,
Trinidad and Tobago,1985,2A4C,,,,,,
Trinidad and Tobago,1985,2A4D,,,,,,
Trinidad and Tobago,1985,2B,,,,,,
Trinidad and Tobago,1985,2B1,,,,,,
Trinidad and Tobago,1985,2B2,,,,,,
Trinidad and Tobago,1985,2B3,,,,,,
Trinidad and Tobago,1985,2B4,,,,,,
Trinidad and Tobago,1985,2B5,,,,,,
Trinidad and Tobago,1985,2B6,,,,,,
Trinidad and Tobago,1985,2B7,,,,,,
Trinidad and Tobago,1985,2B8,,,,,,
Trinidad and Tobago,1985,2B8A,,,,,,
Trinidad and Tobago,1985,2B8B,,,,,,
Trinidad and Tobago,1985,2B8C,,,,,,
Trinidad and Tobago,1985,2B8D,,,,,,
Trinidad and Tobago,1985,2B8E,,,,,,
Trinidad and Tobago,1985,2B8F,,,,,,
Trinidad and Tobago,1985,2B9,,,,,,
Trinidad and Tobago,1985,2B9A,,,,,,
Trinidad and Tobago,1985,2B9B,,,,,,
Trinidad and Tobago,1985,2B10,,,,,,
Trinidad and Tobago,1985,2C,,,,,,
Trinidad and Tobago,1985,2C1,,,,,,
Trinidad and Tobago,1985,2C2,,,,,,
Trinidad and Tobago,1985,2C3,,,,,,
Trinidad and Tobago,1985,2C4,,,,,,
Trinidad and Tobago,1985,2C5,,,,,,
Trinidad and Tobago,1985,2C6,,,,,,
Trinidad and Tobago,1985,2C7,,,,,,
Trinidad and Tobago,1985,2D,,,,,,
Trinidad and Tobago,1985,2D1,,,,,,
Trinidad and Tobago,1985,2D2,,,,,,
Trinidad and Tobago,1985,2D3,,,,,,
Trinidad and Tobago,1985,2D4,,,,,,
Trinidad and Tobago,1985,2E,,,,,,
Trinidad and Tobago,1985,20,,,,,,
Trinidad and Tobago,1985,200,,,,,,
Trinidad and Tobago,1985,2000,,,,,,
Trinidad and Tobago,1985,20000,,,,,,
Trinidad and Tobago,1985,200000,,,,,,
Trinidad and Tobago,1985,2F,,,,,,
Trinidad and Tobago,1985,2F1,,,,,,
Trinidad and Tobago,1985,2F2,,,,,,
Trinidad and Tobago,1985,2F3,,,,,,
Trinidad and Tobago,1985,2F4,,,,,,
Trinidad and Tobago,1985,2F5,,,,,,
Trinidad and Tobago,1985,2F6,,,,,,
Trinidad and Tobago,1985,2G,,,,,,
Trinidad and Tobago,1985,2G1,,,,,,
Trinidad and Tobago,1985,2G2,,,,,,
Trinidad and Tobago,1985,2G3,,,,,,
Trinidad and Tobago,1985,2G4,,,,,,
Trinidad and Tobago,1985,2H,,,,,,
Trinidad and Tobago,1985,2H1,,,,,,
Trinidad and Tobago,1985,2H2,,,,,,
Trinidad and Tobago,1985,2H3,,,,,,
Trinidad and Tobago,1985,3,,,,,,
Trinidad and Tobago,1985,3A,,,,,,
Trinidad and Tobago,1985,3A1,,,,,,
Trinidad and Tobago,1985,3A2,,,,,,
Trinidad and Tobago,1985,3B,,,,,,
Trinidad and Tobago,1985,3B1,,,,,,
Trinidad and Tobago,1985,3B1A,,,,,,
Trinidad and Tobago,1985,3B1B,,,,,,
Trinidad and Tobago,1985,3B2,,,,,,
Trinidad and Tobago,1985,3B2A,,,,,,
Trinidad and Tobago,1985,3B2B,,,,,,
Trinidad and Tobago,1985,3B3,,,,,,
Trinidad and Tobago,1985,3B3A,,,,,,
Trinidad and Tobago,1985,3B3B,,,,,,
Trinidad and Tobago,1985,3B4,,,,,,
Trinidad and Tobago,1985,3B4A,,,,,,
Trinidad and Tobago,1985,3B4B,,,,,,
Trinidad and Tobago,1985,3B5,,,,,,
Trinidad and Tobago,1985,3B5A,,,,,,
Trinidad and Tobago,1985,3B5B,,,,,,
Trinidad and Tobago,1985,3B6,,,,,,
Trinidad and Tobago,1985,3B6A,,,,,,
Trinidad and Tobago,1985,3B6B,,,,,,
Trinidad and Tobago,1985,3B6B1,,,,,,
Trinidad and Tobago,1985,3B6B2,,,,,,
Trinidad and Tobago,1985,3B6B3,,,,,,
Trinidad and Tobago,1985,3B6B4,,,,,,
Trinidad and Tobago,1985,3B6B5,,,,,,
Trinidad and Tobago,1985,3C,,,,,,
Trinidad and Tobago,1985,3C1,,,,,,
Trinidad and Tobago,1985,3C2,,,,,,
Trinidad and Tobago,1985,3C3,,,,,,
Trinidad and Tobago,1985,3C4,,,,,,
Trinidad and Tobago,1985,3C5,,,,,,
Trinidad and Tobago,1985,3C6,,,,,,
Trinidad and Tobago,1985,3C7,,,,,,
Trinidad and Tobago,1985,3C8,,,,,,
Trinidad and Tobago,1985,3D,,,,,,
Trinidad and Tobago,1985,3D1,,,,,,
Trinidad and Tobago,1985,3D2,,,,,,
Trinidad and Tobago,1985,4,,,,,,
Trinidad and Tobago,1985,4A,,,,,,
Trinidad and Tobago,1985,4A1,,,,,,
Trinidad and Tobago,1985,4A2,,,,,,
Trinidad and Tobago,1985,4A3,,,,,,
Trinidad and Tobago,1985,4B,,,,,,
Trinidad and Tobago,1985,4C,,,,,,
Trinidad and Tobago,1985,4C1,,,,,,
Trinidad and Tobago,1985,4C2,,,,,,
Trinidad and Tobago,1985,4D,,,,,,
Trinidad and Tobago,1985,4D1,,,,,,
Trinidad and Tobago,1985,4D2,,,,,,
Trinidad and Tobago,1985,4E,,,,,,
Trinidad and Tobago,1985,5,,,,,,
Trinidad and Tobago,1985,5A,,,,,,
Trinidad and Tobago,1985,5A1,,,,,,
Trinidad and Tobago,1985,5A2,,,,,,
Trinidad and Tobago,1985,1A,Coal/peat,,,,,
Trinidad and Tobago,1985,1A,Oil,,,,,
Trinidad and Tobago,1985,1A,Natural gas,,,,,
Trinidad and Tobago,1985,1A1,Coal/peat,,,,,
Trinidad and Tobago,1985,1A1,Oil,,,,,
Trinidad and Tobago,1985,1A1,Natural gas,,,,,
Trinidad and Tobago,1985,1A1A,Coal/peat,,,,,
Trinidad and Tobago,1985,1A1A,Oil,,,,,
Trinidad and Tobago,1985,1A1A,Natural gas,,,,,
Trinidad and Tobago,1985,1A1A1,Coal/peat,,,,,
Trinidad and Tobago,1985,1A1A1,Oil,,,,,
Trinidad and Tobago,1985,1A1A1,Natural gas,,,,,
Trinidad and Tobago,1985,1A1A2,Coal/peat,,,,,
Trinidad and Tobago,1985,1A1A2,Oil,,,,,
Trinidad and Tobago,1985,1A1A2,Natural gas,,,,,
Trinidad and Tobago,1985,1A1A3,Coal/peat,,,,,
Trinidad and Tobago,1985,1A1A3,Oil,,,,,
Trinidad and Tobago,1985,1A1A3,Natural gas,,,,,
Trinidad and Tobago,1985,1A1B,Coal/peat,,,,,
Trinidad and Tobago,1985,1A1B,Oil,,,,,
Trinidad and Tobago,1985,1A1B,Natural gas,,,,,
Trinidad and Tobago,1985,1A1C,Coal/peat,,,,,
Trinidad and Tobago,1985,1A1C,Oil,,,,,
Trinidad and Tobago,1985,1A1C,Natural gas,,,,,
Trinidad and Tobago,1985,1A2,Coal/peat,,,,,
Trinidad and Tobago,1985,1A2,Oil,,,,,
Trinidad and Tobago,1985,1A2,Natural gas,,,,,
Trinidad and Tobago,1985,1A2A,Coal/peat,,,,,
Trinidad and Tobago,1985,1A2A,Oil,,,,,
Trinidad and Tobago,1985,1A2A,Natural gas,,,,,
Trinidad and Tobago,1985,1A2B,Coal/peat,,,,,
Trinidad and Tobago,1985,1A2B,Oil,,,,,
Trinidad and Tobago,1985,1A2B,Natural gas,,,,,
Trinidad and Tobago,1985,1A2C,Coal/peat,,,,,
Trinidad and Tobago,1985,1A2C,Oil,,,,,
