Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
Uganda,1985,0,,,,,,
Uganda,1985,1,,,,,,
Uganda,1985,1B,,,,,,
Uganda,1985,1B1,,,,,,
Uganda,1985,1B1A,,,,,,
Uganda,1985,1B1A1,,,,,,
Uganda,1985,1B1A11,,,,,,
Uganda,1985,1B1A12,,,,,,
Uganda,1985,1B1A13,,,,,,
Uganda,1985,1B1A14,,,,,,
Uganda,1985,1B1A2,,,,,,
Uganda,1985,1B1A21,,,,,,
Uganda,1985,1B1A22,,,,,,
Uganda,1985,1B1B,,,,,,
Uganda,1985,1B2,,,,,,
Uganda,1985,1B2A,,,,,,
Uganda,1985,1B2A1,,,,,,
Uganda,1985,1B2A2,,,,,,
Uganda,1985,1B2A3,,,,,,
Uganda,1985,1B2A31,,,,,,
Uganda,1985,1B2A32,,,,,,
Uganda,1985,1B2A33,,,,,,
Uganda,1985,1B2A34,,,,,,
Uganda,1985,1B2A35,,,,,,
Uganda,1985,1B2A36,,,,,,
Uganda,1985,1B2B,,,,,,
Uganda,1985,1B2B1,,,,,,
Uganda,1985,1B2B2,,,,,,
Uganda,1985,1B2B3,,,,,,
Uganda,1985,1B2B31,,,,,,
Uganda,1985,1B2B32,,,,,,
Uganda,1985,1B2B33,,,,,,
Uganda,1985,1B2B34,,,,,,
Uganda,1985,1B2B35,,,,,,
Uganda,1985,1B2B36,,,,,,
Uganda,1985,1B3,,,,,,
Uganda,1985,1C,,,,,,
Uganda,1985,1C1,,,,,,
Uganda,1985,1C1A,,,,,,
Uganda,1985,1C1B,,,,,,
Uganda,1985,1C1C,,,,,,
Uganda,1985,1C2,,,,,,
Uganda,1985,1C2A,,,,,,
Uganda,1985,1C2B,,,,,,
Uganda,1985,1C3,,,,,,
Uganda,1985,2,,,,,,
Uganda,1985,2A,,,,,,
Uganda,1985,2A1,,,,,,
Uganda,1985,2A2,,,,,,
Uganda,1985,2A3,,,,,,
Uganda,1985,2A4,,,,,,
Uganda,1985,2A4A,,,,,,
Uganda,1985,2A4B,,,,,,
Uganda,1985,2A4C,,,,,,
Uganda,1985,2A4D,,,,,,
Uganda,1985,2B,,,,,,
Uganda,1985,2B1,,,,,,
Uganda,1985,2B2,,,,,,
Uganda,1985,2B3,,,,,,
Uganda,1985,2B4,,,,,,
Uganda,1985,2B5,,,,,,
Uganda,1985,2B6,,,,,,
Uganda,1985,2B7,,,,,,
Uganda,1985,2B8,,,,,,
Uganda,1985,2B8A,,,,,,
Uganda,1985,2B8B,,,,,,
Uganda,1985,2B8C,,,,,,
Uganda,1985,2B8D,,,,,,
Uganda,1985,2B8E,,,,,,
Uganda,1985,2B8F,,,,,,
Uganda,1985,2B9,,,,,,
Uganda,1985,2B9A,,,,,,
Uganda,1985,2B9B,,,,,,
Uganda,1985,2B10,,,,,,
Uganda,1985,2C,,,,,,
Uganda,1985,2C1,,,,,,
Uganda,1985,2C2,,,,,,
Uganda,1985,2C3,,,,,,
Uganda,1985,2C4,,,,,,
Uganda,1985,2C5,,,,,,
Uganda,1985,2C6,,,,,,
Uganda,1985,2C7,,,,,,
Uganda,1985,2D,,,,,,
Uganda,1985,2D1,,,,,,
Uganda,1985,2D2,,,,,,
Uganda,1985,2D3,,,,,,
Uganda,1985,2D4,,,,,,
Uganda,1985,2E,,,,,,
