Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
Massachusetts,1985,0,,,,,,
Massachusetts,1985,1,,,,,,
Massachusetts,1985,1B,,,,,,
Massachusetts,1985,1B1,,,,,,
Massachusetts,1985,1B1A,,,,,,
Massachusetts,1985,1B1A1,,,,,,
Massachusetts,1985,1B1A11,,,,,,
Massachusetts,1985,1B1A12,,,,,,
Massachusetts,1985,1B1A13,,,,,,
Massachusetts,1985,1B1A14,,,,,,
Massachusetts,1985,1B1A2,,,,,,
Massachusetts,1985,1B1A21,,,,,,
Massachusetts,1985,1B1A22,,,,,,
Massachusetts,1985,1B1B,,,,,,
Massachusetts,1985,1B2,,,,,,
Massachusetts,1985,1B2A,,,,,,
Massachusetts,1985,1B2A1,,,,,,
Massachusetts,1985,1B2A2,,,,,,
Massachusetts,1985,1B2A3,,,,,,
Massachusetts,1985,1B2A31,,,,,,
Massachusetts,1985,1B2A32,,,,,,
Massachusetts,1985,1B2A33,,,,,,
Massachusetts,1985,1B2A34,,,,,,
Massachusetts,1985,1B2A35,,,,,,
Massachusetts,1985,1B2A36,,,,,,
Massachusetts,1985,1B2B,,,,,,
Massachusetts,1985,1B2B1,,,,,,
Massachusetts,1985,1B2B2,,,,,,
Massachusetts,1985,1B2B3,,,,,,
Massachusetts,1985,1B2B31,,,,,,
Massachusetts,1985,1B2B32,,,,,,
Massachusetts,1985,1B2B33,,,,,,
Massachusetts,1985,1B2B34,,,,,,
Massachusetts,1985,1B2B35,,,,,,
Massachusetts,1985,1B2B36,,,,,,
Massachusetts,1985,1B3,,,,,,
Massachusetts,1985,1C,,,,,,
Massachusetts,1985,1C1,,,,,,
Massachusetts,1985,1C1A,,,,,,
Massachusetts,1985,1C1B,,,,,,
Massachusetts,1985,1C1C,,,,,,
Massachusetts,1985,1C2,,,,,,
Massachusetts,1985,1C2A,,,,,,
Massachusetts,1985,1C2B,,,,,,
Massachusetts,1985,1C3,,,,,,
Massachusetts,1985,2,,,,,,
