Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
Saitama,1989,0,,,,,,
Saitama,1989,1,,,,,,
Saitama,1989,1A,Coal/peat,,,,,
Saitama,1989,1A,Natural gas,,,,,
Saitama,1989,1A,Oil,,,,,
Saitama,1989,1A1,Coal/peat,,,,,
Saitama,1989,1A1,Natural gas,,,,,
Saitama,1989,1A1,Oil,,,,,
Saitama,1989,1A1A,Coal/peat,,,,,
Saitama,1989,1A1A,Natural gas,,,,,
Saitama,1989,1A1A,Oil,,,,,
Saitama,1989,1A1A1,Coal/peat,,,,,
Saitama,1989,1A1A1,Natural gas,,,,,
Saitama,1989,1A1A1,Oil,,,,,
Saitama,1989,1A1A2,Coal/peat,,,,,
Saitama,1989,1A1A2,Natural gas,,,,,
Saitama,1989,1A1A2,Oil,,,,,
Saitama,1989,1A1A3,Coal/peat,,,,,
Saitama,1989,1A1A3,Natural gas,,,,,
Saitama,1989,1A1A3,Oil,,,,,
Saitama,1989,1A1B,Coal/peat,,,,,
Saitama,1989,1A1B,Natural gas,,,,,
Saitama,1989,1A1B,Oil,,,,,
Saitama,1989,1A1C,Coal/peat,,,,,
Saitama,1989,1A1C,Natural gas,,,,,
Saitama,1989,1A1C,Oil,,,,,
Saitama,1989,1A2,Coal/peat,,,,,
Saitama,1989,1A2,Natural gas,,,,,
Saitama,1989,1A2,Oil,,,,,
Saitama,1989,1A2A,Coal/peat,,,,,
Saitama,1989,1A2A,Natural gas,,,,,
Saitama,1989,1A2A,Oil,,,,,
Saitama,1989,1A2B,Coal/peat,,,,,
Saitama,1989,1A2B,Natural gas,,,,,
Saitama,1989,1A2B,Oil,,,,,
Saitama,1989,1A2C,Coal/peat,,,,,
Saitama,1989,1A2C,Natural gas,,,,,
Saitama,1989,1A2C,Oil,,,,,
Saitama,1989,1A2D,Coal/peat,,,,,
Saitama,1989,1A2D,Natural gas,,,,,
Saitama,1989,1A2D,Oil,,,,,
Saitama,1989,1A2E,Coal/peat,,,,,
Saitama,1989,1A2E,Natural gas,,,,,
Saitama,1989,1A2E,Oil,,,,,
Saitama,1989,1A2F,Coal/peat,,,,,
Saitama,1989,1A2F,Natural gas,,,,,
Saitama,1989,1A2F,Oil,,,,,
Saitama,1989,1A2G,Coal/peat,,,,,
Saitama,1989,1A2G,Natural gas,,,,,
Saitama,1989,1A2G,Oil,,,,,
Saitama,1989,1A2H,Coal/peat,,,,,
Saitama,1989,1A2H,Natural gas,,,,,
Saitama,1989,1A2H,Oil,,,,,
Saitama,1989,1A2I,Coal/peat,,,,,
Saitama,1989,1A2I,Natural gas,,,,,
Saitama,1989,1A2I,Oil,,,,,
Saitama,1989,1A2J,Coal/peat,,,,,
Saitama,1989,1A2J,Natural gas,,,,,
Saitama,1989,1A2J,Oil,,,,,
Saitama,1989,1A2K,Coal/peat,,,,,
Saitama,1989,1A2K,Natural gas,,,,,
Saitama,1989,1A2K,Oil,,,,,
Saitama,1989,1A2L,Coal/peat,,,,,
Saitama,1989,1A2L,Natural gas,,,,,
Saitama,1989,1A2L,Oil,,,,,
Saitama,1989,1A2M,Coal/peat,,,,,
Saitama,1989,1A2M,Natural gas,,,,,
Saitama,1989,1A2M,Oil,,,,,
Saitama,1989,1A3,Coal/peat,,,,,
Saitama,1989,1A3,Natural gas,,,,,
Saitama,1989,1A3,Oil,,,,,
Saitama,1989,1A3A,Coal/peat,,,,,
Saitama,1989,1A3A,Natural gas,,,,,
Saitama,1989,1A3A,Oil,,,,,
Saitama,1989,1A3A1,Coal/peat,,,,,
Saitama,1989,1A3A1,Natural gas,,,,,
Saitama,1989,1A3A1,Oil,,,,,
Saitama,1989,1A3A2,Coal/peat,,,,,
Saitama,1989,1A3A2,Natural gas,,,,,
Saitama,1989,1A3A2,Oil,,,,,
Saitama,1989,1A3B,Coal/peat,,,,,
Saitama,1989,1A3B,Natural gas,,,,,
Saitama,1989,1A3B,Oil,,,,,
Saitama,1989,1A3C,Coal/peat,,,,,
Saitama,1989,1A3C,Natural gas,,,,,
Saitama,1989,1A3C,Oil,,,,,
Saitama,1989,1A3D,Coal/peat,,,,,
Saitama,1989,1A3D,Natural gas,,,,,
Saitama,1989,1A3D,Oil,,,,,
Saitama,1989,1A3D1,Coal/peat,,,,,
Saitama,1989,1A3D1,Natural gas,,,,,
Saitama,1989,1A3D1,Oil,,,,,
Saitama,1989,1A3D2,Coal/peat,,,,,
Saitama,1989,1A3D2,Natural gas,,,,,
Saitama,1989,1A3D2,Oil,,,,,
Saitama,1989,1A3E,Coal/peat,,,,,
Saitama,1989,1A3E,Natural gas,,,,,
Saitama,1989,1A3E,Oil,,,,,
Saitama,1989,1A3E1,Coal/peat,,,,,
Saitama,1989,1A3E1,Natural gas,,,,,
Saitama,1989,1A3E1,Oil,,,,,
Saitama,1989,1A4,Coal/peat,,,,,
Saitama,1989,1A4,Natural gas,,,,,
Saitama,1989,1A4,Oil,,,,,
Saitama,1989,1A4A,Coal/peat,,,,,
Saitama,1989,1A4A,Natural gas,,,,,
Saitama,1989,1A4A,Oil,,,,,
Saitama,1989,1A4B,Coal/peat,,,,,
Saitama,1989,1A4B,Natural gas,,,,,
Saitama,1989,1A4B,Oil,,,,,
Saitama,1989,1A4C,Coal/peat,,,,,
Saitama,1989,1A4C,Natural gas,,,,,
Saitama,1989,1A4C,Oil,,,,,
Saitama,1989,1A4C1,Coal/peat,,,,,
Saitama,1989,1A4C1,Natural gas,,,,,
Saitama,1989,1A4C1,Oil,,,,,
Saitama,1989,1A4C2,Coal/peat,,,,,
Saitama,1989,1A4C2,Natural gas,,,,,
Saitama,1989,1A4C2,Oil,,,,,
Saitama,1989,1A4C3,Coal/peat,,,,,
Saitama,1989,1A4C3,Natural gas,,,,,
Saitama,1989,1A4C3,Oil,,,,,
Saitama,1989,1A5,Coal/peat,,,,,
Saitama,1989,1A5,Natural gas,,,,,
Saitama,1989,1A5,Oil,,,,,
Saitama,1989,1A5A,Coal/peat,,,,,
Saitama,1989,1A5A,Natural gas,,,,,
Saitama,1989,1A5A,Oil,,,,,
Saitama,1989,1A5B,Coal/peat,,,,,
Saitama,1989,1A5B,Natural gas,,,,,
Saitama,1989,1A5B,Oil,,,,,
Saitama,1989,1A5C,Coal/peat,,,,,
Saitama,1989,1A5C,Natural gas,,,,,
Saitama,1989,1A5C,Oil,,,,,
Saitama,1989,1B,,,,,,
Saitama,1989,1B1,,,,,,
Saitama,1989,1B1A,,,,,,
Saitama,1989,1B1A1,,,,,,
Saitama,1989,1B1A11,,,,,,
Saitama,1989,1B1A12,,,,,,
Saitama,1989,1B1A13,,,,,,
Saitama,1989,1B1A14,,,,,,
Saitama,1989,1B1A2,,,,,,
Saitama,1989,1B1A21,,,,,,
Saitama,1989,1B1A22,,,,,,
Saitama,1989,1B1B,,,,,,
Saitama,1989,1B2,,,,,,
Saitama,1989,1B2A,,,,,,
Saitama,1989,1B2A1,,,,,,
Saitama,1989,1B2A2,,,,,,
Saitama,1989,1B2A3,,,,,,
Saitama,1989,1B2A31,,,,,,
Saitama,1989,1B2A32,,,,,,
Saitama,1989,1B2A33,,,,,,
Saitama,1989,1B2A34,,,,,,
Saitama,1989,1B2A35,,,,,,
Saitama,1989,1B2A36,,,,,,
Saitama,1989,1B2B,,,,,,
Saitama,1989,1B2B1,,,,,,
Saitama,1989,1B2B2,,,,,,
Saitama,1989,1B2B3,,,,,,
Saitama,1989,1B2B31,,,,,,
Saitama,1989,1B2B32,,,,,,
Saitama,1989,1B2B33,,,,,,
Saitama,1989,1B2B34,,,,,,
Saitama,1989,1B2B35,,,,,,
Saitama,1989,1B2B36,,,,,,
Saitama,1989,1B3,,,,,,
Saitama,1989,1C,,,,,,
Saitama,1989,1C1,,,,,,
Saitama,1989,1C1A,,,,,,
Saitama,1989,1C1B,,,,,,
