Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
Taiwan Province,1985,0,,,,,,
Taiwan Province,1985,1,,,,,,
Taiwan Province,1985,1B,,,,,,
Taiwan Province,1985,1B1,,,,,,
Taiwan Province,1985,1B1A,,,,,,
Taiwan Province,1985,1B1A1,,,,,,
Taiwan Province,1985,1B1A11,,,,,,
Taiwan Province,1985,1B1A12,,,,,,
Taiwan Province,1985,1B1A13,,,,,,
Taiwan Province,1985,1B1A14,,,,,,
Taiwan Province,1985,1B1A2,,,,,,
Taiwan Province,1985,1B1A21,,,,,,
Taiwan Province,1985,1B1A22,,,,,,
Taiwan Province,1985,1B1B,,,,,,
Taiwan Province,1985,1B2,,,,,,
Taiwan Province,1985,1B2A,,,,,,
Taiwan Province,1985,1B2A1,,,,,,
Taiwan Province,1985,1B2A2,,,,,,
Taiwan Province,1985,1B2A3,,,,,,
Taiwan Province,1985,1B2A31,,,,,,
Taiwan Province,1985,1B2A32,,,,,,
Taiwan Province,1985,1B2A33,,,,,,
Taiwan Province,1985,1B2A34,,,,,,
Taiwan Province,1985,1B2A35,,,,,,
Taiwan Province,1985,1B2A36,,,,,,
Taiwan Province,1985,1B2B,,,,,,
Taiwan Province,1985,1B2B1,,,,,,
Taiwan Province,1985,1B2B2,,,,,,
Taiwan Province,1985,1B2B3,,,,,,
Taiwan Province,1985,1B2B31,,,,,,
Taiwan Province,1985,1B2B32,,,,,,
Taiwan Province,1985,1B2B33,,,,,,
Taiwan Province,1985,1B2B34,,,,,,
Taiwan Province,1985,1B2B35,,,,,,
Taiwan Province,1985,1B2B36,,,,,,
Taiwan Province,1985,1B3,,,,,,
Taiwan Province,1985,1C,,,,,,
Taiwan Province,1985,1C1,,,,,,
Taiwan Province,1985,1C1A,,,,,,
Taiwan Province,1985,1C1B,,,,,,
Taiwan Province,1985,1C1C,,,,,,
Taiwan Province,1985,1C2,,,,,,
Taiwan Province,1985,1C2A,,,,,,
Taiwan Province,1985,1C2B,,,,,,
Taiwan Province,1985,1C3,,,,,,
Taiwan Province,1985,2,,,,,,
Taiwan Province,1985,2A,,,,,,
Taiwan Province,1985,2A1,,,,,,
Taiwan Province,1985,2A2,,,,,,
Taiwan Province,1985,2A3,,,,,,
Taiwan Province,1985,2A4,,,,,,
Taiwan Province,1985,2A4A,,,,,,
Taiwan Province,1985,2A4B,,,,,,
Taiwan Province,1985,2A4C,,,,,,
Taiwan Province,1985,2A4D,,,,,,
Taiwan Province,1985,2B,,,,,,
Taiwan Province,1985,2B1,,,,,,
Taiwan Province,1985,2B2,,,,,,
Taiwan Province,1985,2B3,,,,,,
Taiwan Province,1985,2B4,,,,,,
Taiwan Province,1985,2B5,,,,,,
Taiwan Province,1985,2B6,,,,,,
Taiwan Province,1985,2B7,,,,,,
Taiwan Province,1985,2B8,,,,,,
Taiwan Province,1985,2B8A,,,,,,
Taiwan Province,1985,2B8B,,,,,,
Taiwan Province,1985,2B8C,,,,,,
Taiwan Province,1985,2B8D,,,,,,
Taiwan Province,1985,2B8E,,,,,,
Taiwan Province,1985,2B8F,,,,,,
Taiwan Province,1985,2B9,,,,,,
Taiwan Province,1985,2B9A,,,,,,
Taiwan Province,1985,2B9B,,,,,,
Taiwan Province,1985,2B10,,,,,,
Taiwan Province,1985,2C,,,,,,
Taiwan Province,1985,2C1,,,,,,
Taiwan Province,1985,2C2,,,,,,
Taiwan Province,1985,2C3,,,,,,
Taiwan Province,1985,2C4,,,,,,
Taiwan Province,1985,2C5,,,,,,
Taiwan Province,1985,2C6,,,,,,
Taiwan Province,1985,2C7,,,,,,
Taiwan Province,1985,2D,,,,,,
Taiwan Province,1985,2D1,,,,,,
Taiwan Province,1985,2D2,,,,,,
Taiwan Province,1985,2D3,,,,,,
Taiwan Province,1985,2D4,,,,,,
Taiwan Province,1985,2E,,,,,,
Taiwan Province,1985,20,,,,,,
Taiwan Province,1985,200,,,,,,
Taiwan Province,1985,2000,,,,,,
Taiwan Province,1985,20000,,,,,,
Taiwan Province,1985,200000,,,,,,
Taiwan Province,1985,2F,,,,,,
Taiwan Province,1985,2F1,,,,,,
Taiwan Province,1985,2F2,,,,,,
Taiwan Province,1985,2F3,,,,,,
Taiwan Province,1985,2F4,,,,,,
Taiwan Province,1985,2F5,,,,,,
Taiwan Province,1985,2F6,,,,,,
Taiwan Province,1985,2G,,,,,,
Taiwan Province,1985,2G1,,,,,,
Taiwan Province,1985,2G2,,,,,,
Taiwan Province,1985,2G3,,,,,,
Taiwan Province,1985,2G4,,,,,,
Taiwan Province,1985,2H,,,,,,
Taiwan Province,1985,2H1,,,,,,
Taiwan Province,1985,2H2,,,,,,
Taiwan Province,1985,2H3,,,,,,
Taiwan Province,1985,3,,,,,,
Taiwan Province,1985,3A,,,,,,
Taiwan Province,1985,3A1,,,,,,
Taiwan Province,1985,3A2,,,,,,
Taiwan Province,1985,3B,,,,,,
Taiwan Province,1985,3B1,,,,,,
Taiwan Province,1985,3B1A,,,,,,
Taiwan Province,1985,3B1B,,,,,,
Taiwan Province,1985,3B2,,,,,,
Taiwan Province,1985,3B2A,,,,,,
Taiwan Province,1985,3B2B,,,,,,
Taiwan Province,1985,3B3,,,,,,
Taiwan Province,1985,3B3A,,,,,,
Taiwan Province,1985,3B3B,,,,,,
Taiwan Province,1985,3B4,,,,,,
Taiwan Province,1985,3B4A,,,,,,
Taiwan Province,1985,3B4B,,,,,,
Taiwan Province,1985,3B5,,,,,,
Taiwan Province,1985,3B5A,,,,,,
Taiwan Province,1985,3B5B,,,,,,
Taiwan Province,1985,3B6,,,,,,
Taiwan Province,1985,3B6A,,,,,,
Taiwan Province,1985,3B6B,,,,,,
Taiwan Province,1985,3B6B1,,,,,,
Taiwan Province,1985,3B6B2,,,,,,
Taiwan Province,1985,3B6B3,,,,,,
Taiwan Province,1985,3B6B4,,,,,,
Taiwan Province,1985,3B6B5,,,,,,
Taiwan Province,1985,3C,,,,,,
Taiwan Province,1985,3C1,,,,,,
Taiwan Province,1985,3C2,,,,,,
Taiwan Province,1985,3C3,,,,,,
Taiwan Province,1985,3C4,,,,,,
Taiwan Province,1985,3C5,,,,,,
Taiwan Province,1985,3C6,,,,,,
Taiwan Province,1985,3C7,,,,,,
Taiwan Province,1985,3C8,,,,,,
Taiwan Province,1985,3D,,,,,,
Taiwan Province,1985,3D1,,,,,,
Taiwan Province,1985,3D2,,,,,,
Taiwan Province,1985,4,,,,,,
Taiwan Province,1985,4A,,,,,,
Taiwan Province,1985,4A1,,,,,,
Taiwan Province,1985,4A2,,,,,,
Taiwan Province,1985,4A3,,,,,,
Taiwan Province,1985,4B,,,,,,
Taiwan Province,1985,4C,,,,,,
Taiwan Province,1985,4C1,,,,,,
Taiwan Province,1985,4C2,,,,,,
Taiwan Province,1985,4D,,,,,,
Taiwan Province,1985,4D1,,,,,,
Taiwan Province,1985,4D2,,,,,,
Taiwan Province,1985,4E,,,,,,
Taiwan Province,1985,5,,,,,,
Taiwan Province,1985,5A,,,,,,
Taiwan Province,1985,5A1,,,,,,
Taiwan Province,1985,5A2,,,,,,
Taiwan Province,1985,1A,Coal/peat,,,,,
Taiwan Province,1985,1A,Oil,,,,,
