Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
Wyoming,1989,0,,,,,,
Wyoming,1989,1,,,,,,
Wyoming,1989,1A,Coal/peat,,,,,
Wyoming,1989,1A,Natural gas,,,,,
Wyoming,1989,1A,Oil,,,,,
Wyoming,1989,1A1,Coal/peat,,,,,
Wyoming,1989,1A1,Natural gas,,,,,
Wyoming,1989,1A1,Oil,,,,,
Wyoming,1989,1A1A,Coal/peat,,,,,
Wyoming,1989,1A1A,Natural gas,,,,,
Wyoming,1989,1A1A,Oil,,,,,
Wyoming,1989,1A1A1,Coal/peat,,,,,
Wyoming,1989,1A1A1,Natural gas,,,,,
Wyoming,1989,1A1A1,Oil,,,,,
Wyoming,1989,1A1A2,Coal/peat,,,,,
Wyoming,1989,1A1A2,Natural gas,,,,,
Wyoming,1989,1A1A2,Oil,,,,,
Wyoming,1989,1A1A3,Coal/peat,,,,,
Wyoming,1989,1A1A3,Natural gas,,,,,
Wyoming,1989,1A1A3,Oil,,,,,
Wyoming,1989,1A1B,Coal/peat,,,,,
Wyoming,1989,1A1B,Natural gas,,,,,
Wyoming,1989,1A1B,Oil,,,,,
Wyoming,1989,1A1C,Coal/peat,,,,,
Wyoming,1989,1A1C,Natural gas,,,,,
Wyoming,1989,1A1C,Oil,,,,,
Wyoming,1989,1A2,Coal/peat,,,,,
Wyoming,1989,1A2,Natural gas,,,,,
Wyoming,1989,1A2,Oil,,,,,
Wyoming,1989,1A2A,Coal/peat,,,,,
Wyoming,1989,1A2A,Natural gas,,,,,
Wyoming,1989,1A2A,Oil,,,,,
Wyoming,1989,1A2B,Coal/peat,,,,,
Wyoming,1989,1A2B,Natural gas,,,,,
Wyoming,1989,1A2B,Oil,,,,,
Wyoming,1989,1A2C,Coal/peat,,,,,
Wyoming,1989,1A2C,Natural gas,,,,,
Wyoming,1989,1A2C,Oil,,,,,
Wyoming,1989,1A2D,Coal/peat,,,,,
Wyoming,1989,1A2D,Natural gas,,,,,
Wyoming,1989,1A2D,Oil,,,,,
Wyoming,1989,1A2E,Coal/peat,,,,,
Wyoming,1989,1A2E,Natural gas,,,,,
Wyoming,1989,1A2E,Oil,,,,,
Wyoming,1989,1A2F,Coal/peat,,,,,
Wyoming,1989,1A2F,Natural gas,,,,,
Wyoming,1989,1A2F,Oil,,,,,
Wyoming,1989,1A2G,Coal/peat,,,,,
Wyoming,1989,1A2G,Natural gas,,,,,
Wyoming,1989,1A2G,Oil,,,,,
Wyoming,1989,1A2H,Coal/peat,,,,,
Wyoming,1989,1A2H,Natural gas,,,,,
Wyoming,1989,1A2H,Oil,,,,,
Wyoming,1989,1A2I,Coal/peat,,,,,
Wyoming,1989,1A2I,Natural gas,,,,,
Wyoming,1989,1A2I,Oil,,,,,
Wyoming,1989,1A2J,Coal/peat,,,,,
Wyoming,1989,1A2J,Natural gas,,,,,
Wyoming,1989,1A2J,Oil,,,,,
Wyoming,1989,1A2K,Coal/peat,,,,,
Wyoming,1989,1A2K,Natural gas,,,,,
Wyoming,1989,1A2K,Oil,,,,,
Wyoming,1989,1A2L,Coal/peat,,,,,
Wyoming,1989,1A2L,Natural gas,,,,,
Wyoming,1989,1A2L,Oil,,,,,
Wyoming,1989,1A2M,Coal/peat,,,,,
Wyoming,1989,1A2M,Natural gas,,,,,
Wyoming,1989,1A2M,Oil,,,,,
Wyoming,1989,1A3,Coal/peat,,,,,
Wyoming,1989,1A3,Natural gas,,,,,
Wyoming,1989,1A3,Oil,,,,,
Wyoming,1989,1A3A,Coal/peat,,,,,
Wyoming,1989,1A3A,Natural gas,,,,,
Wyoming,1989,1A3A,Oil,,,,,
Wyoming,1989,1A3A1,Coal/peat,,,,,
Wyoming,1989,1A3A1,Natural gas,,,,,
Wyoming,1989,1A3A1,Oil,,,,,
Wyoming,1989,1A3A2,Coal/peat,,,,,
Wyoming,1989,1A3A2,Natural gas,,,,,
Wyoming,1989,1A3A2,Oil,,,,,
Wyoming,1989,1A3B,Coal/peat,,,,,
Wyoming,1989,1A3B,Natural gas,,,,,
Wyoming,1989,1A3B,Oil,,,,,
Wyoming,1989,1A3C,Coal/peat,,,,,
Wyoming,1989,1A3C,Natural gas,,,,,
Wyoming,1989,1A3C,Oil,,,,,
Wyoming,1989,1A3D,Coal/peat,,,,,
Wyoming,1989,1A3D,Natural gas,,,,,
Wyoming,1989,1A3D,Oil,,,,,
Wyoming,1989,1A3D1,Coal/peat,,,,,
Wyoming,1989,1A3D1,Natural gas,,,,,
Wyoming,1989,1A3D1,Oil,,,,,
Wyoming,1989,1A3D2,Coal/peat,,,,,
Wyoming,1989,1A3D2,Natural gas,,,,,
Wyoming,1989,1A3D2,Oil,,,,,
Wyoming,1989,1A3E,Coal/peat,,,,,
Wyoming,1989,1A3E,Natural gas,,,,,
Wyoming,1989,1A3E,Oil,,,,,
Wyoming,1989,1A3E1,Coal/peat,,,,,
Wyoming,1989,1A3E1,Natural gas,,,,,
Wyoming,1989,1A3E1,Oil,,,,,
Wyoming,1989,1A4,Coal/peat,,,,,
Wyoming,1989,1A4,Natural gas,,,,,
Wyoming,1989,1A4,Oil,,,,,
Wyoming,1989,1A4A,Coal/peat,,,,,
Wyoming,1989,1A4A,Natural gas,,,,,
Wyoming,1989,1A4A,Oil,,,,,
Wyoming,1989,1A4B,Coal/peat,,,,,
Wyoming,1989,1A4B,Natural gas,,,,,
Wyoming,1989,1A4B,Oil,,,,,
Wyoming,1989,1A4C,Coal/peat,,,,,
Wyoming,1989,1A4C,Natural gas,,,,,
Wyoming,1989,1A4C,Oil,,,,,
Wyoming,1989,1A4C1,Coal/peat,,,,,
Wyoming,1989,1A4C1,Natural gas,,,,,
Wyoming,1989,1A4C1,Oil,,,,,
Wyoming,1989,1A4C2,Coal/peat,,,,,
Wyoming,1989,1A4C2,Natural gas,,,,,
Wyoming,1989,1A4C2,Oil,,,,,
Wyoming,1989,1A4C3,Coal/peat,,,,,
Wyoming,1989,1A4C3,Natural gas,,,,,
Wyoming,1989,1A4C3,Oil,,,,,
Wyoming,1989,1A5,Coal/peat,,,,,
Wyoming,1989,1A5,Natural gas,,,,,
Wyoming,1989,1A5,Oil,,,,,
Wyoming,1989,1A5A,Coal/peat,,,,,
Wyoming,1989,1A5A,Natural gas,,,,,
Wyoming,1989,1A5A,Oil,,,,,
Wyoming,1989,1A5B,Coal/peat,,,,,
Wyoming,1989,1A5B,Natural gas,,,,,
Wyoming,1989,1A5B,Oil,,,,,
Wyoming,1989,1A5C,Coal/peat,,,,,
Wyoming,1989,1A5C,Natural gas,,,,,
Wyoming,1989,1A5C,Oil,,,,,
Wyoming,1989,1B,,,,,,
Wyoming,1989,1B1,,,,,,
Wyoming,1989,1B1A,,,,,,
Wyoming,1989,1B1A1,,,,,,
Wyoming,1989,1B1A11,,,,,,
Wyoming,1989,1B1A12,,,,,,
Wyoming,1989,1B1A13,,,,,,
Wyoming,1989,1B1A14,,,,,,
Wyoming,1989,1B1A2,,,,,,
Wyoming,1989,1B1A21,,,,,,
Wyoming,1989,1B1A22,,,,,,
Wyoming,1989,1B1B,,,,,,
Wyoming,1989,1B2,,,,,,
Wyoming,1989,1B2A,,,,,,
Wyoming,1989,1B2A1,,,,,,
Wyoming,1989,1B2A2,,,,,,
Wyoming,1989,1B2A3,,,,,,
