Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
Yunnan Province,1985,0,,,,,,
Yunnan Province,1985,1,,,,,,
Yunnan Province,1985,1B,,,,,,
Yunnan Province,1985,1B1,,,,,,
Yunnan Province,1985,1B1A,,,,,,
Yunnan Province,1985,1B1A1,,,,,,
Yunnan Province,1985,1B1A11,,,,,,
Yunnan Province,1985,1B1A12,,,,,,
Yunnan Province,1985,1B1A13,,,,,,
Yunnan Province,1985,1B1A14,,,,,,
Yunnan Province,1985,1B1A2,,,,,,
Yunnan Province,1985,1B1A21,,,,,,
Yunnan Province,1985,1B1A22,,,,,,
Yunnan Province,1985,1B1B,,,,,,
Yunnan Province,1985,1B2,,,,,,
Yunnan Province,1985,1B2A,,,,,,
Yunnan Province,1985,1B2A1,,,,,,
Yunnan Province,1985,1B2A2,,,,,,
Yunnan Province,1985,1B2A3,,,,,,
Yunnan Province,1985,1B2A31,,,,,,
Yunnan Province,1985,1B2A32,,,,,,
Yunnan Province,1985,1B2A33,,,,,,
Yunnan Province,1985,1B2A34,,,,,,
Yunnan Province,1985,1B2A35,,,,,,
Yunnan Province,1985,1B2A36,,,,,,
Yunnan Province,1985,1B2B,,,,,,
Yunnan Province,1985,1B2B1,,,,,,
Yunnan Province,1985,1B2B2,,,,,,
Yunnan Province,1985,1B2B3,,,,,,
Yunnan Province,1985,1B2B31,,,,,,
Yunnan Province,1985,1B2B32,,,,,,
Yunnan Province,1985,1B2B33,,,,,,
Yunnan Province,1985,1B2B34,,,,,,
Yunnan Province,1985,1B2B35,,,,,,
Yunnan Province,1985,1B2B36,,,,,,
Yunnan Province,1985,1B3,,,,,,
Yunnan Province,1985,1C,,,,,,
Yunnan Province,1985,1C1,,,,,,
Yunnan Province,1985,1C1A,,,,,,
Yunnan Province,1985,1C1B,,,,,,
Yunnan Province,1985,1C1C,,,,,,
Yunnan Province,1985,1C2,,,,,,
Yunnan Province,1985,1C2A,,,,,,
Yunnan Province,1985,1C2B,,,,,,
Yunnan Province,1985,1C3,,,,,,
Yunnan Province,1985,2,,,,,,
Yunnan Province,1985,2A,,,,,,
Yunnan Province,1985,2A1,,,,,,
Yunnan Province,1985,2A2,,,,,,
Yunnan Province,1985,2A3,,,,,,
Yunnan Province,1985,2A4,,,,,,
Yunnan Province,1985,2A4A,,,,,,
Yunnan Province,1985,2A4B,,,,,,
Yunnan Province,1985,2A4C,,,,,,
Yunnan Province,1985,2A4D,,,,,,
Yunnan Province,1985,2B,,,,,,
Yunnan Province,1985,2B1,,,,,,
Yunnan Province,1985,2B2,,,,,,
Yunnan Province,1985,2B3,,,,,,
Yunnan Province,1985,2B4,,,,,,
Yunnan Province,1985,2B5,,,,,,
Yunnan Province,1985,2B6,,,,,,
Yunnan Province,1985,2B7,,,,,,
Yunnan Province,1985,2B8,,,,,,
Yunnan Province,1985,2B8A,,,,,,
Yunnan Province,1985,2B8B,,,,,,
Yunnan Province,1985,2B8C,,,,,,
Yunnan Province,1985,2B8D,,,,,,
Yunnan Province,1985,2B8E,,,,,,
Yunnan Province,1985,2B8F,,,,,,
Yunnan Province,1985,2B9,,,,,,
Yunnan Province,1985,2B9A,,,,,,
Yunnan Province,1985,2B9B,,,,,,
Yunnan Province,1985,2B10,,,,,,
Yunnan Province,1985,2C,,,,,,
Yunnan Province,1985,2C1,,,,,,
Yunnan Province,1985,2C2,,,,,,
Yunnan Province,1985,2C3,,,,,,
Yunnan Province,1985,2C4,,,,,,
Yunnan Province,1985,2C5,,,,,,
Yunnan Province,1985,2C6,,,,,,
Yunnan Province,1985,2C7,,,,,,
Yunnan Province,1985,2D,,,,,,
Yunnan Province,1985,2D1,,,,,,
Yunnan Province,1985,2D2,,,,,,
Yunnan Province,1985,2D3,,,,,,
Yunnan Province,1985,2D4,,,,,,
Yunnan Province,1985,2E,,,,,,
Yunnan Province,1985,20,,,,,,
Yunnan Province,1985,200,,,,,,
Yunnan Province,1985,2000,,,,,,
Yunnan Province,1985,20000,,,,,,
Yunnan Province,1985,200000,,,,,,
Yunnan Province,1985,2F,,,,,,
Yunnan Province,1985,2F1,,,,,,
Yunnan Province,1985,2F2,,,,,,
Yunnan Province,1985,2F3,,,,,,
Yunnan Province,1985,2F4,,,,,,
Yunnan Province,1985,2F5,,,,,,
