Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
Zhejiang Province,1985,0,,,,,,
Zhejiang Province,1985,1,,,,,,
Zhejiang Province,1985,1B,,,,,,
Zhejiang Province,1985,1B1,,,,,,
Zhejiang Province,1985,1B1A,,,,,,
Zhejiang Province,1985,1B1A1,,,,,,
Zhejiang Province,1985,1B1A11,,,,,,
Zhejiang Province,1985,1B1A12,,,,,,
Zhejiang Province,1985,1B1A13,,,,,,
Zhejiang Province,1985,1B1A14,,,,,,
Zhejiang Province,1985,1B1A2,,,,,,
Zhejiang Province,1985,1B1A21,,,,,,
Zhejiang Province,1985,1B1A22,,,,,,
Zhejiang Province,1985,1B1B,,,,,,
Zhejiang Province,1985,1B2,,,,,,
Zhejiang Province,1985,1B2A,,,,,,
Zhejiang Province,1985,1B2A1,,,,,,
Zhejiang Province,1985,1B2A2,,,,,,
Zhejiang Province,1985,1B2A3,,,,,,
Zhejiang Province,1985,1B2A31,,,,,,
Zhejiang Province,1985,1B2A32,,,,,,
Zhejiang Province,1985,1B2A33,,,,,,
Zhejiang Province,1985,1B2A34,,,,,,
Zhejiang Province,1985,1B2A35,,,,,,
Zhejiang Province,1985,1B2A36,,,,,,
Zhejiang Province,1985,1B2B,,,,,,
Zhejiang Province,1985,1B2B1,,,,,,
Zhejiang Province,1985,1B2B2,,,,,,
Zhejiang Province,1985,1B2B3,,,,,,
Zhejiang Province,1985,1B2B31,,,,,,
Zhejiang Province,1985,1B2B32,,,,,,
Zhejiang Province,1985,1B2B33,,,,,,
Zhejiang Province,1985,1B2B34,,,,,,
Zhejiang Province,1985,1B2B35,,,,,,
Zhejiang Province,1985,1B2B36,,,,,,
Zhejiang Province,1985,1B3,,,,,,
Zhejiang Province,1985,1C,,,,,,
Zhejiang Province,1985,1C1,,,,,,
Zhejiang Province,1985,1C1A,,,,,,
Zhejiang Province,1985,1C1B,,,,,,
Zhejiang Province,1985,1C1C,,,,,,
Zhejiang Province,1985,1C2,,,,,,
Zhejiang Province,1985,1C2A,,,,,,
Zhejiang Province,1985,1C2B,,,,,,
Zhejiang Province,1985,1C3,,,,,,
Zhejiang Province,1985,2,,,,,,
Zhejiang Province,1985,2A,,,,,,
Zhejiang Province,1985,2A1,,,,,,
Zhejiang Province,1985,2A2,,,,,,
Zhejiang Province,1985,2A3,,,,,,
Zhejiang Province,1985,2A4,,,,,,
Zhejiang Province,1985,2A4A,,,,,,
Zhejiang Province,1985,2A4B,,,,,,
Zhejiang Province,1985,2A4C,,,,,,
Zhejiang Province,1985,2A4D,,,,,,
Zhejiang Province,1985,2B,,,,,,
Zhejiang Province,1985,2B1,,,,,,
Zhejiang Province,1985,2B2,,,,,,
Zhejiang Province,1985,2B3,,,,,,
Zhejiang Province,1985,2B4,,,,,,
Zhejiang Province,1985,2B5,,,,,,
Zhejiang Province,1985,2B6,,,,,,
Zhejiang Province,1985,2B7,,,,,,
Zhejiang Province,1985,2B8,,,,,,
Zhejiang Province,1985,2B8A,,,,,,
Zhejiang Province,1985,2B8B,,,,,,
Zhejiang Province,1985,2B8C,,,,,,
Zhejiang Province,1985,2B8D,,,,,,
Zhejiang Province,1985,2B8E,,,,,,
Zhejiang Province,1985,2B8F,,,,,,
Zhejiang Province,1985,2B9,,,,,,
Zhejiang Province,1985,2B9A,,,,,,
Zhejiang Province,1985,2B9B,,,,,,
Zhejiang Province,1985,2B10,,,,,,
Zhejiang Province,1985,2C,,,,,,
Zhejiang Province,1985,2C1,,,,,,
Zhejiang Province,1985,2C2,,,,,,
Zhejiang Province,1985,2C3,,,,,,
Zhejiang Province,1985,2C4,,,,,,
Zhejiang Province,1985,2C5,,,,,,
Zhejiang Province,1985,2C6,,,,,,
Zhejiang Province,1985,2C7,,,,,,
Zhejiang Province,1985,2D,,,,,,
Zhejiang Province,1985,2D1,,,,,,
Zhejiang Province,1985,2D2,,,,,,
Zhejiang Province,1985,2D3,,,,,,
Zhejiang Province,1985,2D4,,,,,,
Zhejiang Province,1985,2E,,,,,,
Zhejiang Province,1985,20,,,,,,
Zhejiang Province,1985,200,,,,,,
Zhejiang Province,1985,2000,,,,,,
Zhejiang Province,1985,20000,,,,,,
Zhejiang Province,1985,200000,,,,,,
Zhejiang Province,1985,2F,,,,,,
Zhejiang Province,1985,2F1,,,,,,
Zhejiang Province,1985,2F2,,,,,,
Zhejiang Province,1985,2F3,,,,,,
Zhejiang Province,1985,2F4,,,,,,
Zhejiang Province,1985,2F5,,,,,,
Zhejiang Province,1985,2F6,,,,,,
Zhejiang Province,1985,2G,,,,,,
Zhejiang Province,1985,2G1,,,,,,
Zhejiang Province,1985,2G2,,,,,,
Zhejiang Province,1985,2G3,,,,,,
Zhejiang Province,1985,2G4,,,,,,
Zhejiang Province,1985,2H,,,,,,
Zhejiang Province,1985,2H1,,,,,,
Zhejiang Province,1985,2H2,,,,,,
Zhejiang Province,1985,2H3,,,,,,
Zhejiang Province,1985,3,,,,,,
Zhejiang Province,1985,3A,,,,,,
Zhejiang Province,1985,3A1,,,,,,
Zhejiang Province,1985,3A2,,,,,,
Zhejiang Province,1985,3B,,,,,,
Zhejiang Province,1985,3B1,,,,,,
Zhejiang Province,1985,3B1A,,,,,,
