Jurisdiction,Year,IPCC_cat_code,Product,tax_dummy,ets_dummy,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Guangdong Province,1989,0,,,,,,
Guangdong Province,1989,1,,,,,,
Guangdong Province,1989,1A,Coal/peat,,,,,
Guangdong Province,1989,1A,Natural gas,,,,,
Guangdong Province,1989,1A,Oil,,,,,
Guangdong Province,1989,1A1,Coal/peat,,,,,
Guangdong Province,1989,1A1,Natural gas,,,,,
Guangdong Province,1989,1A1,Oil,,,,,
Guangdong Province,1989,1A1A,Coal/peat,,,,,
Guangdong Province,1989,1A1A,Natural gas,,,,,
Guangdong Province,1989,1A1A,Oil,,,,,
Guangdong Province,1989,1A1A1,Coal/peat,,,,,
Guangdong Province,1989,1A1A1,Natural gas,,,,,
Guangdong Province,1989,1A1A1,Oil,,,,,
Guangdong Province,1989,1A1A2,Coal/peat,,,,,
Guangdong Province,1989,1A1A2,Natural gas,,,,,
Guangdong Province,1989,1A1A2,Oil,,,,,
Guangdong Province,1989,1A1A3,Coal/peat,,,,,
Guangdong Province,1989,1A1A3,Natural gas,,,,,
Guangdong Province,1989,1A1A3,Oil,,,,,
Guangdong Province,1989,1A1B,Coal/peat,,,,,
Guangdong Province,1989,1A1B,Natural gas,,,,,
Guangdong Province,1989,1A1B,Oil,,,,,
Guangdong Province,1989,1A1C,Coal/peat,,,,,
Guangdong Province,1989,1A1C,Natural gas,,,,,
Guangdong Province,1989,1A1C,Oil,,,,,
Guangdong Province,1989,1A2,Coal/peat,,,,,
Guangdong Province,1989,1A2,Natural gas,,,,,
Guangdong Province,1989,1A2,Oil,,,,,
Guangdong Province,1989,1A2A,Coal/peat,,,,,
Guangdong Province,1989,1A2A,Natural gas,,,,,
Guangdong Province,1989,1A2A,Oil,,,,,
Guangdong Province,1989,1A2B,Coal/peat,,,,,
Guangdong Province,1989,1A2B,Natural gas,,,,,
Guangdong Province,1989,1A2B,Oil,,,,,
Guangdong Province,1989,1A2C,Coal/peat,,,,,
Guangdong Province,1989,1A2C,Natural gas,,,,,
Guangdong Province,1989,1A2C,Oil,,,,,
Guangdong Province,1989,1A2D,Coal/peat,,,,,
Guangdong Province,1989,1A2D,Natural gas,,,,,
Guangdong Province,1989,1A2D,Oil,,,,,
Guangdong Province,1989,1A2E,Coal/peat,,,,,
Guangdong Province,1989,1A2E,Natural gas,,,,,
Guangdong Province,1989,1A2E,Oil,,,,,
Guangdong Province,1989,1A2F,Coal/peat,,,,,
Guangdong Province,1989,1A2F,Natural gas,,,,,
Guangdong Province,1989,1A2F,Oil,,,,,
Guangdong Province,1989,1A2G,Coal/peat,,,,,
Guangdong Province,1989,1A2G,Natural gas,,,,,
Guangdong Province,1989,1A2G,Oil,,,,,
Guangdong Province,1989,1A2H,Coal/peat,,,,,
Guangdong Province,1989,1A2H,Natural gas,,,,,
Guangdong Province,1989,1A2H,Oil,,,,,
Guangdong Province,1989,1A2I,Coal/peat,,,,,
Guangdong Province,1989,1A2I,Natural gas,,,,,
Guangdong Province,1989,1A2I,Oil,,,,,
Guangdong Province,1989,1A2J,Coal/peat,,,,,
Guangdong Province,1989,1A2J,Natural gas,,,,,
Guangdong Province,1989,1A2J,Oil,,,,,
Guangdong Province,1989,1A2K,Coal/peat,,,,,
Guangdong Province,1989,1A2K,Natural gas,,,,,
Guangdong Province,1989,1A2K,Oil,,,,,
Guangdong Province,1989,1A2L,Coal/peat,,,,,
Guangdong Province,1989,1A2L,Natural gas,,,,,
Guangdong Province,1989,1A2L,Oil,,,,,
Guangdong Province,1989,1A2M,Coal/peat,,,,,
Guangdong Province,1989,1A2M,Natural gas,,,,,
Guangdong Province,1989,1A2M,Oil,,,,,
Guangdong Province,1989,1A3,Coal/peat,,,,,
Guangdong Province,1989,1A3,Natural gas,,,,,
Guangdong Province,1989,1A3,Oil,,,,,
Guangdong Province,1989,1A3A,Coal/peat,,,,,
Guangdong Province,1989,1A3A,Natural gas,,,,,
Guangdong Province,1989,1A3A,Oil,,,,,
Guangdong Province,1989,1A3A1,Coal/peat,,,,,
Guangdong Province,1989,1A3A1,Natural gas,,,,,
Guangdong Province,1989,1A3A1,Oil,,,,,
Guangdong Province,1989,1A3A2,Coal/peat,,,,,
Guangdong Province,1989,1A3A2,Natural gas,,,,,
Guangdong Province,1989,1A3A2,Oil,,,,,
Guangdong Province,1989,1A3B,Coal/peat,,,,,
Guangdong Province,1989,1A3B,Natural gas,,,,,
Guangdong Province,1989,1A3B,Oil,,,,,
Guangdong Province,1989,1A3C,Coal/peat,,,,,
Guangdong Province,1989,1A3C,Natural gas,,,,,
Guangdong Province,1989,1A3C,Oil,,,,,
Guangdong Province,1989,1A3D,Coal/peat,,,,,
Guangdong Province,1989,1A3D,Natural gas,,,,,
Guangdong Province,1989,1A3D,Oil,,,,,
Guangdong Province,1989,1A3D1,Coal/peat,,,,,
Guangdong Province,1989,1A3D1,Natural gas,,,,,
Guangdong Province,1989,1A3D1,Oil,,,,,
Guangdong Province,1989,1A3D2,Coal/peat,,,,,
Guangdong Province,1989,1A3D2,Natural gas,,,,,
Guangdong Province,1989,1A3D2,Oil,,,,,
Guangdong Province,1989,1A3E,Coal/peat,,,,,
Guangdong Province,1989,1A3E,Natural gas,,,,,
Guangdong Province,1989,1A3E,Oil,,,,,
Guangdong Province,1989,1A3E1,Coal/peat,,,,,
Guangdong Province,1989,1A3E1,Natural gas,,,,,
Guangdong Province,1989,1A3E1,Oil,,,,,
Guangdong Province,1989,1A4,Coal/peat,,,,,
Guangdong Province,1989,1A4,Natural gas,,,,,
Guangdong Province,1989,1A4,Oil,,,,,
Guangdong Province,1989,1A4A,Coal/peat,,,,,
Guangdong Province,1989,1A4A,Natural gas,,,,,
Guangdong Province,1989,1A4A,Oil,,,,,
Guangdong Province,1989,1A4B,Coal/peat,,,,,
Guangdong Province,1989,1A4B,Natural gas,,,,,
Guangdong Province,1989,1A4B,Oil,,,,,
Guangdong Province,1989,1A4C,Coal/peat,,,,,
