Jurisdiction,Year,IPCC_cat_code,Product,tax_dummy,ets_dummy,tax_scheme_id,tax_rate_excl_ex_clcu,tax_ex_rate,tax_rate_incl_ex_clcu,tax_curr_code_x,ets_scheme_id_x,ets_price_x,ets_curr_code_x,Unnamed: 0,IPCC_cat_code_1st,IPCC_cat_code_2nd,IPCC_cat_code_3rd,IPCC_cat_code_4th,IPCC_cat_code_5th,IPCC_cat_code_6th,tax_curr_code_y,ets_scheme_id_y,ets_price_y,ets_curr_code_y,tax_dummy_IPCC,ets_dummy_IPCC,tax_IPCC_agg,ets_IPCC_agg
Georgia,1989,0,NA,0.0,0.0,,,,,,,,,0.0,0,,,,,,,,,,0.0,0.0,0,0
Georgia,1989,1,NA,0.0,0.0,,,,,,,,,2.0,1,,,,,,,,,,0.0,0.0,0,0
Georgia,1989,1A,Coal/peat,0.0,0.0,,,,,,,,,4.0,1,A,,,,,,,,,0.0,0.0,0,0
Georgia,1989,1A,Natural gas,0.0,0.0,,,,,,,,,8.0,1,A,,,,,,,,,0.0,0.0,0,0
Georgia,1989,1A,Oil,0.0,0.0,,,,,,,,,12.0,1,A,,,,,,,,,0.0,0.0,0,0
Georgia,1989,1A1,Coal/peat,0.0,0.0,,,,,,,,,16.0,1,A,1,,,,,,,,0.0,0.0,0,0
Georgia,1989,1A1,Natural gas,0.0,0.0,,,,,,,,,20.0,1,A,1,,,,,,,,0.0,0.0,0,0
Georgia,1989,1A1,Oil,0.0,0.0,,,,,,,,,24.0,1,A,1,,,,,,,,0.0,0.0,0,0
Georgia,1989,1A1A,Coal/peat,0.0,0.0,,,,,,,,,28.0,1,A,1,A,,,,,,,0.0,0.0,0,0
Georgia,1989,1A1A,Natural gas,0.0,0.0,,,,,,,,,32.0,1,A,1,A,,,,,,,0.0,0.0,0,0
Georgia,1989,1A1A,Oil,0.0,0.0,,,,,,,,,36.0,1,A,1,A,,,,,,,0.0,0.0,0,0
Georgia,1989,1A1A1,Coal/peat,0.0,0.0,,,,,,,,,40.0,1,A,1,A,1,,,,,,0.0,0.0,0,0
Georgia,1989,1A1A1,Natural gas,0.0,0.0,,,,,,,,,72.0,1,A,1,A,1,,,,,,0.0,0.0,0,0
Georgia,1989,1A1A1,Oil,0.0,0.0,,,,,,,,,104.0,1,A,1,A,1,,,,,,0.0,0.0,0,0
Georgia,1989,1A1A2,Coal/peat,0.0,0.0,,,,,,,,,136.0,1,A,1,A,2,,,,,,0.0,0.0,0,0
Georgia,1989,1A1A2,Natural gas,0.0,0.0,,,,,,,,,168.0,1,A,1,A,2,,,,,,0.0,0.0,0,0
Georgia,1989,1A1A2,Oil,0.0,0.0,,,,,,,,,200.0,1,A,1,A,2,,,,,,0.0,0.0,0,0
Georgia,1989,1A1A3,Coal/peat,0.0,0.0,,,,,,,,,232.0,1,A,1,A,3,,,,,,0.0,0.0,0,0
Georgia,1989,1A1A3,Natural gas,0.0,0.0,,,,,,,,,264.0,1,A,1,A,3,,,,,,0.0,0.0,0,0
Georgia,1989,1A1A3,Oil,0.0,0.0,,,,,,,,,296.0,1,A,1,A,3,,,,,,0.0,0.0,0,0
Georgia,1989,1A1B,Coal/peat,0.0,0.0,,,,,,,,,328.0,1,A,1,B,,,,,,,0.0,0.0,0,0
Georgia,1989,1A1B,Natural gas,0.0,0.0,,,,,,,,,332.0,1,A,1,B,,,,,,,0.0,0.0,0,0
Georgia,1989,1A1B,Oil,0.0,0.0,,,,,,,,,336.0,1,A,1,B,,,,,,,0.0,0.0,0,0
Georgia,1989,1A1C,Coal/peat,0.0,0.0,,,,,,,,,340.0,1,A,1,C,,,,,,,0.0,0.0,0,0
Georgia,1989,1A1C,Natural gas,0.0,0.0,,,,,,,,,344.0,1,A,1,C,,,,,,,0.0,0.0,0,0
Georgia,1989,1A1C,Oil,0.0,0.0,,,,,,,,,348.0,1,A,1,C,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2,Coal/peat,0.0,0.0,,,,,,,,,352.0,1,A,2,,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2,Natural gas,0.0,0.0,,,,,,,,,384.0,1,A,2,,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2,Oil,0.0,0.0,,,,,,,,,416.0,1,A,2,,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2A,Coal/peat,0.0,0.0,,,,,,,,,448.0,1,A,2,A,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2A,Natural gas,0.0,0.0,,,,,,,,,452.0,1,A,2,A,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2A,Oil,0.0,0.0,,,,,,,,,456.0,1,A,2,A,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2B,Coal/peat,0.0,0.0,,,,,,,,,460.0,1,A,2,B,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2B,Natural gas,0.0,0.0,,,,,,,,,464.0,1,A,2,B,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2B,Oil,0.0,0.0,,,,,,,,,468.0,1,A,2,B,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2C,Coal/peat,0.0,0.0,,,,,,,,,472.0,1,A,2,C,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2C,Natural gas,0.0,0.0,,,,,,,,,476.0,1,A,2,C,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2C,Oil,0.0,0.0,,,,,,,,,480.0,1,A,2,C,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2D,Coal/peat,0.0,0.0,,,,,,,,,484.0,1,A,2,D,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2D,Natural gas,0.0,0.0,,,,,,,,,488.0,1,A,2,D,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2D,Oil,0.0,0.0,,,,,,,,,492.0,1,A,2,D,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2E,Coal/peat,0.0,0.0,,,,,,,,,496.0,1,A,2,E,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2E,Natural gas,0.0,0.0,,,,,,,,,500.0,1,A,2,E,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2E,Oil,0.0,0.0,,,,,,,,,504.0,1,A,2,E,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2F,Coal/peat,0.0,0.0,,,,,,,,,508.0,1,A,2,F,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2F,Natural gas,0.0,0.0,,,,,,,,,512.0,1,A,2,F,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2F,Oil,0.0,0.0,,,,,,,,,516.0,1,A,2,F,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2G,Coal/peat,0.0,0.0,,,,,,,,,520.0,1,A,2,G,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2G,Natural gas,0.0,0.0,,,,,,,,,524.0,1,A,2,G,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2G,Oil,0.0,0.0,,,,,,,,,528.0,1,A,2,G,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2H,Coal/peat,0.0,0.0,,,,,,,,,532.0,1,A,2,H,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2H,Natural gas,0.0,0.0,,,,,,,,,536.0,1,A,2,H,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2H,Oil,0.0,0.0,,,,,,,,,540.0,1,A,2,H,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2I,Coal/peat,0.0,0.0,,,,,,,,,544.0,1,A,2,I,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2I,Natural gas,0.0,0.0,,,,,,,,,548.0,1,A,2,I,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2I,Oil,0.0,0.0,,,,,,,,,552.0,1,A,2,I,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2J,Coal/peat,0.0,0.0,,,,,,,,,556.0,1,A,2,J,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2J,Natural gas,0.0,0.0,,,,,,,,,560.0,1,A,2,J,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2J,Oil,0.0,0.0,,,,,,,,,564.0,1,A,2,J,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2K,Coal/peat,0.0,0.0,,,,,,,,,568.0,1,A,2,K,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2K,Natural gas,0.0,0.0,,,,,,,,,572.0,1,A,2,K,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2K,Oil,0.0,0.0,,,,,,,,,576.0,1,A,2,K,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2L,Coal/peat,0.0,0.0,,,,,,,,,580.0,1,A,2,L,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2L,Natural gas,0.0,0.0,,,,,,,,,584.0,1,A,2,L,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2L,Oil,0.0,0.0,,,,,,,,,588.0,1,A,2,L,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2M,Coal/peat,0.0,0.0,,,,,,,,,592.0,1,A,2,M,,,,,,,0.0,0.0,0,0
Georgia,1989,1A2M,Natural gas,0.0,0.0,,,,,,,,,596.0,1,A,2,M,,,,,,,0.0,0.0,0,0
