jurisdiction,year,ipcc_code,Product,ets,ets_id,ets_price,ets_curr_code,tax,tax_id,tax_rate_excl_ex_clcu,tax_curr_code,tax_ex_rate,tax_2,tax_2_id,tax_2_rate_excl_ex_clcu,tax_2_curr_code
Vanuatu,1989,0,,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1,,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,2,,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,3,,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,4,,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,5,,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A1,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A1,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A1,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A1A,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A1A,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A1A,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A1A1,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A1A1,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A1A1,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A1A2,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A1A2,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A1A2,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A1A3,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A1A3,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A1A3,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A1B,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A1B,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A1B,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A1C,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A1C,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A1C,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2A,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2A,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2A,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2B,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2B,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2B,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2C,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2C,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2C,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2D,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2D,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2D,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2E,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2E,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2E,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2F,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2F,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2F,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2G,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2G,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2G,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2H,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2H,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2H,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2I,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2I,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2I,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2J,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2J,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2J,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2K,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2K,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2K,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2L,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2L,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2L,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2M,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2M,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A2M,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A3,Coal,0.0,,,,0.0,,,,,,,,
