jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate
Belize,1989,0,,,,,,
Belize,1989,1,,,,,,
Belize,1989,2,,,,,,
Belize,1989,3,,,,,,
Belize,1989,4,,,,,,
Belize,1989,5,,,,,,
Belize,1989,1A,Coal,,,,,
Belize,1989,1A,Natural gas,,,,,
Belize,1989,1A,Oil,,,,,
Belize,1989,1A1,Coal,,,,,
Belize,1989,1A1,Natural gas,,,,,
Belize,1989,1A1,Oil,,,,,
Belize,1989,1A1A,Coal,,,,,
Belize,1989,1A1A,Natural gas,,,,,
Belize,1989,1A1A,Oil,,,,,
Belize,1989,1A1A1,Coal,,,,,
Belize,1989,1A1A1,Natural gas,,,,,
Belize,1989,1A1A1,Oil,,,,,
Belize,1989,1A1A2,Coal,,,,,
Belize,1989,1A1A2,Natural gas,,,,,
Belize,1989,1A1A2,Oil,,,,,
Belize,1989,1A1A3,Coal,,,,,
Belize,1989,1A1A3,Natural gas,,,,,
Belize,1989,1A1A3,Oil,,,,,
Belize,1989,1A1B,Coal,,,,,
Belize,1989,1A1B,Natural gas,,,,,
Belize,1989,1A1B,Oil,,,,,
Belize,1989,1A1C,Coal,,,,,
Belize,1989,1A1C,Natural gas,,,,,
Belize,1989,1A1C,Oil,,,,,
Belize,1989,1A2,Coal,,,,,
Belize,1989,1A2,Natural gas,,,,,
Belize,1989,1A2,Oil,,,,,
Belize,1989,1A2A,Coal,,,,,
Belize,1989,1A2A,Natural gas,,,,,
Belize,1989,1A2A,Oil,,,,,
Belize,1989,1A2B,Coal,,,,,
Belize,1989,1A2B,Natural gas,,,,,
Belize,1989,1A2B,Oil,,,,,
Belize,1989,1A2C,Coal,,,,,
Belize,1989,1A2C,Natural gas,,,,,
Belize,1989,1A2C,Oil,,,,,
Belize,1989,1A2D,Coal,,,,,
Belize,1989,1A2D,Natural gas,,,,,
Belize,1989,1A2D,Oil,,,,,
Belize,1989,1A2E,Coal,,,,,
Belize,1989,1A2E,Natural gas,,,,,
Belize,1989,1A2E,Oil,,,,,
Belize,1989,1A2F,Coal,,,,,
Belize,1989,1A2F,Natural gas,,,,,
Belize,1989,1A2F,Oil,,,,,
Belize,1989,1A2G,Coal,,,,,
Belize,1989,1A2G,Natural gas,,,,,
Belize,1989,1A2G,Oil,,,,,
Belize,1989,1A2H,Coal,,,,,
Belize,1989,1A2H,Natural gas,,,,,
Belize,1989,1A2H,Oil,,,,,
Belize,1989,1A2I,Coal,,,,,
Belize,1989,1A2I,Natural gas,,,,,
Belize,1989,1A2I,Oil,,,,,
Belize,1989,1A2J,Coal,,,,,
Belize,1989,1A2J,Natural gas,,,,,
Belize,1989,1A2J,Oil,,,,,
Belize,1989,1A2K,Coal,,,,,
Belize,1989,1A2K,Natural gas,,,,,
Belize,1989,1A2K,Oil,,,,,
Belize,1989,1A2L,Coal,,,,,
Belize,1989,1A2L,Natural gas,,,,,
Belize,1989,1A2L,Oil,,,,,
Belize,1989,1A2M,Coal,,,,,
Belize,1989,1A2M,Natural gas,,,,,
Belize,1989,1A2M,Oil,,,,,
Belize,1989,1A3,Coal,,,,,
Belize,1989,1A3,Natural gas,,,,,
Belize,1989,1A3,Oil,,,,,
Belize,1989,1A3A,Coal,,,,,
Belize,1989,1A3A,Natural gas,,,,,
Belize,1989,1A3A,Oil,,,,,
Belize,1989,1A3A1,Coal,,,,,
Belize,1989,1A3A1,Natural gas,,,,,
Belize,1989,1A3A1,Oil,,,,,
Belize,1989,1A3A2,Coal,,,,,
Belize,1989,1A3A2,Natural gas,,,,,
Belize,1989,1A3A2,Oil,,,,,
Belize,1989,1A3B,Coal,,,,,
Belize,1989,1A3B,Natural gas,,,,,
Belize,1989,1A3B,Oil,,,,,
Belize,1989,1A3C,Coal,,,,,
Belize,1989,1A3C,Natural gas,,,,,
Belize,1989,1A3C,Oil,,,,,
Belize,1989,1A3D,Coal,,,,,
Belize,1989,1A3D,Natural gas,,,,,
Belize,1989,1A3D,Oil,,,,,
Belize,1989,1A3D1,Coal,,,,,
Belize,1989,1A3D1,Natural gas,,,,,
Belize,1989,1A3D1,Oil,,,,,
Belize,1989,1A3D2,Coal,,,,,
Belize,1989,1A3D2,Natural gas,,,,,
Belize,1989,1A3D2,Oil,,,,,
Belize,1989,1A3E,Coal,,,,,
Belize,1989,1A3E,Natural gas,,,,,
Belize,1989,1A3E,Oil,,,,,
Belize,1989,1A3E1,Coal,,,,,
Belize,1989,1A3E1,Natural gas,,,,,
Belize,1989,1A3E1,Oil,,,,,
Belize,1989,1A4,Coal,,,,,
Belize,1989,1A4,Natural gas,,,,,
Belize,1989,1A4,Oil,,,,,
Belize,1989,1A4A,Coal,,,,,
