jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate
"Egypt, Arab Rep.",1989,0,,,,,,
"Egypt, Arab Rep.",1989,1,,,,,,
"Egypt, Arab Rep.",1989,2,,,,,,
"Egypt, Arab Rep.",1989,3,,,,,,
"Egypt, Arab Rep.",1989,4,,,,,,
"Egypt, Arab Rep.",1989,5,,,,,,
"Egypt, Arab Rep.",1989,1A,Coal,,,,,
"Egypt, Arab Rep.",1989,1A,Natural gas,,,,,
"Egypt, Arab Rep.",1989,1A,Oil,,,,,
"Egypt, Arab Rep.",1989,1A1,Coal,,,,,
"Egypt, Arab Rep.",1989,1A1,Natural gas,,,,,
"Egypt, Arab Rep.",1989,1A1,Oil,,,,,
"Egypt, Arab Rep.",1989,1A1A,Coal,,,,,
"Egypt, Arab Rep.",1989,1A1A,Natural gas,,,,,
"Egypt, Arab Rep.",1989,1A1A,Oil,,,,,
"Egypt, Arab Rep.",1989,1A1A1,Coal,,,,,
"Egypt, Arab Rep.",1989,1A1A1,Natural gas,,,,,
"Egypt, Arab Rep.",1989,1A1A1,Oil,,,,,
"Egypt, Arab Rep.",1989,1A1A2,Coal,,,,,
"Egypt, Arab Rep.",1989,1A1A2,Natural gas,,,,,
"Egypt, Arab Rep.",1989,1A1A2,Oil,,,,,
"Egypt, Arab Rep.",1989,1A1A3,Coal,,,,,
"Egypt, Arab Rep.",1989,1A1A3,Natural gas,,,,,
"Egypt, Arab Rep.",1989,1A1A3,Oil,,,,,
"Egypt, Arab Rep.",1989,1A1B,Coal,,,,,
"Egypt, Arab Rep.",1989,1A1B,Natural gas,,,,,
"Egypt, Arab Rep.",1989,1A1B,Oil,,,,,
"Egypt, Arab Rep.",1989,1A1C,Coal,,,,,
"Egypt, Arab Rep.",1989,1A1C,Natural gas,,,,,
"Egypt, Arab Rep.",1989,1A1C,Oil,,,,,
"Egypt, Arab Rep.",1989,1A2,Coal,,,,,
"Egypt, Arab Rep.",1989,1A2,Natural gas,,,,,
"Egypt, Arab Rep.",1989,1A2,Oil,,,,,
"Egypt, Arab Rep.",1989,1A2A,Coal,,,,,
"Egypt, Arab Rep.",1989,1A2A,Natural gas,,,,,
"Egypt, Arab Rep.",1989,1A2A,Oil,,,,,
"Egypt, Arab Rep.",1989,1A2B,Coal,,,,,
"Egypt, Arab Rep.",1989,1A2B,Natural gas,,,,,
"Egypt, Arab Rep.",1989,1A2B,Oil,,,,,
"Egypt, Arab Rep.",1989,1A2C,Coal,,,,,
"Egypt, Arab Rep.",1989,1A2C,Natural gas,,,,,
"Egypt, Arab Rep.",1989,1A2C,Oil,,,,,
"Egypt, Arab Rep.",1989,1A2D,Coal,,,,,
"Egypt, Arab Rep.",1989,1A2D,Natural gas,,,,,
"Egypt, Arab Rep.",1989,1A2D,Oil,,,,,
"Egypt, Arab Rep.",1989,1A2E,Coal,,,,,
"Egypt, Arab Rep.",1989,1A2E,Natural gas,,,,,
"Egypt, Arab Rep.",1989,1A2E,Oil,,,,,
"Egypt, Arab Rep.",1989,1A2F,Coal,,,,,
"Egypt, Arab Rep.",1989,1A2F,Natural gas,,,,,
"Egypt, Arab Rep.",1989,1A2F,Oil,,,,,
"Egypt, Arab Rep.",1989,1A2G,Coal,,,,,
"Egypt, Arab Rep.",1989,1A2G,Natural gas,,,,,
"Egypt, Arab Rep.",1989,1A2G,Oil,,,,,
"Egypt, Arab Rep.",1989,1A2H,Coal,,,,,
"Egypt, Arab Rep.",1989,1A2H,Natural gas,,,,,
"Egypt, Arab Rep.",1989,1A2H,Oil,,,,,
"Egypt, Arab Rep.",1989,1A2I,Coal,,,,,
"Egypt, Arab Rep.",1989,1A2I,Natural gas,,,,,
"Egypt, Arab Rep.",1989,1A2I,Oil,,,,,
"Egypt, Arab Rep.",1989,1A2J,Coal,,,,,
"Egypt, Arab Rep.",1989,1A2J,Natural gas,,,,,
"Egypt, Arab Rep.",1989,1A2J,Oil,,,,,
