jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate
Grenada,1989,0,,,,,,
Grenada,1989,1,,,,,,
Grenada,1989,2,,,,,,
Grenada,1989,3,,,,,,
Grenada,1989,4,,,,,,
Grenada,1989,5,,,,,,
Grenada,1989,1A,Coal,,,,,
Grenada,1989,1A,Natural gas,,,,,
Grenada,1989,1A,Oil,,,,,
Grenada,1989,1A1,Coal,,,,,
Grenada,1989,1A1,Natural gas,,,,,
Grenada,1989,1A1,Oil,,,,,
Grenada,1989,1A1A,Coal,,,,,
Grenada,1989,1A1A,Natural gas,,,,,
Grenada,1989,1A1A,Oil,,,,,
Grenada,1989,1A1A1,Coal,,,,,
Grenada,1989,1A1A1,Natural gas,,,,,
Grenada,1989,1A1A1,Oil,,,,,
Grenada,1989,1A1A2,Coal,,,,,
Grenada,1989,1A1A2,Natural gas,,,,,
Grenada,1989,1A1A2,Oil,,,,,
Grenada,1989,1A1A3,Coal,,,,,
Grenada,1989,1A1A3,Natural gas,,,,,
Grenada,1989,1A1A3,Oil,,,,,
Grenada,1989,1A1B,Coal,,,,,
Grenada,1989,1A1B,Natural gas,,,,,
Grenada,1989,1A1B,Oil,,,,,
Grenada,1989,1A1C,Coal,,,,,
Grenada,1989,1A1C,Natural gas,,,,,
Grenada,1989,1A1C,Oil,,,,,
Grenada,1989,1A2,Coal,,,,,
Grenada,1989,1A2,Natural gas,,,,,
Grenada,1989,1A2,Oil,,,,,
Grenada,1989,1A2A,Coal,,,,,
Grenada,1989,1A2A,Natural gas,,,,,
Grenada,1989,1A2A,Oil,,,,,
Grenada,1989,1A2B,Coal,,,,,
Grenada,1989,1A2B,Natural gas,,,,,
Grenada,1989,1A2B,Oil,,,,,
Grenada,1989,1A2C,Coal,,,,,
Grenada,1989,1A2C,Natural gas,,,,,
Grenada,1989,1A2C,Oil,,,,,
Grenada,1989,1A2D,Coal,,,,,
Grenada,1989,1A2D,Natural gas,,,,,
Grenada,1989,1A2D,Oil,,,,,
Grenada,1989,1A2E,Coal,,,,,
Grenada,1989,1A2E,Natural gas,,,,,
Grenada,1989,1A2E,Oil,,,,,
Grenada,1989,1A2F,Coal,,,,,
Grenada,1989,1A2F,Natural gas,,,,,
Grenada,1989,1A2F,Oil,,,,,
Grenada,1989,1A2G,Coal,,,,,
Grenada,1989,1A2G,Natural gas,,,,,
Grenada,1989,1A2G,Oil,,,,,
Grenada,1989,1A2H,Coal,,,,,
Grenada,1989,1A2H,Natural gas,,,,,
Grenada,1989,1A2H,Oil,,,,,
Grenada,1989,1A2I,Coal,,,,,
Grenada,1989,1A2I,Natural gas,,,,,
Grenada,1989,1A2I,Oil,,,,,
Grenada,1989,1A2J,Coal,,,,,
