jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate
Jordan,1989,0,,,,,,
Jordan,1989,1,,,,,,
Jordan,1989,2,,,,,,
Jordan,1989,3,,,,,,
Jordan,1989,4,,,,,,
Jordan,1989,5,,,,,,
Jordan,1989,1A,Coal,,,,,
Jordan,1989,1A,Natural gas,,,,,
Jordan,1989,1A,Oil,,,,,
Jordan,1989,1A1,Coal,,,,,
Jordan,1989,1A1,Natural gas,,,,,
Jordan,1989,1A1,Oil,,,,,
Jordan,1989,1A1A,Coal,,,,,
Jordan,1989,1A1A,Natural gas,,,,,
Jordan,1989,1A1A,Oil,,,,,
Jordan,1989,1A1A1,Coal,,,,,
Jordan,1989,1A1A1,Natural gas,,,,,
Jordan,1989,1A1A1,Oil,,,,,
Jordan,1989,1A1A2,Coal,,,,,
Jordan,1989,1A1A2,Natural gas,,,,,
Jordan,1989,1A1A2,Oil,,,,,
Jordan,1989,1A1A3,Coal,,,,,
Jordan,1989,1A1A3,Natural gas,,,,,
Jordan,1989,1A1A3,Oil,,,,,
Jordan,1989,1A1B,Coal,,,,,
Jordan,1989,1A1B,Natural gas,,,,,
Jordan,1989,1A1B,Oil,,,,,
Jordan,1989,1A1C,Coal,,,,,
Jordan,1989,1A1C,Natural gas,,,,,
Jordan,1989,1A1C,Oil,,,,,
Jordan,1989,1A2,Coal,,,,,
Jordan,1989,1A2,Natural gas,,,,,
Jordan,1989,1A2,Oil,,,,,
Jordan,1989,1A2A,Coal,,,,,
Jordan,1989,1A2A,Natural gas,,,,,
Jordan,1989,1A2A,Oil,,,,,
Jordan,1989,1A2B,Coal,,,,,
Jordan,1989,1A2B,Natural gas,,,,,
Jordan,1989,1A2B,Oil,,,,,
Jordan,1989,1A2C,Coal,,,,,
Jordan,1989,1A2C,Natural gas,,,,,
Jordan,1989,1A2C,Oil,,,,,
Jordan,1989,1A2D,Coal,,,,,
Jordan,1989,1A2D,Natural gas,,,,,
Jordan,1989,1A2D,Oil,,,,,
Jordan,1989,1A2E,Coal,,,,,
Jordan,1989,1A2E,Natural gas,,,,,
Jordan,1989,1A2E,Oil,,,,,
Jordan,1989,1A2F,Coal,,,,,
Jordan,1989,1A2F,Natural gas,,,,,
Jordan,1989,1A2F,Oil,,,,,
Jordan,1989,1A2G,Coal,,,,,
Jordan,1989,1A2G,Natural gas,,,,,
Jordan,1989,1A2G,Oil,,,,,
Jordan,1989,1A2H,Coal,,,,,
Jordan,1989,1A2H,Natural gas,,,,,
Jordan,1989,1A2H,Oil,,,,,
Jordan,1989,1A2I,Coal,,,,,
Jordan,1989,1A2I,Natural gas,,,,,
Jordan,1989,1A2I,Oil,,,,,
Jordan,1989,1A2J,Coal,,,,,
Jordan,1989,1A2J,Natural gas,,,,,
Jordan,1989,1A2J,Oil,,,,,
Jordan,1989,1A2K,Coal,,,,,
Jordan,1989,1A2K,Natural gas,,,,,
Jordan,1989,1A2K,Oil,,,,,
Jordan,1989,1A2L,Coal,,,,,
Jordan,1989,1A2L,Natural gas,,,,,
Jordan,1989,1A2L,Oil,,,,,
Jordan,1989,1A2M,Coal,,,,,
Jordan,1989,1A2M,Natural gas,,,,,
Jordan,1989,1A2M,Oil,,,,,
Jordan,1989,1A3,Coal,,,,,
Jordan,1989,1A3,Natural gas,,,,,
Jordan,1989,1A3,Oil,,,,,
Jordan,1989,1A3A,Coal,,,,,
Jordan,1989,1A3A,Natural gas,,,,,
Jordan,1989,1A3A,Oil,,,,,
Jordan,1989,1A3A1,Coal,,,,,
Jordan,1989,1A3A1,Natural gas,,,,,
Jordan,1989,1A3A1,Oil,,,,,
Jordan,1989,1A3A2,Coal,,,,,
Jordan,1989,1A3A2,Natural gas,,,,,
Jordan,1989,1A3A2,Oil,,,,,
Jordan,1989,1A3B,Coal,,,,,
Jordan,1989,1A3B,Natural gas,,,,,
Jordan,1989,1A3B,Oil,,,,,
Jordan,1989,1A3C,Coal,,,,,
Jordan,1989,1A3C,Natural gas,,,,,
Jordan,1989,1A3C,Oil,,,,,
Jordan,1989,1A3D,Coal,,,,,
Jordan,1989,1A3D,Natural gas,,,,,
Jordan,1989,1A3D,Oil,,,,,
Jordan,1989,1A3D1,Coal,,,,,
Jordan,1989,1A3D1,Natural gas,,,,,
Jordan,1989,1A3D1,Oil,,,,,
Jordan,1989,1A3D2,Coal,,,,,
Jordan,1989,1A3D2,Natural gas,,,,,
Jordan,1989,1A3D2,Oil,,,,,
Jordan,1989,1A3E,Coal,,,,,
Jordan,1989,1A3E,Natural gas,,,,,
Jordan,1989,1A3E,Oil,,,,,
Jordan,1989,1A3E1,Coal,,,,,
Jordan,1989,1A3E1,Natural gas,,,,,
Jordan,1989,1A3E1,Oil,,,,,
Jordan,1989,1A4,Coal,,,,,
Jordan,1989,1A4,Natural gas,,,,,
Jordan,1989,1A4,Oil,,,,,
Jordan,1989,1A4A,Coal,,,,,
Jordan,1989,1A4A,Natural gas,,,,,
Jordan,1989,1A4A,Oil,,,,,
Jordan,1989,1A4B,Coal,,,,,
Jordan,1989,1A4B,Natural gas,,,,,
Jordan,1989,1A4B,Oil,,,,,
Jordan,1989,1A4C,Coal,,,,,
Jordan,1989,1A4C,Natural gas,,,,,
Jordan,1989,1A4C,Oil,,,,,
Jordan,1989,1A4C1,Coal,,,,,
Jordan,1989,1A4C1,Natural gas,,,,,
Jordan,1989,1A4C1,Oil,,,,,
Jordan,1989,1A4C2,Coal,,,,,
Jordan,1989,1A4C2,Natural gas,,,,,
Jordan,1989,1A4C2,Oil,,,,,
Jordan,1989,1A4C3,Coal,,,,,
Jordan,1989,1A4C3,Natural gas,,,,,
Jordan,1989,1A4C3,Oil,,,,,
Jordan,1989,1A5,Coal,,,,,
Jordan,1989,1A5,Natural gas,,,,,
Jordan,1989,1A5,Oil,,,,,
Jordan,1989,1A5A,Coal,,,,,
Jordan,1989,1A5A,Natural gas,,,,,
Jordan,1989,1A5A,Oil,,,,,
Jordan,1989,1A5B,Coal,,,,,
Jordan,1989,1A5B,Natural gas,,,,,
Jordan,1989,1A5B,Oil,,,,,
Jordan,1989,1A5C,Coal,,,,,
Jordan,1989,1A5C,Natural gas,,,,,
Jordan,1989,1A5C,Oil,,,,,
Jordan,1989,1B,,,,,,
Jordan,1989,1B1,,,,,,
Jordan,1989,1B1A,,,,,,
Jordan,1989,1B1A1,,,,,,
Jordan,1989,1B1A11,,,,,,
Jordan,1989,1B1A12,,,,,,
Jordan,1989,1B1A13,,,,,,
Jordan,1989,1B1A14,,,,,,
Jordan,1989,1B1A2,,,,,,
Jordan,1989,1B1A21,,,,,,
Jordan,1989,1B1A22,,,,,,
Jordan,1989,1B1B,,,,,,
Jordan,1989,1B2,,,,,,
Jordan,1989,1B2A,,,,,,
Jordan,1989,1B2A1,,,,,,
Jordan,1989,1B2A2,,,,,,
Jordan,1989,1B2A3,,,,,,
Jordan,1989,1B2A31,,,,,,
Jordan,1989,1B2A32,,,,,,
Jordan,1989,1B2A33,,,,,,
Jordan,1989,1B2A34,,,,,,
Jordan,1989,1B2A35,,,,,,
Jordan,1989,1B2A36,,,,,,
Jordan,1989,1B2B,,,,,,
Jordan,1989,1B2B1,,,,,,
Jordan,1989,1B2B2,,,,,,
Jordan,1989,1B2B3,,,,,,
Jordan,1989,1B2B31,,,,,,
Jordan,1989,1B2B32,,,,,,
Jordan,1989,1B2B33,,,,,,
Jordan,1989,1B2B34,,,,,,
Jordan,1989,1B2B35,,,,,,
Jordan,1989,1B2B36,,,,,,
Jordan,1989,1B3,,,,,,
Jordan,1989,1C,,,,,,
Jordan,1989,1C1,,,,,,
Jordan,1989,1C1A,,,,,,
Jordan,1989,1C1B,,,,,,
Jordan,1989,1C1C,,,,,,
Jordan,1989,1C2,,,,,,
Jordan,1989,1C2A,,,,,,
Jordan,1989,1C2B,,,,,,
Jordan,1989,1C3,,,,,,
Jordan,1989,2A,,,,,,
Jordan,1989,2A1,,,,,,
Jordan,1989,2A2,,,,,,
Jordan,1989,2A3,,,,,,
Jordan,1989,2A4,,,,,,
Jordan,1989,2A4A,,,,,,
Jordan,1989,2A4B,,,,,,
Jordan,1989,2A4C,,,,,,
Jordan,1989,2A4D,,,,,,
Jordan,1989,2B,,,,,,
Jordan,1989,2B1,,,,,,
Jordan,1989,2B10,,,,,,
Jordan,1989,2B2,,,,,,
Jordan,1989,2B3,,,,,,
Jordan,1989,2B4,,,,,,
Jordan,1989,2B5,,,,,,
Jordan,1989,2B6,,,,,,
