jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate
Kenya,1989,0,,,,,,
Kenya,1989,1,,,,,,
Kenya,1989,2,,,,,,
Kenya,1989,3,,,,,,
Kenya,1989,4,,,,,,
Kenya,1989,5,,,,,,
Kenya,1989,1A,Coal,,,,,
Kenya,1989,1A,Natural gas,,,,,
Kenya,1989,1A,Oil,,,,,
Kenya,1989,1A1,Coal,,,,,
Kenya,1989,1A1,Natural gas,,,,,
Kenya,1989,1A1,Oil,,,,,
Kenya,1989,1A1A,Coal,,,,,
Kenya,1989,1A1A,Natural gas,,,,,
Kenya,1989,1A1A,Oil,,,,,
Kenya,1989,1A1A1,Coal,,,,,
Kenya,1989,1A1A1,Natural gas,,,,,
Kenya,1989,1A1A1,Oil,,,,,
Kenya,1989,1A1A2,Coal,,,,,
Kenya,1989,1A1A2,Natural gas,,,,,
Kenya,1989,1A1A2,Oil,,,,,
Kenya,1989,1A1A3,Coal,,,,,
Kenya,1989,1A1A3,Natural gas,,,,,
Kenya,1989,1A1A3,Oil,,,,,
Kenya,1989,1A1B,Coal,,,,,
Kenya,1989,1A1B,Natural gas,,,,,
Kenya,1989,1A1B,Oil,,,,,
Kenya,1989,1A1C,Coal,,,,,
Kenya,1989,1A1C,Natural gas,,,,,
Kenya,1989,1A1C,Oil,,,,,
Kenya,1989,1A2,Coal,,,,,
Kenya,1989,1A2,Natural gas,,,,,
Kenya,1989,1A2,Oil,,,,,
Kenya,1989,1A2A,Coal,,,,,
Kenya,1989,1A2A,Natural gas,,,,,
Kenya,1989,1A2A,Oil,,,,,
Kenya,1989,1A2B,Coal,,,,,
Kenya,1989,1A2B,Natural gas,,,,,
Kenya,1989,1A2B,Oil,,,,,
Kenya,1989,1A2C,Coal,,,,,
Kenya,1989,1A2C,Natural gas,,,,,
Kenya,1989,1A2C,Oil,,,,,
Kenya,1989,1A2D,Coal,,,,,
Kenya,1989,1A2D,Natural gas,,,,,
Kenya,1989,1A2D,Oil,,,,,
Kenya,1989,1A2E,Coal,,,,,
Kenya,1989,1A2E,Natural gas,,,,,
Kenya,1989,1A2E,Oil,,,,,
Kenya,1989,1A2F,Coal,,,,,
Kenya,1989,1A2F,Natural gas,,,,,
Kenya,1989,1A2F,Oil,,,,,
Kenya,1989,1A2G,Coal,,,,,
Kenya,1989,1A2G,Natural gas,,,,,
Kenya,1989,1A2G,Oil,,,,,
Kenya,1989,1A2H,Coal,,,,,
Kenya,1989,1A2H,Natural gas,,,,,
Kenya,1989,1A2H,Oil,,,,,
Kenya,1989,1A2I,Coal,,,,,
Kenya,1989,1A2I,Natural gas,,,,,
Kenya,1989,1A2I,Oil,,,,,
Kenya,1989,1A2J,Coal,,,,,
Kenya,1989,1A2J,Natural gas,,,,,
Kenya,1989,1A2J,Oil,,,,,
Kenya,1989,1A2K,Coal,,,,,
Kenya,1989,1A2K,Natural gas,,,,,
Kenya,1989,1A2K,Oil,,,,,
Kenya,1989,1A2L,Coal,,,,,
Kenya,1989,1A2L,Natural gas,,,,,
Kenya,1989,1A2L,Oil,,,,,
Kenya,1989,1A2M,Coal,,,,,
Kenya,1989,1A2M,Natural gas,,,,,
Kenya,1989,1A2M,Oil,,,,,
Kenya,1989,1A3,Coal,,,,,
Kenya,1989,1A3,Natural gas,,,,,
Kenya,1989,1A3,Oil,,,,,
Kenya,1989,1A3A,Coal,,,,,
Kenya,1989,1A3A,Natural gas,,,,,
Kenya,1989,1A3A,Oil,,,,,
Kenya,1989,1A3A1,Coal,,,,,
Kenya,1989,1A3A1,Natural gas,,,,,
Kenya,1989,1A3A1,Oil,,,,,
