jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate
Nepal,1989,0,,,,,,
Nepal,1989,1,,,,,,
Nepal,1989,2,,,,,,
Nepal,1989,3,,,,,,
Nepal,1989,4,,,,,,
Nepal,1989,5,,,,,,
Nepal,1989,1A,Coal,,,,,
Nepal,1989,1A,Natural gas,,,,,
Nepal,1989,1A,Oil,,,,,
Nepal,1989,1A1,Coal,,,,,
Nepal,1989,1A1,Natural gas,,,,,
Nepal,1989,1A1,Oil,,,,,
Nepal,1989,1A1A,Coal,,,,,
Nepal,1989,1A1A,Natural gas,,,,,
Nepal,1989,1A1A,Oil,,,,,
Nepal,1989,1A1A1,Coal,,,,,
Nepal,1989,1A1A1,Natural gas,,,,,
Nepal,1989,1A1A1,Oil,,,,,
Nepal,1989,1A1A2,Coal,,,,,
Nepal,1989,1A1A2,Natural gas,,,,,
Nepal,1989,1A1A2,Oil,,,,,
Nepal,1989,1A1A3,Coal,,,,,
Nepal,1989,1A1A3,Natural gas,,,,,
Nepal,1989,1A1A3,Oil,,,,,
Nepal,1989,1A1B,Coal,,,,,
Nepal,1989,1A1B,Natural gas,,,,,
Nepal,1989,1A1B,Oil,,,,,
Nepal,1989,1A1C,Coal,,,,,
Nepal,1989,1A1C,Natural gas,,,,,
Nepal,1989,1A1C,Oil,,,,,
Nepal,1989,1A2,Coal,,,,,
Nepal,1989,1A2,Natural gas,,,,,
Nepal,1989,1A2,Oil,,,,,
Nepal,1989,1A2A,Coal,,,,,
Nepal,1989,1A2A,Natural gas,,,,,
Nepal,1989,1A2A,Oil,,,,,
Nepal,1989,1A2B,Coal,,,,,
Nepal,1989,1A2B,Natural gas,,,,,
Nepal,1989,1A2B,Oil,,,,,
Nepal,1989,1A2C,Coal,,,,,
Nepal,1989,1A2C,Natural gas,,,,,
Nepal,1989,1A2C,Oil,,,,,
Nepal,1989,1A2D,Coal,,,,,
Nepal,1989,1A2D,Natural gas,,,,,
Nepal,1989,1A2D,Oil,,,,,
Nepal,1989,1A2E,Coal,,,,,
Nepal,1989,1A2E,Natural gas,,,,,
Nepal,1989,1A2E,Oil,,,,,
Nepal,1989,1A2F,Coal,,,,,
Nepal,1989,1A2F,Natural gas,,,,,
Nepal,1989,1A2F,Oil,,,,,
Nepal,1989,1A2G,Coal,,,,,
Nepal,1989,1A2G,Natural gas,,,,,
Nepal,1989,1A2G,Oil,,,,,
Nepal,1989,1A2H,Coal,,,,,
Nepal,1989,1A2H,Natural gas,,,,,
Nepal,1989,1A2H,Oil,,,,,
Nepal,1989,1A2I,Coal,,,,,
Nepal,1989,1A2I,Natural gas,,,,,
Nepal,1989,1A2I,Oil,,,,,
Nepal,1989,1A2J,Coal,,,,,
Nepal,1989,1A2J,Natural gas,,,,,
Nepal,1989,1A2J,Oil,,,,,
Nepal,1989,1A2K,Coal,,,,,
Nepal,1989,1A2K,Natural gas,,,,,
Nepal,1989,1A2K,Oil,,,,,
Nepal,1989,1A2L,Coal,,,,,
Nepal,1989,1A2L,Natural gas,,,,,
Nepal,1989,1A2L,Oil,,,,,
Nepal,1989,1A2M,Coal,,,,,
Nepal,1989,1A2M,Natural gas,,,,,
Nepal,1989,1A2M,Oil,,,,,
Nepal,1989,1A3,Coal,,,,,
Nepal,1989,1A3,Natural gas,,,,,
Nepal,1989,1A3,Oil,,,,,
Nepal,1989,1A3A,Coal,,,,,
Nepal,1989,1A3A,Natural gas,,,,,
Nepal,1989,1A3A,Oil,,,,,
Nepal,1989,1A3A1,Coal,,,,,
Nepal,1989,1A3A1,Natural gas,,,,,
Nepal,1989,1A3A1,Oil,,,,,
Nepal,1989,1A3A2,Coal,,,,,
Nepal,1989,1A3A2,Natural gas,,,,,
Nepal,1989,1A3A2,Oil,,,,,
Nepal,1989,1A3B,Coal,,,,,
Nepal,1989,1A3B,Natural gas,,,,,
Nepal,1989,1A3B,Oil,,,,,
Nepal,1989,1A3C,Coal,,,,,
Nepal,1989,1A3C,Natural gas,,,,,
Nepal,1989,1A3C,Oil,,,,,
Nepal,1989,1A3D,Coal,,,,,
Nepal,1989,1A3D,Natural gas,,,,,
Nepal,1989,1A3D,Oil,,,,,
Nepal,1989,1A3D1,Coal,,,,,
Nepal,1989,1A3D1,Natural gas,,,,,
Nepal,1989,1A3D1,Oil,,,,,
Nepal,1989,1A3D2,Coal,,,,,
Nepal,1989,1A3D2,Natural gas,,,,,
Nepal,1989,1A3D2,Oil,,,,,
Nepal,1989,1A3E,Coal,,,,,
Nepal,1989,1A3E,Natural gas,,,,,
Nepal,1989,1A3E,Oil,,,,,
Nepal,1989,1A3E1,Coal,,,,,
Nepal,1989,1A3E1,Natural gas,,,,,
Nepal,1989,1A3E1,Oil,,,,,
Nepal,1989,1A4,Coal,,,,,
Nepal,1989,1A4,Natural gas,,,,,
Nepal,1989,1A4,Oil,,,,,
Nepal,1989,1A4A,Coal,,,,,
Nepal,1989,1A4A,Natural gas,,,,,
Nepal,1989,1A4A,Oil,,,,,
Nepal,1989,1A4B,Coal,,,,,
Nepal,1989,1A4B,Natural gas,,,,,
Nepal,1989,1A4B,Oil,,,,,
Nepal,1989,1A4C,Coal,,,,,
Nepal,1989,1A4C,Natural gas,,,,,
Nepal,1989,1A4C,Oil,,,,,
Nepal,1989,1A4C1,Coal,,,,,
Nepal,1989,1A4C1,Natural gas,,,,,
Nepal,1989,1A4C1,Oil,,,,,
Nepal,1989,1A4C2,Coal,,,,,
Nepal,1989,1A4C2,Natural gas,,,,,
Nepal,1989,1A4C2,Oil,,,,,
Nepal,1989,1A4C3,Coal,,,,,
Nepal,1989,1A4C3,Natural gas,,,,,
Nepal,1989,1A4C3,Oil,,,,,
Nepal,1989,1A5,Coal,,,,,
Nepal,1989,1A5,Natural gas,,,,,
Nepal,1989,1A5,Oil,,,,,
Nepal,1989,1A5A,Coal,,,,,
Nepal,1989,1A5A,Natural gas,,,,,
Nepal,1989,1A5A,Oil,,,,,
Nepal,1989,1A5B,Coal,,,,,
Nepal,1989,1A5B,Natural gas,,,,,
Nepal,1989,1A5B,Oil,,,,,
Nepal,1989,1A5C,Coal,,,,,
Nepal,1989,1A5C,Natural gas,,,,,
Nepal,1989,1A5C,Oil,,,,,
Nepal,1989,1B,,,,,,
Nepal,1989,1B1,,,,,,
Nepal,1989,1B1A,,,,,,
Nepal,1989,1B1A1,,,,,,
Nepal,1989,1B1A11,,,,,,
Nepal,1989,1B1A12,,,,,,
Nepal,1989,1B1A13,,,,,,
Nepal,1989,1B1A14,,,,,,
Nepal,1989,1B1A2,,,,,,
Nepal,1989,1B1A21,,,,,,
Nepal,1989,1B1A22,,,,,,
Nepal,1989,1B1B,,,,,,
Nepal,1989,1B2,,,,,,
Nepal,1989,1B2A,,,,,,
Nepal,1989,1B2A1,,,,,,
Nepal,1989,1B2A2,,,,,,
Nepal,1989,1B2A3,,,,,,
Nepal,1989,1B2A31,,,,,,
Nepal,1989,1B2A32,,,,,,
Nepal,1989,1B2A33,,,,,,
Nepal,1989,1B2A34,,,,,,
Nepal,1989,1B2A35,,,,,,
Nepal,1989,1B2A36,,,,,,
Nepal,1989,1B2B,,,,,,
Nepal,1989,1B2B1,,,,,,
Nepal,1989,1B2B2,,,,,,
Nepal,1989,1B2B3,,,,,,
Nepal,1989,1B2B31,,,,,,
Nepal,1989,1B2B32,,,,,,
Nepal,1989,1B2B33,,,,,,
Nepal,1989,1B2B34,,,,,,
Nepal,1989,1B2B35,,,,,,
Nepal,1989,1B2B36,,,,,,
Nepal,1989,1B3,,,,,,
Nepal,1989,1C,,,,,,
Nepal,1989,1C1,,,,,,
Nepal,1989,1C1A,,,,,,
Nepal,1989,1C1B,,,,,,
Nepal,1989,1C1C,,,,,,
Nepal,1989,1C2,,,,,,
Nepal,1989,1C2A,,,,,,
Nepal,1989,1C2B,,,,,,
Nepal,1989,1C3,,,,,,
Nepal,1989,2A,,,,,,
Nepal,1989,2A1,,,,,,
Nepal,1989,2A2,,,,,,
Nepal,1989,2A3,,,,,,
Nepal,1989,2A4,,,,,,
Nepal,1989,2A4A,,,,,,
Nepal,1989,2A4B,,,,,,
Nepal,1989,2A4C,,,,,,
Nepal,1989,2A4D,,,,,,
Nepal,1989,2B,,,,,,
Nepal,1989,2B1,,,,,,
Nepal,1989,2B10,,,,,,
Nepal,1989,2B2,,,,,,
Nepal,1989,2B3,,,,,,
Nepal,1989,2B4,,,,,,
Nepal,1989,2B5,,,,,,
Nepal,1989,2B6,,,,,,
Nepal,1989,2B7,,,,,,
Nepal,1989,2B8,,,,,,
Nepal,1989,2B8A,,,,,,
Nepal,1989,2B8B,,,,,,
