jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate
Uzbekistan,1989,0,,,,,,
Uzbekistan,1989,1,,,,,,
Uzbekistan,1989,2,,,,,,
Uzbekistan,1989,3,,,,,,
Uzbekistan,1989,4,,,,,,
Uzbekistan,1989,5,,,,,,
Uzbekistan,1989,1A,Coal,,,,,
Uzbekistan,1989,1A,Natural gas,,,,,
Uzbekistan,1989,1A,Oil,,,,,
Uzbekistan,1989,1A1,Coal,,,,,
Uzbekistan,1989,1A1,Natural gas,,,,,
Uzbekistan,1989,1A1,Oil,,,,,
Uzbekistan,1989,1A1A,Coal,,,,,
Uzbekistan,1989,1A1A,Natural gas,,,,,
Uzbekistan,1989,1A1A,Oil,,,,,
Uzbekistan,1989,1A1A1,Coal,,,,,
Uzbekistan,1989,1A1A1,Natural gas,,,,,
Uzbekistan,1989,1A1A1,Oil,,,,,
Uzbekistan,1989,1A1A2,Coal,,,,,
Uzbekistan,1989,1A1A2,Natural gas,,,,,
Uzbekistan,1989,1A1A2,Oil,,,,,
Uzbekistan,1989,1A1A3,Coal,,,,,
Uzbekistan,1989,1A1A3,Natural gas,,,,,
Uzbekistan,1989,1A1A3,Oil,,,,,
Uzbekistan,1989,1A1B,Coal,,,,,
Uzbekistan,1989,1A1B,Natural gas,,,,,
Uzbekistan,1989,1A1B,Oil,,,,,
Uzbekistan,1989,1A1C,Coal,,,,,
Uzbekistan,1989,1A1C,Natural gas,,,,,
Uzbekistan,1989,1A1C,Oil,,,,,
Uzbekistan,1989,1A2,Coal,,,,,
Uzbekistan,1989,1A2,Natural gas,,,,,
Uzbekistan,1989,1A2,Oil,,,,,
Uzbekistan,1989,1A2A,Coal,,,,,
Uzbekistan,1989,1A2A,Natural gas,,,,,
Uzbekistan,1989,1A2A,Oil,,,,,
Uzbekistan,1989,1A2B,Coal,,,,,
Uzbekistan,1989,1A2B,Natural gas,,,,,
Uzbekistan,1989,1A2B,Oil,,,,,
Uzbekistan,1989,1A2C,Coal,,,,,
Uzbekistan,1989,1A2C,Natural gas,,,,,
Uzbekistan,1989,1A2C,Oil,,,,,
Uzbekistan,1989,1A2D,Coal,,,,,
Uzbekistan,1989,1A2D,Natural gas,,,,,
Uzbekistan,1989,1A2D,Oil,,,,,
Uzbekistan,1989,1A2E,Coal,,,,,
Uzbekistan,1989,1A2E,Natural gas,,,,,
Uzbekistan,1989,1A2E,Oil,,,,,
Uzbekistan,1989,1A2F,Coal,,,,,
Uzbekistan,1989,1A2F,Natural gas,,,,,
Uzbekistan,1989,1A2F,Oil,,,,,
Uzbekistan,1989,1A2G,Coal,,,,,
Uzbekistan,1989,1A2G,Natural gas,,,,,
Uzbekistan,1989,1A2G,Oil,,,,,
Uzbekistan,1989,1A2H,Coal,,,,,
Uzbekistan,1989,1A2H,Natural gas,,,,,
Uzbekistan,1989,1A2H,Oil,,,,,
Uzbekistan,1989,1A2I,Coal,,,,,
Uzbekistan,1989,1A2I,Natural gas,,,,,
Uzbekistan,1989,1A2I,Oil,,,,,
Uzbekistan,1989,1A2J,Coal,,,,,
Uzbekistan,1989,1A2J,Natural gas,,,,,
Uzbekistan,1989,1A2J,Oil,,,,,
Uzbekistan,1989,1A2K,Coal,,,,,
Uzbekistan,1989,1A2K,Natural gas,,,,,
