jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate
Hokkaido,1989,0,,,,,,
Hokkaido,1989,1,,,,,,
Hokkaido,1989,2,,,,,,
Hokkaido,1989,3,,,,,,
Hokkaido,1989,4,,,,,,
Hokkaido,1989,5,,,,,,
Hokkaido,1989,1A,Coal,,,,,
Hokkaido,1989,1A,Natural gas,,,,,
Hokkaido,1989,1A,Oil,,,,,
Hokkaido,1989,1A1,Coal,,,,,
Hokkaido,1989,1A1,Natural gas,,,,,
Hokkaido,1989,1A1,Oil,,,,,
Hokkaido,1989,1A1A,Coal,,,,,
Hokkaido,1989,1A1A,Natural gas,,,,,
Hokkaido,1989,1A1A,Oil,,,,,
Hokkaido,1989,1A1A1,Coal,,,,,
Hokkaido,1989,1A1A1,Natural gas,,,,,
Hokkaido,1989,1A1A1,Oil,,,,,
Hokkaido,1989,1A1A2,Coal,,,,,
Hokkaido,1989,1A1A2,Natural gas,,,,,
Hokkaido,1989,1A1A2,Oil,,,,,
Hokkaido,1989,1A1A3,Coal,,,,,
Hokkaido,1989,1A1A3,Natural gas,,,,,
Hokkaido,1989,1A1A3,Oil,,,,,
Hokkaido,1989,1A1B,Coal,,,,,
Hokkaido,1989,1A1B,Natural gas,,,,,
Hokkaido,1989,1A1B,Oil,,,,,
Hokkaido,1989,1A1C,Coal,,,,,
Hokkaido,1989,1A1C,Natural gas,,,,,
Hokkaido,1989,1A1C,Oil,,,,,
Hokkaido,1989,1A2,Coal,,,,,
Hokkaido,1989,1A2,Natural gas,,,,,
Hokkaido,1989,1A2,Oil,,,,,
Hokkaido,1989,1A2A,Coal,,,,,
Hokkaido,1989,1A2A,Natural gas,,,,,
Hokkaido,1989,1A2A,Oil,,,,,
Hokkaido,1989,1A2B,Coal,,,,,
Hokkaido,1989,1A2B,Natural gas,,,,,
Hokkaido,1989,1A2B,Oil,,,,,
Hokkaido,1989,1A2C,Coal,,,,,
Hokkaido,1989,1A2C,Natural gas,,,,,
Hokkaido,1989,1A2C,Oil,,,,,
Hokkaido,1989,1A2D,Coal,,,,,
Hokkaido,1989,1A2D,Natural gas,,,,,
Hokkaido,1989,1A2D,Oil,,,,,
Hokkaido,1989,1A2E,Coal,,,,,
Hokkaido,1989,1A2E,Natural gas,,,,,
Hokkaido,1989,1A2E,Oil,,,,,
Hokkaido,1989,1A2F,Coal,,,,,
