jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate
Iowa,1989,0,,,,,,
Iowa,1989,1,,,,,,
Iowa,1989,2,,,,,,
Iowa,1989,3,,,,,,
Iowa,1989,4,,,,,,
Iowa,1989,5,,,,,,
Iowa,1989,1A,Coal,,,,,
Iowa,1989,1A,Natural gas,,,,,
Iowa,1989,1A,Oil,,,,,
Iowa,1989,1A1,Coal,,,,,
Iowa,1989,1A1,Natural gas,,,,,
Iowa,1989,1A1,Oil,,,,,
Iowa,1989,1A1A,Coal,,,,,
Iowa,1989,1A1A,Natural gas,,,,,
Iowa,1989,1A1A,Oil,,,,,
Iowa,1989,1A1A1,Coal,,,,,
Iowa,1989,1A1A1,Natural gas,,,,,
Iowa,1989,1A1A1,Oil,,,,,
Iowa,1989,1A1A2,Coal,,,,,
Iowa,1989,1A1A2,Natural gas,,,,,
Iowa,1989,1A1A2,Oil,,,,,
Iowa,1989,1A1A3,Coal,,,,,
Iowa,1989,1A1A3,Natural gas,,,,,
Iowa,1989,1A1A3,Oil,,,,,
Iowa,1989,1A1B,Coal,,,,,
Iowa,1989,1A1B,Natural gas,,,,,
Iowa,1989,1A1B,Oil,,,,,
Iowa,1989,1A1C,Coal,,,,,
Iowa,1989,1A1C,Natural gas,,,,,
Iowa,1989,1A1C,Oil,,,,,
Iowa,1989,1A2,Coal,,,,,
Iowa,1989,1A2,Natural gas,,,,,
Iowa,1989,1A2,Oil,,,,,
Iowa,1989,1A2A,Coal,,,,,
Iowa,1989,1A2A,Natural gas,,,,,
Iowa,1989,1A2A,Oil,,,,,
Iowa,1989,1A2B,Coal,,,,,
Iowa,1989,1A2B,Natural gas,,,,,
Iowa,1989,1A2B,Oil,,,,,
Iowa,1989,1A2C,Coal,,,,,
Iowa,1989,1A2C,Natural gas,,,,,
Iowa,1989,1A2C,Oil,,,,,
Iowa,1989,1A2D,Coal,,,,,
Iowa,1989,1A2D,Natural gas,,,,,
Iowa,1989,1A2D,Oil,,,,,
Iowa,1989,1A2E,Coal,,,,,
Iowa,1989,1A2E,Natural gas,,,,,
Iowa,1989,1A2E,Oil,,,,,
Iowa,1989,1A2F,Coal,,,,,
Iowa,1989,1A2F,Natural gas,,,,,
Iowa,1989,1A2F,Oil,,,,,
Iowa,1989,1A2G,Coal,,,,,
Iowa,1989,1A2G,Natural gas,,,,,
Iowa,1989,1A2G,Oil,,,,,
Iowa,1989,1A2H,Coal,,,,,
Iowa,1989,1A2H,Natural gas,,,,,
Iowa,1989,1A2H,Oil,,,,,
Iowa,1989,1A2I,Coal,,,,,
Iowa,1989,1A2I,Natural gas,,,,,
Iowa,1989,1A2I,Oil,,,,,
Iowa,1989,1A2J,Coal,,,,,
Iowa,1989,1A2J,Natural gas,,,,,
Iowa,1989,1A2J,Oil,,,,,
Iowa,1989,1A2K,Coal,,,,,
Iowa,1989,1A2K,Natural gas,,,,,
Iowa,1989,1A2K,Oil,,,,,
Iowa,1989,1A2L,Coal,,,,,
Iowa,1989,1A2L,Natural gas,,,,,
Iowa,1989,1A2L,Oil,,,,,
Iowa,1989,1A2M,Coal,,,,,
Iowa,1989,1A2M,Natural gas,,,,,
Iowa,1989,1A2M,Oil,,,,,
Iowa,1989,1A3,Coal,,,,,
Iowa,1989,1A3,Natural gas,,,,,
Iowa,1989,1A3,Oil,,,,,
Iowa,1989,1A3A,Coal,,,,,
Iowa,1989,1A3A,Natural gas,,,,,
Iowa,1989,1A3A,Oil,,,,,
Iowa,1989,1A3A1,Coal,,,,,
Iowa,1989,1A3A1,Natural gas,,,,,
Iowa,1989,1A3A1,Oil,,,,,
Iowa,1989,1A3A2,Coal,,,,,
Iowa,1989,1A3A2,Natural gas,,,,,
Iowa,1989,1A3A2,Oil,,,,,
Iowa,1989,1A3B,Coal,,,,,
Iowa,1989,1A3B,Natural gas,,,,,
Iowa,1989,1A3B,Oil,,,,,
Iowa,1989,1A3C,Coal,,,,,
Iowa,1989,1A3C,Natural gas,,,,,
Iowa,1989,1A3C,Oil,,,,,
Iowa,1989,1A3D,Coal,,,,,
Iowa,1989,1A3D,Natural gas,,,,,
Iowa,1989,1A3D,Oil,,,,,
Iowa,1989,1A3D1,Coal,,,,,
Iowa,1989,1A3D1,Natural gas,,,,,
Iowa,1989,1A3D1,Oil,,,,,
Iowa,1989,1A3D2,Coal,,,,,
Iowa,1989,1A3D2,Natural gas,,,,,
Iowa,1989,1A3D2,Oil,,,,,
Iowa,1989,1A3E,Coal,,,,,
Iowa,1989,1A3E,Natural gas,,,,,
Iowa,1989,1A3E,Oil,,,,,
Iowa,1989,1A3E1,Coal,,,,,
Iowa,1989,1A3E1,Natural gas,,,,,
Iowa,1989,1A3E1,Oil,,,,,
Iowa,1989,1A4,Coal,,,,,
Iowa,1989,1A4,Natural gas,,,,,
Iowa,1989,1A4,Oil,,,,,
Iowa,1989,1A4A,Coal,,,,,
Iowa,1989,1A4A,Natural gas,,,,,
Iowa,1989,1A4A,Oil,,,,,
Iowa,1989,1A4B,Coal,,,,,
Iowa,1989,1A4B,Natural gas,,,,,
Iowa,1989,1A4B,Oil,,,,,
Iowa,1989,1A4C,Coal,,,,,
Iowa,1989,1A4C,Natural gas,,,,,
Iowa,1989,1A4C,Oil,,,,,
Iowa,1989,1A4C1,Coal,,,,,
Iowa,1989,1A4C1,Natural gas,,,,,
Iowa,1989,1A4C1,Oil,,,,,
Iowa,1989,1A4C2,Coal,,,,,
Iowa,1989,1A4C2,Natural gas,,,,,
Iowa,1989,1A4C2,Oil,,,,,
Iowa,1989,1A4C3,Coal,,,,,
Iowa,1989,1A4C3,Natural gas,,,,,
Iowa,1989,1A4C3,Oil,,,,,
Iowa,1989,1A5,Coal,,,,,
Iowa,1989,1A5,Natural gas,,,,,
Iowa,1989,1A5,Oil,,,,,
Iowa,1989,1A5A,Coal,,,,,
Iowa,1989,1A5A,Natural gas,,,,,
Iowa,1989,1A5A,Oil,,,,,
Iowa,1989,1A5B,Coal,,,,,
Iowa,1989,1A5B,Natural gas,,,,,
Iowa,1989,1A5B,Oil,,,,,
Iowa,1989,1A5C,Coal,,,,,
Iowa,1989,1A5C,Natural gas,,,,,
Iowa,1989,1A5C,Oil,,,,,
Iowa,1989,1B,,,,,,
Iowa,1989,1B1,,,,,,
Iowa,1989,1B1A,,,,,,
Iowa,1989,1B1A1,,,,,,
Iowa,1989,1B1A11,,,,,,
Iowa,1989,1B1A12,,,,,,
Iowa,1989,1B1A13,,,,,,
Iowa,1989,1B1A14,,,,,,
