jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate
Kansas,1989,0,,,,,,
Kansas,1989,1,,,,,,
Kansas,1989,2,,,,,,
Kansas,1989,3,,,,,,
Kansas,1989,4,,,,,,
Kansas,1989,5,,,,,,
Kansas,1989,1A,Coal,,,,,
Kansas,1989,1A,Natural gas,,,,,
Kansas,1989,1A,Oil,,,,,
Kansas,1989,1A1,Coal,,,,,
Kansas,1989,1A1,Natural gas,,,,,
Kansas,1989,1A1,Oil,,,,,
Kansas,1989,1A1A,Coal,,,,,
Kansas,1989,1A1A,Natural gas,,,,,
Kansas,1989,1A1A,Oil,,,,,
Kansas,1989,1A1A1,Coal,,,,,
Kansas,1989,1A1A1,Natural gas,,,,,
Kansas,1989,1A1A1,Oil,,,,,
Kansas,1989,1A1A2,Coal,,,,,
Kansas,1989,1A1A2,Natural gas,,,,,
Kansas,1989,1A1A2,Oil,,,,,
Kansas,1989,1A1A3,Coal,,,,,
Kansas,1989,1A1A3,Natural gas,,,,,
Kansas,1989,1A1A3,Oil,,,,,
Kansas,1989,1A1B,Coal,,,,,
Kansas,1989,1A1B,Natural gas,,,,,
Kansas,1989,1A1B,Oil,,,,,
Kansas,1989,1A1C,Coal,,,,,
Kansas,1989,1A1C,Natural gas,,,,,
Kansas,1989,1A1C,Oil,,,,,
Kansas,1989,1A2,Coal,,,,,
Kansas,1989,1A2,Natural gas,,,,,
Kansas,1989,1A2,Oil,,,,,
Kansas,1989,1A2A,Coal,,,,,
Kansas,1989,1A2A,Natural gas,,,,,
Kansas,1989,1A2A,Oil,,,,,
Kansas,1989,1A2B,Coal,,,,,
Kansas,1989,1A2B,Natural gas,,,,,
Kansas,1989,1A2B,Oil,,,,,
Kansas,1989,1A2C,Coal,,,,,
Kansas,1989,1A2C,Natural gas,,,,,
Kansas,1989,1A2C,Oil,,,,,
Kansas,1989,1A2D,Coal,,,,,
Kansas,1989,1A2D,Natural gas,,,,,
