jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate
Louisiana,1989,0,,,,,,
Louisiana,1989,1,,,,,,
Louisiana,1989,2,,,,,,
Louisiana,1989,3,,,,,,
Louisiana,1989,4,,,,,,
Louisiana,1989,5,,,,,,
Louisiana,1989,1A,Coal,,,,,
Louisiana,1989,1A,Natural gas,,,,,
Louisiana,1989,1A,Oil,,,,,
Louisiana,1989,1A1,Coal,,,,,
Louisiana,1989,1A1,Natural gas,,,,,
Louisiana,1989,1A1,Oil,,,,,
Louisiana,1989,1A1A,Coal,,,,,
Louisiana,1989,1A1A,Natural gas,,,,,
Louisiana,1989,1A1A,Oil,,,,,
Louisiana,1989,1A1A1,Coal,,,,,
Louisiana,1989,1A1A1,Natural gas,,,,,
Louisiana,1989,1A1A1,Oil,,,,,
Louisiana,1989,1A1A2,Coal,,,,,
Louisiana,1989,1A1A2,Natural gas,,,,,
Louisiana,1989,1A1A2,Oil,,,,,
Louisiana,1989,1A1A3,Coal,,,,,
Louisiana,1989,1A1A3,Natural gas,,,,,
Louisiana,1989,1A1A3,Oil,,,,,
Louisiana,1989,1A1B,Coal,,,,,
Louisiana,1989,1A1B,Natural gas,,,,,
Louisiana,1989,1A1B,Oil,,,,,
Louisiana,1989,1A1C,Coal,,,,,
Louisiana,1989,1A1C,Natural gas,,,,,
Louisiana,1989,1A1C,Oil,,,,,
Louisiana,1989,1A2,Coal,,,,,
Louisiana,1989,1A2,Natural gas,,,,,
Louisiana,1989,1A2,Oil,,,,,
Louisiana,1989,1A2A,Coal,,,,,
Louisiana,1989,1A2A,Natural gas,,,,,
Louisiana,1989,1A2A,Oil,,,,,
Louisiana,1989,1A2B,Coal,,,,,
Louisiana,1989,1A2B,Natural gas,,,,,
Louisiana,1989,1A2B,Oil,,,,,
Louisiana,1989,1A2C,Coal,,,,,
Louisiana,1989,1A2C,Natural gas,,,,,
Louisiana,1989,1A2C,Oil,,,,,
Louisiana,1989,1A2D,Coal,,,,,
Louisiana,1989,1A2D,Natural gas,,,,,
Louisiana,1989,1A2D,Oil,,,,,
Louisiana,1989,1A2E,Coal,,,,,
Louisiana,1989,1A2E,Natural gas,,,,,
Louisiana,1989,1A2E,Oil,,,,,
Louisiana,1989,1A2F,Coal,,,,,
Louisiana,1989,1A2F,Natural gas,,,,,
Louisiana,1989,1A2F,Oil,,,,,
Louisiana,1989,1A2G,Coal,,,,,
Louisiana,1989,1A2G,Natural gas,,,,,
Louisiana,1989,1A2G,Oil,,,,,
Louisiana,1989,1A2H,Coal,,,,,
Louisiana,1989,1A2H,Natural gas,,,,,
Louisiana,1989,1A2H,Oil,,,,,
Louisiana,1989,1A2I,Coal,,,,,
Louisiana,1989,1A2I,Natural gas,,,,,
Louisiana,1989,1A2I,Oil,,,,,
Louisiana,1989,1A2J,Coal,,,,,
