jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate
Saskatchewan,1989,0,,,,,,
Saskatchewan,1989,1,,,,,,
Saskatchewan,1989,2,,,,,,
Saskatchewan,1989,3,,,,,,
Saskatchewan,1989,4,,,,,,
Saskatchewan,1989,5,,,,,,
Saskatchewan,1989,1A,Coal,,,,,
Saskatchewan,1989,1A,Natural gas,,,,,
Saskatchewan,1989,1A,Oil,,,,,
Saskatchewan,1989,1A1,Coal,,,,,
Saskatchewan,1989,1A1,Natural gas,,,,,
Saskatchewan,1989,1A1,Oil,,,,,
Saskatchewan,1989,1A1A,Coal,,,,,
Saskatchewan,1989,1A1A,Natural gas,,,,,
Saskatchewan,1989,1A1A,Oil,,,,,
Saskatchewan,1989,1A1A1,Coal,,,,,
Saskatchewan,1989,1A1A1,Natural gas,,,,,
Saskatchewan,1989,1A1A1,Oil,,,,,
Saskatchewan,1989,1A1A2,Coal,,,,,
Saskatchewan,1989,1A1A2,Natural gas,,,,,
Saskatchewan,1989,1A1A2,Oil,,,,,
Saskatchewan,1989,1A1A3,Coal,,,,,
Saskatchewan,1989,1A1A3,Natural gas,,,,,
Saskatchewan,1989,1A1A3,Oil,,,,,
Saskatchewan,1989,1A1B,Coal,,,,,
Saskatchewan,1989,1A1B,Natural gas,,,,,
Saskatchewan,1989,1A1B,Oil,,,,,
Saskatchewan,1989,1A1C,Coal,,,,,
Saskatchewan,1989,1A1C,Natural gas,,,,,
Saskatchewan,1989,1A1C,Oil,,,,,
Saskatchewan,1989,1A2,Coal,,,,,
Saskatchewan,1989,1A2,Natural gas,,,,,
Saskatchewan,1989,1A2,Oil,,,,,
Saskatchewan,1989,1A2A,Coal,,,,,
Saskatchewan,1989,1A2A,Natural gas,,,,,
Saskatchewan,1989,1A2A,Oil,,,,,
Saskatchewan,1989,1A2B,Coal,,,,,
Saskatchewan,1989,1A2B,Natural gas,,,,,
Saskatchewan,1989,1A2B,Oil,,,,,
Saskatchewan,1989,1A2C,Coal,,,,,
Saskatchewan,1989,1A2C,Natural gas,,,,,
Saskatchewan,1989,1A2C,Oil,,,,,
Saskatchewan,1989,1A2D,Coal,,,,,
Saskatchewan,1989,1A2D,Natural gas,,,,,
Saskatchewan,1989,1A2D,Oil,,,,,
Saskatchewan,1989,1A2E,Coal,,,,,
Saskatchewan,1989,1A2E,Natural gas,,,,,
Saskatchewan,1989,1A2E,Oil,,,,,
Saskatchewan,1989,1A2F,Coal,,,,,
Saskatchewan,1989,1A2F,Natural gas,,,,,
Saskatchewan,1989,1A2F,Oil,,,,,
Saskatchewan,1989,1A2G,Coal,,,,,
Saskatchewan,1989,1A2G,Natural gas,,,,,
Saskatchewan,1989,1A2G,Oil,,,,,
Saskatchewan,1989,1A2H,Coal,,,,,
Saskatchewan,1989,1A2H,Natural gas,,,,,
Saskatchewan,1989,1A2H,Oil,,,,,
Saskatchewan,1989,1A2I,Coal,,,,,
Saskatchewan,1989,1A2I,Natural gas,,,,,
Saskatchewan,1989,1A2I,Oil,,,,,
Saskatchewan,1989,1A2J,Coal,,,,,
Saskatchewan,1989,1A2J,Natural gas,,,,,
Saskatchewan,1989,1A2J,Oil,,,,,
Saskatchewan,1989,1A2K,Coal,,,,,
Saskatchewan,1989,1A2K,Natural gas,,,,,
Saskatchewan,1989,1A2K,Oil,,,,,
Saskatchewan,1989,1A2L,Coal,,,,,
Saskatchewan,1989,1A2L,Natural gas,,,,,
Saskatchewan,1989,1A2L,Oil,,,,,
Saskatchewan,1989,1A2M,Coal,,,,,
Saskatchewan,1989,1A2M,Natural gas,,,,,
Saskatchewan,1989,1A2M,Oil,,,,,
Saskatchewan,1989,1A3,Coal,,,,,
Saskatchewan,1989,1A3,Natural gas,,,,,
Saskatchewan,1989,1A3,Oil,,,,,
Saskatchewan,1989,1A3A,Coal,,,,,
Saskatchewan,1989,1A3A,Natural gas,,,,,
Saskatchewan,1989,1A3A,Oil,,,,,
Saskatchewan,1989,1A3A1,Coal,,,,,
Saskatchewan,1989,1A3A1,Natural gas,,,,,
Saskatchewan,1989,1A3A1,Oil,,,,,
Saskatchewan,1989,1A3A2,Coal,,,,,
Saskatchewan,1989,1A3A2,Natural gas,,,,,
Saskatchewan,1989,1A3A2,Oil,,,,,
Saskatchewan,1989,1A3B,Coal,,,,,
Saskatchewan,1989,1A3B,Natural gas,,,,,
Saskatchewan,1989,1A3B,Oil,,,,,
Saskatchewan,1989,1A3C,Coal,,,,,
Saskatchewan,1989,1A3C,Natural gas,,,,,
Saskatchewan,1989,1A3C,Oil,,,,,
Saskatchewan,1989,1A3D,Coal,,,,,
Saskatchewan,1989,1A3D,Natural gas,,,,,
Saskatchewan,1989,1A3D,Oil,,,,,
Saskatchewan,1989,1A3D1,Coal,,,,,
Saskatchewan,1989,1A3D1,Natural gas,,,,,
Saskatchewan,1989,1A3D1,Oil,,,,,
Saskatchewan,1989,1A3D2,Coal,,,,,
Saskatchewan,1989,1A3D2,Natural gas,,,,,
Saskatchewan,1989,1A3D2,Oil,,,,,
Saskatchewan,1989,1A3E,Coal,,,,,
Saskatchewan,1989,1A3E,Natural gas,,,,,
Saskatchewan,1989,1A3E,Oil,,,,,
Saskatchewan,1989,1A3E1,Coal,,,,,
Saskatchewan,1989,1A3E1,Natural gas,,,,,
Saskatchewan,1989,1A3E1,Oil,,,,,
Saskatchewan,1989,1A4,Coal,,,,,
Saskatchewan,1989,1A4,Natural gas,,,,,
Saskatchewan,1989,1A4,Oil,,,,,
Saskatchewan,1989,1A4A,Coal,,,,,
Saskatchewan,1989,1A4A,Natural gas,,,,,
Saskatchewan,1989,1A4A,Oil,,,,,
Saskatchewan,1989,1A4B,Coal,,,,,
Saskatchewan,1989,1A4B,Natural gas,,,,,
Saskatchewan,1989,1A4B,Oil,,,,,
Saskatchewan,1989,1A4C,Coal,,,,,
Saskatchewan,1989,1A4C,Natural gas,,,,,
Saskatchewan,1989,1A4C,Oil,,,,,
Saskatchewan,1989,1A4C1,Coal,,,,,
Saskatchewan,1989,1A4C1,Natural gas,,,,,
Saskatchewan,1989,1A4C1,Oil,,,,,
Saskatchewan,1989,1A4C2,Coal,,,,,
Saskatchewan,1989,1A4C2,Natural gas,,,,,
Saskatchewan,1989,1A4C2,Oil,,,,,
Saskatchewan,1989,1A4C3,Coal,,,,,
Saskatchewan,1989,1A4C3,Natural gas,,,,,
Saskatchewan,1989,1A4C3,Oil,,,,,
Saskatchewan,1989,1A5,Coal,,,,,
Saskatchewan,1989,1A5,Natural gas,,,,,
Saskatchewan,1989,1A5,Oil,,,,,
Saskatchewan,1989,1A5A,Coal,,,,,
Saskatchewan,1989,1A5A,Natural gas,,,,,
Saskatchewan,1989,1A5A,Oil,,,,,
Saskatchewan,1989,1A5B,Coal,,,,,
Saskatchewan,1989,1A5B,Natural gas,,,,,
Saskatchewan,1989,1A5B,Oil,,,,,
Saskatchewan,1989,1A5C,Coal,,,,,
Saskatchewan,1989,1A5C,Natural gas,,,,,
Saskatchewan,1989,1A5C,Oil,,,,,
Saskatchewan,1989,1B,,,,,,
Saskatchewan,1989,1B1,,,,,,
Saskatchewan,1989,1B1A,,,,,,
Saskatchewan,1989,1B1A1,,,,,,
Saskatchewan,1989,1B1A11,,,,,,
Saskatchewan,1989,1B1A12,,,,,,
Saskatchewan,1989,1B1A13,,,,,,
Saskatchewan,1989,1B1A14,,,,,,
Saskatchewan,1989,1B1A2,,,,,,
Saskatchewan,1989,1B1A21,,,,,,
Saskatchewan,1989,1B1A22,,,,,,
Saskatchewan,1989,1B1B,,,,,,
Saskatchewan,1989,1B2,,,,,,
Saskatchewan,1989,1B2A,,,,,,
Saskatchewan,1989,1B2A1,,,,,,
Saskatchewan,1989,1B2A2,,,,,,
Saskatchewan,1989,1B2A3,,,,,,
Saskatchewan,1989,1B2A31,,,,,,
Saskatchewan,1989,1B2A32,,,,,,
Saskatchewan,1989,1B2A33,,,,,,
Saskatchewan,1989,1B2A34,,,,,,
Saskatchewan,1989,1B2A35,,,,,,
Saskatchewan,1989,1B2A36,,,,,,
Saskatchewan,1989,1B2B,,,,,,
Saskatchewan,1989,1B2B1,,,,,,
Saskatchewan,1989,1B2B2,,,,,,
Saskatchewan,1989,1B2B3,,,,,,
Saskatchewan,1989,1B2B31,,,,,,
Saskatchewan,1989,1B2B32,,,,,,
Saskatchewan,1989,1B2B33,,,,,,
Saskatchewan,1989,1B2B34,,,,,,
Saskatchewan,1989,1B2B35,,,,,,
Saskatchewan,1989,1B2B36,,,,,,
Saskatchewan,1989,1B3,,,,,,
Saskatchewan,1989,1C,,,,,,
Saskatchewan,1989,1C1,,,,,,
Saskatchewan,1989,1C1A,,,,,,
Saskatchewan,1989,1C1B,,,,,,
Saskatchewan,1989,1C1C,,,,,,
Saskatchewan,1989,1C2,,,,,,
Saskatchewan,1989,1C2A,,,,,,
Saskatchewan,1989,1C2B,,,,,,
Saskatchewan,1989,1C3,,,,,,
Saskatchewan,1989,2A,,,,,,
Saskatchewan,1989,2A1,,,,,,
Saskatchewan,1989,2A2,,,,,,
Saskatchewan,1989,2A3,,,,,,
Saskatchewan,1989,2A4,,,,,,
Saskatchewan,1989,2A4A,,,,,,
Saskatchewan,1989,2A4B,,,,,,
Saskatchewan,1989,2A4C,,,,,,
Saskatchewan,1989,2A4D,,,,,,
Saskatchewan,1989,2B,,,,,,
Saskatchewan,1989,2B1,,,,,,
