jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate
Tlaxcala,1989,0,,,,,,
Tlaxcala,1989,1,,,,,,
Tlaxcala,1989,2,,,,,,
Tlaxcala,1989,3,,,,,,
Tlaxcala,1989,4,,,,,,
Tlaxcala,1989,5,,,,,,
Tlaxcala,1989,1A,Coal,,,,,
Tlaxcala,1989,1A,Natural gas,,,,,
Tlaxcala,1989,1A,Oil,,,,,
Tlaxcala,1989,1A1,Coal,,,,,
Tlaxcala,1989,1A1,Natural gas,,,,,
Tlaxcala,1989,1A1,Oil,,,,,
Tlaxcala,1989,1A1A,Coal,,,,,
Tlaxcala,1989,1A1A,Natural gas,,,,,
Tlaxcala,1989,1A1A,Oil,,,,,
Tlaxcala,1989,1A1A1,Coal,,,,,
Tlaxcala,1989,1A1A1,Natural gas,,,,,
Tlaxcala,1989,1A1A1,Oil,,,,,
Tlaxcala,1989,1A1A2,Coal,,,,,
Tlaxcala,1989,1A1A2,Natural gas,,,,,
Tlaxcala,1989,1A1A2,Oil,,,,,
Tlaxcala,1989,1A1A3,Coal,,,,,
Tlaxcala,1989,1A1A3,Natural gas,,,,,
Tlaxcala,1989,1A1A3,Oil,,,,,
Tlaxcala,1989,1A1B,Coal,,,,,
Tlaxcala,1989,1A1B,Natural gas,,,,,
Tlaxcala,1989,1A1B,Oil,,,,,
Tlaxcala,1989,1A1C,Coal,,,,,
Tlaxcala,1989,1A1C,Natural gas,,,,,
Tlaxcala,1989,1A1C,Oil,,,,,
Tlaxcala,1989,1A2,Coal,,,,,
Tlaxcala,1989,1A2,Natural gas,,,,,
Tlaxcala,1989,1A2,Oil,,,,,
Tlaxcala,1989,1A2A,Coal,,,,,
Tlaxcala,1989,1A2A,Natural gas,,,,,
Tlaxcala,1989,1A2A,Oil,,,,,
Tlaxcala,1989,1A2B,Coal,,,,,
Tlaxcala,1989,1A2B,Natural gas,,,,,
Tlaxcala,1989,1A2B,Oil,,,,,
Tlaxcala,1989,1A2C,Coal,,,,,
Tlaxcala,1989,1A2C,Natural gas,,,,,
Tlaxcala,1989,1A2C,Oil,,,,,
Tlaxcala,1989,1A2D,Coal,,,,,
Tlaxcala,1989,1A2D,Natural gas,,,,,
Tlaxcala,1989,1A2D,Oil,,,,,
Tlaxcala,1989,1A2E,Coal,,,,,
Tlaxcala,1989,1A2E,Natural gas,,,,,
Tlaxcala,1989,1A2E,Oil,,,,,
Tlaxcala,1989,1A2F,Coal,,,,,
Tlaxcala,1989,1A2F,Natural gas,,,,,
Tlaxcala,1989,1A2F,Oil,,,,,
Tlaxcala,1989,1A2G,Coal,,,,,
Tlaxcala,1989,1A2G,Natural gas,,,,,
Tlaxcala,1989,1A2G,Oil,,,,,
Tlaxcala,1989,1A2H,Coal,,,,,
Tlaxcala,1989,1A2H,Natural gas,,,,,
Tlaxcala,1989,1A2H,Oil,,,,,
Tlaxcala,1989,1A2I,Coal,,,,,
Tlaxcala,1989,1A2I,Natural gas,,,,,
Tlaxcala,1989,1A2I,Oil,,,,,
Tlaxcala,1989,1A2J,Coal,,,,,
Tlaxcala,1989,1A2J,Natural gas,,,,,
Tlaxcala,1989,1A2J,Oil,,,,,
Tlaxcala,1989,1A2K,Coal,,,,,
Tlaxcala,1989,1A2K,Natural gas,,,,,
Tlaxcala,1989,1A2K,Oil,,,,,
Tlaxcala,1989,1A2L,Coal,,,,,
Tlaxcala,1989,1A2L,Natural gas,,,,,
Tlaxcala,1989,1A2L,Oil,,,,,
Tlaxcala,1989,1A2M,Coal,,,,,
Tlaxcala,1989,1A2M,Natural gas,,,,,
Tlaxcala,1989,1A2M,Oil,,,,,
Tlaxcala,1989,1A3,Coal,,,,,
Tlaxcala,1989,1A3,Natural gas,,,,,
Tlaxcala,1989,1A3,Oil,,,,,
Tlaxcala,1989,1A3A,Coal,,,,,
Tlaxcala,1989,1A3A,Natural gas,,,,,
Tlaxcala,1989,1A3A,Oil,,,,,
Tlaxcala,1989,1A3A1,Coal,,,,,
Tlaxcala,1989,1A3A1,Natural gas,,,,,
Tlaxcala,1989,1A3A1,Oil,,,,,
Tlaxcala,1989,1A3A2,Coal,,,,,
Tlaxcala,1989,1A3A2,Natural gas,,,,,
Tlaxcala,1989,1A3A2,Oil,,,,,
Tlaxcala,1989,1A3B,Coal,,,,,
Tlaxcala,1989,1A3B,Natural gas,,,,,
Tlaxcala,1989,1A3B,Oil,,,,,
Tlaxcala,1989,1A3C,Coal,,,,,
Tlaxcala,1989,1A3C,Natural gas,,,,,
Tlaxcala,1989,1A3C,Oil,,,,,
Tlaxcala,1989,1A3D,Coal,,,,,
Tlaxcala,1989,1A3D,Natural gas,,,,,
Tlaxcala,1989,1A3D,Oil,,,,,
Tlaxcala,1989,1A3D1,Coal,,,,,
Tlaxcala,1989,1A3D1,Natural gas,,,,,
Tlaxcala,1989,1A3D1,Oil,,,,,
Tlaxcala,1989,1A3D2,Coal,,,,,
Tlaxcala,1989,1A3D2,Natural gas,,,,,
Tlaxcala,1989,1A3D2,Oil,,,,,
Tlaxcala,1989,1A3E,Coal,,,,,
Tlaxcala,1989,1A3E,Natural gas,,,,,
Tlaxcala,1989,1A3E,Oil,,,,,
Tlaxcala,1989,1A3E1,Coal,,,,,
Tlaxcala,1989,1A3E1,Natural gas,,,,,
Tlaxcala,1989,1A3E1,Oil,,,,,
Tlaxcala,1989,1A4,Coal,,,,,
Tlaxcala,1989,1A4,Natural gas,,,,,
Tlaxcala,1989,1A4,Oil,,,,,
Tlaxcala,1989,1A4A,Coal,,,,,
Tlaxcala,1989,1A4A,Natural gas,,,,,
Tlaxcala,1989,1A4A,Oil,,,,,
Tlaxcala,1989,1A4B,Coal,,,,,
Tlaxcala,1989,1A4B,Natural gas,,,,,
Tlaxcala,1989,1A4B,Oil,,,,,
Tlaxcala,1989,1A4C,Coal,,,,,
Tlaxcala,1989,1A4C,Natural gas,,,,,
Tlaxcala,1989,1A4C,Oil,,,,,
Tlaxcala,1989,1A4C1,Coal,,,,,
Tlaxcala,1989,1A4C1,Natural gas,,,,,
Tlaxcala,1989,1A4C1,Oil,,,,,
Tlaxcala,1989,1A4C2,Coal,,,,,
Tlaxcala,1989,1A4C2,Natural gas,,,,,
Tlaxcala,1989,1A4C2,Oil,,,,,
Tlaxcala,1989,1A4C3,Coal,,,,,
Tlaxcala,1989,1A4C3,Natural gas,,,,,
Tlaxcala,1989,1A4C3,Oil,,,,,
Tlaxcala,1989,1A5,Coal,,,,,
Tlaxcala,1989,1A5,Natural gas,,,,,
Tlaxcala,1989,1A5,Oil,,,,,
Tlaxcala,1989,1A5A,Coal,,,,,
Tlaxcala,1989,1A5A,Natural gas,,,,,
Tlaxcala,1989,1A5A,Oil,,,,,
Tlaxcala,1989,1A5B,Coal,,,,,
Tlaxcala,1989,1A5B,Natural gas,,,,,
Tlaxcala,1989,1A5B,Oil,,,,,
Tlaxcala,1989,1A5C,Coal,,,,,
Tlaxcala,1989,1A5C,Natural gas,,,,,
Tlaxcala,1989,1A5C,Oil,,,,,
Tlaxcala,1989,1B,,,,,,
Tlaxcala,1989,1B1,,,,,,
Tlaxcala,1989,1B1A,,,,,,
Tlaxcala,1989,1B1A1,,,,,,
Tlaxcala,1989,1B1A11,,,,,,
Tlaxcala,1989,1B1A12,,,,,,
Tlaxcala,1989,1B1A13,,,,,,
