jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate
Washington,1989,0,,,,,,
Washington,1989,1,,,,,,
Washington,1989,2,,,,,,
Washington,1989,3,,,,,,
Washington,1989,4,,,,,,
Washington,1989,5,,,,,,
Washington,1989,1A,Coal,,,,,
Washington,1989,1A,Natural gas,,,,,
Washington,1989,1A,Oil,,,,,
Washington,1989,1A1,Coal,,,,,
Washington,1989,1A1,Natural gas,,,,,
Washington,1989,1A1,Oil,,,,,
Washington,1989,1A1A,Coal,,,,,
Washington,1989,1A1A,Natural gas,,,,,
Washington,1989,1A1A,Oil,,,,,
Washington,1989,1A1A1,Coal,,,,,
Washington,1989,1A1A1,Natural gas,,,,,
Washington,1989,1A1A1,Oil,,,,,
Washington,1989,1A1A2,Coal,,,,,
Washington,1989,1A1A2,Natural gas,,,,,
Washington,1989,1A1A2,Oil,,,,,
Washington,1989,1A1A3,Coal,,,,,
Washington,1989,1A1A3,Natural gas,,,,,
Washington,1989,1A1A3,Oil,,,,,
Washington,1989,1A1B,Coal,,,,,
Washington,1989,1A1B,Natural gas,,,,,
Washington,1989,1A1B,Oil,,,,,
Washington,1989,1A1C,Coal,,,,,
Washington,1989,1A1C,Natural gas,,,,,
Washington,1989,1A1C,Oil,,,,,
Washington,1989,1A2,Coal,,,,,
Washington,1989,1A2,Natural gas,,,,,
Washington,1989,1A2,Oil,,,,,
Washington,1989,1A2A,Coal,,,,,
Washington,1989,1A2A,Natural gas,,,,,
Washington,1989,1A2A,Oil,,,,,
Washington,1989,1A2B,Coal,,,,,
Washington,1989,1A2B,Natural gas,,,,,
Washington,1989,1A2B,Oil,,,,,
Washington,1989,1A2C,Coal,,,,,
Washington,1989,1A2C,Natural gas,,,,,
Washington,1989,1A2C,Oil,,,,,
Washington,1989,1A2D,Coal,,,,,
Washington,1989,1A2D,Natural gas,,,,,
Washington,1989,1A2D,Oil,,,,,
Washington,1989,1A2E,Coal,,,,,
Washington,1989,1A2E,Natural gas,,,,,
Washington,1989,1A2E,Oil,,,,,
Washington,1989,1A2F,Coal,,,,,
Washington,1989,1A2F,Natural gas,,,,,
Washington,1989,1A2F,Oil,,,,,
Washington,1989,1A2G,Coal,,,,,
Washington,1989,1A2G,Natural gas,,,,,
Washington,1989,1A2G,Oil,,,,,
Washington,1989,1A2H,Coal,,,,,
Washington,1989,1A2H,Natural gas,,,,,
Washington,1989,1A2H,Oil,,,,,
Washington,1989,1A2I,Coal,,,,,
Washington,1989,1A2I,Natural gas,,,,,
Washington,1989,1A2I,Oil,,,,,
Washington,1989,1A2J,Coal,,,,,
Washington,1989,1A2J,Natural gas,,,,,
Washington,1989,1A2J,Oil,,,,,
Washington,1989,1A2K,Coal,,,,,
Washington,1989,1A2K,Natural gas,,,,,
Washington,1989,1A2K,Oil,,,,,
Washington,1989,1A2L,Coal,,,,,
Washington,1989,1A2L,Natural gas,,,,,
Washington,1989,1A2L,Oil,,,,,
Washington,1989,1A2M,Coal,,,,,
Washington,1989,1A2M,Natural gas,,,,,
Washington,1989,1A2M,Oil,,,,,
Washington,1989,1A3,Coal,,,,,
Washington,1989,1A3,Natural gas,,,,,
Washington,1989,1A3,Oil,,,,,
Washington,1989,1A3A,Coal,,,,,
Washington,1989,1A3A,Natural gas,,,,,
Washington,1989,1A3A,Oil,,,,,
Washington,1989,1A3A1,Coal,,,,,
Washington,1989,1A3A1,Natural gas,,,,,
Washington,1989,1A3A1,Oil,,,,,
Washington,1989,1A3A2,Coal,,,,,
Washington,1989,1A3A2,Natural gas,,,,,
Washington,1989,1A3A2,Oil,,,,,
Washington,1989,1A3B,Coal,,,,,
Washington,1989,1A3B,Natural gas,,,,,
Washington,1989,1A3B,Oil,,,,,
Washington,1989,1A3C,Coal,,,,,
Washington,1989,1A3C,Natural gas,,,,,
Washington,1989,1A3C,Oil,,,,,
Washington,1989,1A3D,Coal,,,,,
Washington,1989,1A3D,Natural gas,,,,,
Washington,1989,1A3D,Oil,,,,,
Washington,1989,1A3D1,Coal,,,,,
Washington,1989,1A3D1,Natural gas,,,,,
Washington,1989,1A3D1,Oil,,,,,
Washington,1989,1A3D2,Coal,,,,,
Washington,1989,1A3D2,Natural gas,,,,,
Washington,1989,1A3D2,Oil,,,,,
Washington,1989,1A3E,Coal,,,,,
Washington,1989,1A3E,Natural gas,,,,,
Washington,1989,1A3E,Oil,,,,,
Washington,1989,1A3E1,Coal,,,,,
Washington,1989,1A3E1,Natural gas,,,,,
Washington,1989,1A3E1,Oil,,,,,
Washington,1989,1A4,Coal,,,,,
Washington,1989,1A4,Natural gas,,,,,
Washington,1989,1A4,Oil,,,,,
Washington,1989,1A4A,Coal,,,,,
Washington,1989,1A4A,Natural gas,,,,,
Washington,1989,1A4A,Oil,,,,,
Washington,1989,1A4B,Coal,,,,,
Washington,1989,1A4B,Natural gas,,,,,
Washington,1989,1A4B,Oil,,,,,
Washington,1989,1A4C,Coal,,,,,
Washington,1989,1A4C,Natural gas,,,,,
Washington,1989,1A4C,Oil,,,,,
Washington,1989,1A4C1,Coal,,,,,
Washington,1989,1A4C1,Natural gas,,,,,
Washington,1989,1A4C1,Oil,,,,,
Washington,1989,1A4C2,Coal,,,,,
Washington,1989,1A4C2,Natural gas,,,,,
Washington,1989,1A4C2,Oil,,,,,
Washington,1989,1A4C3,Coal,,,,,
Washington,1989,1A4C3,Natural gas,,,,,
Washington,1989,1A4C3,Oil,,,,,
Washington,1989,1A5,Coal,,,,,
Washington,1989,1A5,Natural gas,,,,,
Washington,1989,1A5,Oil,,,,,
Washington,1989,1A5A,Coal,,,,,
Washington,1989,1A5A,Natural gas,,,,,
Washington,1989,1A5A,Oil,,,,,
Washington,1989,1A5B,Coal,,,,,
Washington,1989,1A5B,Natural gas,,,,,
Washington,1989,1A5B,Oil,,,,,
