jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate
West Virginia,1989,0,,,,,,
West Virginia,1989,1,,,,,,
West Virginia,1989,2,,,,,,
West Virginia,1989,3,,,,,,
West Virginia,1989,4,,,,,,
West Virginia,1989,5,,,,,,
West Virginia,1989,1A,Coal,,,,,
West Virginia,1989,1A,Natural gas,,,,,
West Virginia,1989,1A,Oil,,,,,
West Virginia,1989,1A1,Coal,,,,,
West Virginia,1989,1A1,Natural gas,,,,,
West Virginia,1989,1A1,Oil,,,,,
West Virginia,1989,1A1A,Coal,,,,,
West Virginia,1989,1A1A,Natural gas,,,,,
West Virginia,1989,1A1A,Oil,,,,,
West Virginia,1989,1A1A1,Coal,,,,,
West Virginia,1989,1A1A1,Natural gas,,,,,
West Virginia,1989,1A1A1,Oil,,,,,
West Virginia,1989,1A1A2,Coal,,,,,
West Virginia,1989,1A1A2,Natural gas,,,,,
West Virginia,1989,1A1A2,Oil,,,,,
West Virginia,1989,1A1A3,Coal,,,,,
West Virginia,1989,1A1A3,Natural gas,,,,,
West Virginia,1989,1A1A3,Oil,,,,,
West Virginia,1989,1A1B,Coal,,,,,
West Virginia,1989,1A1B,Natural gas,,,,,
West Virginia,1989,1A1B,Oil,,,,,
West Virginia,1989,1A1C,Coal,,,,,
West Virginia,1989,1A1C,Natural gas,,,,,
West Virginia,1989,1A1C,Oil,,,,,
West Virginia,1989,1A2,Coal,,,,,
West Virginia,1989,1A2,Natural gas,,,,,
West Virginia,1989,1A2,Oil,,,,,
West Virginia,1989,1A2A,Coal,,,,,
West Virginia,1989,1A2A,Natural gas,,,,,
West Virginia,1989,1A2A,Oil,,,,,
West Virginia,1989,1A2B,Coal,,,,,
West Virginia,1989,1A2B,Natural gas,,,,,
West Virginia,1989,1A2B,Oil,,,,,
West Virginia,1989,1A2C,Coal,,,,,
West Virginia,1989,1A2C,Natural gas,,,,,
West Virginia,1989,1A2C,Oil,,,,,
West Virginia,1989,1A2D,Coal,,,,,
West Virginia,1989,1A2D,Natural gas,,,,,
West Virginia,1989,1A2D,Oil,,,,,
West Virginia,1989,1A2E,Coal,,,,,
West Virginia,1989,1A2E,Natural gas,,,,,
West Virginia,1989,1A2E,Oil,,,,,
West Virginia,1989,1A2F,Coal,,,,,
West Virginia,1989,1A2F,Natural gas,,,,,
West Virginia,1989,1A2F,Oil,,,,,
West Virginia,1989,1A2G,Coal,,,,,
West Virginia,1989,1A2G,Natural gas,,,,,
West Virginia,1989,1A2G,Oil,,,,,
West Virginia,1989,1A2H,Coal,,,,,
West Virginia,1989,1A2H,Natural gas,,,,,
West Virginia,1989,1A2H,Oil,,,,,
West Virginia,1989,1A2I,Coal,,,,,
West Virginia,1989,1A2I,Natural gas,,,,,
West Virginia,1989,1A2I,Oil,,,,,
West Virginia,1989,1A2J,Coal,,,,,
West Virginia,1989,1A2J,Natural gas,,,,,
West Virginia,1989,1A2J,Oil,,,,,
West Virginia,1989,1A2K,Coal,,,,,
West Virginia,1989,1A2K,Natural gas,,,,,
West Virginia,1989,1A2K,Oil,,,,,
West Virginia,1989,1A2L,Coal,,,,,
West Virginia,1989,1A2L,Natural gas,,,,,
West Virginia,1989,1A2L,Oil,,,,,
West Virginia,1989,1A2M,Coal,,,,,
West Virginia,1989,1A2M,Natural gas,,,,,
West Virginia,1989,1A2M,Oil,,,,,
West Virginia,1989,1A3,Coal,,,,,
West Virginia,1989,1A3,Natural gas,,,,,
West Virginia,1989,1A3,Oil,,,,,
West Virginia,1989,1A3A,Coal,,,,,
West Virginia,1989,1A3A,Natural gas,,,,,
West Virginia,1989,1A3A,Oil,,,,,
West Virginia,1989,1A3A1,Coal,,,,,
West Virginia,1989,1A3A1,Natural gas,,,,,
West Virginia,1989,1A3A1,Oil,,,,,
West Virginia,1989,1A3A2,Coal,,,,,
West Virginia,1989,1A3A2,Natural gas,,,,,
West Virginia,1989,1A3A2,Oil,,,,,
West Virginia,1989,1A3B,Coal,,,,,
West Virginia,1989,1A3B,Natural gas,,,,,
West Virginia,1989,1A3B,Oil,,,,,
West Virginia,1989,1A3C,Coal,,,,,
West Virginia,1989,1A3C,Natural gas,,,,,
West Virginia,1989,1A3C,Oil,,,,,
West Virginia,1989,1A3D,Coal,,,,,
West Virginia,1989,1A3D,Natural gas,,,,,
West Virginia,1989,1A3D,Oil,,,,,
West Virginia,1989,1A3D1,Coal,,,,,
West Virginia,1989,1A3D1,Natural gas,,,,,
West Virginia,1989,1A3D1,Oil,,,,,
West Virginia,1989,1A3D2,Coal,,,,,
West Virginia,1989,1A3D2,Natural gas,,,,,
West Virginia,1989,1A3D2,Oil,,,,,
West Virginia,1989,1A3E,Coal,,,,,
West Virginia,1989,1A3E,Natural gas,,,,,
West Virginia,1989,1A3E,Oil,,,,,
West Virginia,1989,1A3E1,Coal,,,,,
West Virginia,1989,1A3E1,Natural gas,,,,,
West Virginia,1989,1A3E1,Oil,,,,,
West Virginia,1989,1A4,Coal,,,,,
West Virginia,1989,1A4,Natural gas,,,,,
West Virginia,1989,1A4,Oil,,,,,
West Virginia,1989,1A4A,Coal,,,,,
West Virginia,1989,1A4A,Natural gas,,,,,
West Virginia,1989,1A4A,Oil,,,,,
West Virginia,1989,1A4B,Coal,,,,,
West Virginia,1989,1A4B,Natural gas,,,,,
West Virginia,1989,1A4B,Oil,,,,,
West Virginia,1989,1A4C,Coal,,,,,
West Virginia,1989,1A4C,Natural gas,,,,,
West Virginia,1989,1A4C,Oil,,,,,
West Virginia,1989,1A4C1,Coal,,,,,
West Virginia,1989,1A4C1,Natural gas,,,,,
West Virginia,1989,1A4C1,Oil,,,,,
West Virginia,1989,1A4C2,Coal,,,,,
West Virginia,1989,1A4C2,Natural gas,,,,,
West Virginia,1989,1A4C2,Oil,,,,,
West Virginia,1989,1A4C3,Coal,,,,,
West Virginia,1989,1A4C3,Natural gas,,,,,
West Virginia,1989,1A4C3,Oil,,,,,
West Virginia,1989,1A5,Coal,,,,,
West Virginia,1989,1A5,Natural gas,,,,,
West Virginia,1989,1A5,Oil,,,,,
West Virginia,1989,1A5A,Coal,,,,,
West Virginia,1989,1A5A,Natural gas,,,,,
West Virginia,1989,1A5A,Oil,,,,,
West Virginia,1989,1A5B,Coal,,,,,
West Virginia,1989,1A5B,Natural gas,,,,,
West Virginia,1989,1A5B,Oil,,,,,
West Virginia,1989,1A5C,Coal,,,,,
West Virginia,1989,1A5C,Natural gas,,,,,
West Virginia,1989,1A5C,Oil,,,,,
West Virginia,1989,1B,,,,,,
West Virginia,1989,1B1,,,,,,
West Virginia,1989,1B1A,,,,,,
West Virginia,1989,1B1A1,,,,,,
