jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate
Yamaguchi,1989,0,,,,,,
Yamaguchi,1989,1,,,,,,
Yamaguchi,1989,2,,,,,,
Yamaguchi,1989,3,,,,,,
Yamaguchi,1989,4,,,,,,
Yamaguchi,1989,5,,,,,,
Yamaguchi,1989,1A,Coal,,,,,
Yamaguchi,1989,1A,Natural gas,,,,,
Yamaguchi,1989,1A,Oil,,,,,
Yamaguchi,1989,1A1,Coal,,,,,
Yamaguchi,1989,1A1,Natural gas,,,,,
Yamaguchi,1989,1A1,Oil,,,,,
Yamaguchi,1989,1A1A,Coal,,,,,
Yamaguchi,1989,1A1A,Natural gas,,,,,
Yamaguchi,1989,1A1A,Oil,,,,,
Yamaguchi,1989,1A1A1,Coal,,,,,
Yamaguchi,1989,1A1A1,Natural gas,,,,,
Yamaguchi,1989,1A1A1,Oil,,,,,
Yamaguchi,1989,1A1A2,Coal,,,,,
Yamaguchi,1989,1A1A2,Natural gas,,,,,
Yamaguchi,1989,1A1A2,Oil,,,,,
Yamaguchi,1989,1A1A3,Coal,,,,,
Yamaguchi,1989,1A1A3,Natural gas,,,,,
Yamaguchi,1989,1A1A3,Oil,,,,,
Yamaguchi,1989,1A1B,Coal,,,,,
Yamaguchi,1989,1A1B,Natural gas,,,,,
Yamaguchi,1989,1A1B,Oil,,,,,
Yamaguchi,1989,1A1C,Coal,,,,,
Yamaguchi,1989,1A1C,Natural gas,,,,,
Yamaguchi,1989,1A1C,Oil,,,,,
Yamaguchi,1989,1A2,Coal,,,,,
Yamaguchi,1989,1A2,Natural gas,,,,,
Yamaguchi,1989,1A2,Oil,,,,,
Yamaguchi,1989,1A2A,Coal,,,,,
Yamaguchi,1989,1A2A,Natural gas,,,,,
Yamaguchi,1989,1A2A,Oil,,,,,
Yamaguchi,1989,1A2B,Coal,,,,,
Yamaguchi,1989,1A2B,Natural gas,,,,,
Yamaguchi,1989,1A2B,Oil,,,,,
Yamaguchi,1989,1A2C,Coal,,,,,
Yamaguchi,1989,1A2C,Natural gas,,,,,
Yamaguchi,1989,1A2C,Oil,,,,,
Yamaguchi,1989,1A2D,Coal,,,,,
Yamaguchi,1989,1A2D,Natural gas,,,,,
Yamaguchi,1989,1A2D,Oil,,,,,
Yamaguchi,1989,1A2E,Coal,,,,,
Yamaguchi,1989,1A2E,Natural gas,,,,,
Yamaguchi,1989,1A2E,Oil,,,,,
Yamaguchi,1989,1A2F,Coal,,,,,
Yamaguchi,1989,1A2F,Natural gas,,,,,
Yamaguchi,1989,1A2F,Oil,,,,,
Yamaguchi,1989,1A2G,Coal,,,,,
Yamaguchi,1989,1A2G,Natural gas,,,,,
Yamaguchi,1989,1A2G,Oil,,,,,
Yamaguchi,1989,1A2H,Coal,,,,,
Yamaguchi,1989,1A2H,Natural gas,,,,,
Yamaguchi,1989,1A2H,Oil,,,,,
Yamaguchi,1989,1A2I,Coal,,,,,
Yamaguchi,1989,1A2I,Natural gas,,,,,
Yamaguchi,1989,1A2I,Oil,,,,,
Yamaguchi,1989,1A2J,Coal,,,,,
Yamaguchi,1989,1A2J,Natural gas,,,,,
Yamaguchi,1989,1A2J,Oil,,,,,
Yamaguchi,1989,1A2K,Coal,,,,,
Yamaguchi,1989,1A2K,Natural gas,,,,,
Yamaguchi,1989,1A2K,Oil,,,,,
Yamaguchi,1989,1A2L,Coal,,,,,
Yamaguchi,1989,1A2L,Natural gas,,,,,
Yamaguchi,1989,1A2L,Oil,,,,,
Yamaguchi,1989,1A2M,Coal,,,,,
Yamaguchi,1989,1A2M,Natural gas,,,,,
Yamaguchi,1989,1A2M,Oil,,,,,
Yamaguchi,1989,1A3,Coal,,,,,
Yamaguchi,1989,1A3,Natural gas,,,,,
Yamaguchi,1989,1A3,Oil,,,,,
Yamaguchi,1989,1A3A,Coal,,,,,
Yamaguchi,1989,1A3A,Natural gas,,,,,
Yamaguchi,1989,1A3A,Oil,,,,,
Yamaguchi,1989,1A3A1,Coal,,,,,
Yamaguchi,1989,1A3A1,Natural gas,,,,,
Yamaguchi,1989,1A3A1,Oil,,,,,
Yamaguchi,1989,1A3A2,Coal,,,,,
Yamaguchi,1989,1A3A2,Natural gas,,,,,
Yamaguchi,1989,1A3A2,Oil,,,,,
Yamaguchi,1989,1A3B,Coal,,,,,
Yamaguchi,1989,1A3B,Natural gas,,,,,
Yamaguchi,1989,1A3B,Oil,,,,,
Yamaguchi,1989,1A3C,Coal,,,,,
Yamaguchi,1989,1A3C,Natural gas,,,,,
Yamaguchi,1989,1A3C,Oil,,,,,
Yamaguchi,1989,1A3D,Coal,,,,,
Yamaguchi,1989,1A3D,Natural gas,,,,,
Yamaguchi,1989,1A3D,Oil,,,,,
Yamaguchi,1989,1A3D1,Coal,,,,,
Yamaguchi,1989,1A3D1,Natural gas,,,,,
Yamaguchi,1989,1A3D1,Oil,,,,,
Yamaguchi,1989,1A3D2,Coal,,,,,
Yamaguchi,1989,1A3D2,Natural gas,,,,,
Yamaguchi,1989,1A3D2,Oil,,,,,
Yamaguchi,1989,1A3E,Coal,,,,,
Yamaguchi,1989,1A3E,Natural gas,,,,,
Yamaguchi,1989,1A3E,Oil,,,,,
Yamaguchi,1989,1A3E1,Coal,,,,,
Yamaguchi,1989,1A3E1,Natural gas,,,,,
Yamaguchi,1989,1A3E1,Oil,,,,,
Yamaguchi,1989,1A4,Coal,,,,,
Yamaguchi,1989,1A4,Natural gas,,,,,
Yamaguchi,1989,1A4,Oil,,,,,
Yamaguchi,1989,1A4A,Coal,,,,,
Yamaguchi,1989,1A4A,Natural gas,,,,,
Yamaguchi,1989,1A4A,Oil,,,,,
Yamaguchi,1989,1A4B,Coal,,,,,
Yamaguchi,1989,1A4B,Natural gas,,,,,
Yamaguchi,1989,1A4B,Oil,,,,,
Yamaguchi,1989,1A4C,Coal,,,,,
Yamaguchi,1989,1A4C,Natural gas,,,,,
Yamaguchi,1989,1A4C,Oil,,,,,
Yamaguchi,1989,1A4C1,Coal,,,,,
Yamaguchi,1989,1A4C1,Natural gas,,,,,
Yamaguchi,1989,1A4C1,Oil,,,,,
Yamaguchi,1989,1A4C2,Coal,,,,,
Yamaguchi,1989,1A4C2,Natural gas,,,,,
Yamaguchi,1989,1A4C2,Oil,,,,,
Yamaguchi,1989,1A4C3,Coal,,,,,
Yamaguchi,1989,1A4C3,Natural gas,,,,,
Yamaguchi,1989,1A4C3,Oil,,,,,
Yamaguchi,1989,1A5,Coal,,,,,
Yamaguchi,1989,1A5,Natural gas,,,,,
Yamaguchi,1989,1A5,Oil,,,,,
Yamaguchi,1989,1A5A,Coal,,,,,
Yamaguchi,1989,1A5A,Natural gas,,,,,
Yamaguchi,1989,1A5A,Oil,,,,,
Yamaguchi,1989,1A5B,Coal,,,,,
Yamaguchi,1989,1A5B,Natural gas,,,,,
Yamaguchi,1989,1A5B,Oil,,,,,
Yamaguchi,1989,1A5C,Coal,,,,,
Yamaguchi,1989,1A5C,Natural gas,,,,,
Yamaguchi,1989,1A5C,Oil,,,,,
Yamaguchi,1989,1B,,,,,,
Yamaguchi,1989,1B1,,,,,,
Yamaguchi,1989,1B1A,,,,,,
Yamaguchi,1989,1B1A1,,,,,,
Yamaguchi,1989,1B1A11,,,,,,
Yamaguchi,1989,1B1A12,,,,,,
Yamaguchi,1989,1B1A13,,,,,,
Yamaguchi,1989,1B1A14,,,,,,
Yamaguchi,1989,1B1A2,,,,,,
Yamaguchi,1989,1B1A21,,,,,,
Yamaguchi,1989,1B1A22,,,,,,
Yamaguchi,1989,1B1B,,,,,,
Yamaguchi,1989,1B2,,,,,,
Yamaguchi,1989,1B2A,,,,,,
Yamaguchi,1989,1B2A1,,,,,,
Yamaguchi,1989,1B2A2,,,,,,
Yamaguchi,1989,1B2A3,,,,,,
Yamaguchi,1989,1B2A31,,,,,,
Yamaguchi,1989,1B2A32,,,,,,
Yamaguchi,1989,1B2A33,,,,,,
Yamaguchi,1989,1B2A34,,,,,,
Yamaguchi,1989,1B2A35,,,,,,
Yamaguchi,1989,1B2A36,,,,,,
Yamaguchi,1989,1B2B,,,,,,
Yamaguchi,1989,1B2B1,,,,,,
Yamaguchi,1989,1B2B2,,,,,,
Yamaguchi,1989,1B2B3,,,,,,
Yamaguchi,1989,1B2B31,,,,,,
Yamaguchi,1989,1B2B32,,,,,,
Yamaguchi,1989,1B2B33,,,,,,
Yamaguchi,1989,1B2B34,,,,,,
Yamaguchi,1989,1B2B35,,,,,,
Yamaguchi,1989,1B2B36,,,,,,
Yamaguchi,1989,1B3,,,,,,
Yamaguchi,1989,1C,,,,,,
Yamaguchi,1989,1C1,,,,,,
Yamaguchi,1989,1C1A,,,,,,
Yamaguchi,1989,1C1B,,,,,,
Yamaguchi,1989,1C1C,,,,,,
Yamaguchi,1989,1C2,,,,,,
Yamaguchi,1989,1C2A,,,,,,
Yamaguchi,1989,1C2B,,,,,,
Yamaguchi,1989,1C3,,,,,,
Yamaguchi,1989,2A,,,,,,
Yamaguchi,1989,2A1,,,,,,
Yamaguchi,1989,2A2,,,,,,
Yamaguchi,1989,2A3,,,,,,
Yamaguchi,1989,2A4,,,,,,
Yamaguchi,1989,2A4A,,,,,,
Yamaguchi,1989,2A4B,,,,,,
Yamaguchi,1989,2A4C,,,,,,
Yamaguchi,1989,2A4D,,,,,,
Yamaguchi,1989,2B,,,,,,
Yamaguchi,1989,2B1,,,,,,
Yamaguchi,1989,2B10,,,,,,
Yamaguchi,1989,2B2,,,,,,
Yamaguchi,1989,2B3,,,,,,
Yamaguchi,1989,2B4,,,,,,
Yamaguchi,1989,2B5,,,,,,
Yamaguchi,1989,2B6,,,,,,
Yamaguchi,1989,2B7,,,,,,
Yamaguchi,1989,2B8,,,,,,
Yamaguchi,1989,2B8A,,,,,,
Yamaguchi,1989,2B8B,,,,,,
