jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate,tax_2,tax_2_rate_excl_ex_clcu
Armenia,1989,0,,,,,,,,
Armenia,1989,1,,,,,,,,
Armenia,1989,2,,,,,,,,
Armenia,1989,3,,,,,,,,
Armenia,1989,4,,,,,,,,
Armenia,1989,5,,,,,,,,
Armenia,1989,1A,Coal,,,,,,,
Armenia,1989,1A,Natural gas,,,,,,,
Armenia,1989,1A,Oil,,,,,,,
Armenia,1989,1A1,Coal,,,,,,,
Armenia,1989,1A1,Natural gas,,,,,,,
Armenia,1989,1A1,Oil,,,,,,,
Armenia,1989,1A1A,Coal,,,,,,,
Armenia,1989,1A1A,Natural gas,,,,,,,
Armenia,1989,1A1A,Oil,,,,,,,
Armenia,1989,1A1A1,Coal,,,,,,,
Armenia,1989,1A1A1,Natural gas,,,,,,,
Armenia,1989,1A1A1,Oil,,,,,,,
Armenia,1989,1A1A2,Coal,,,,,,,
Armenia,1989,1A1A2,Natural gas,,,,,,,
Armenia,1989,1A1A2,Oil,,,,,,,
Armenia,1989,1A1A3,Coal,,,,,,,
Armenia,1989,1A1A3,Natural gas,,,,,,,
Armenia,1989,1A1A3,Oil,,,,,,,
Armenia,1989,1A1B,Coal,,,,,,,
Armenia,1989,1A1B,Natural gas,,,,,,,
Armenia,1989,1A1B,Oil,,,,,,,
Armenia,1989,1A1C,Coal,,,,,,,
Armenia,1989,1A1C,Natural gas,,,,,,,
Armenia,1989,1A1C,Oil,,,,,,,
Armenia,1989,1A2,Coal,,,,,,,
Armenia,1989,1A2,Natural gas,,,,,,,
Armenia,1989,1A2,Oil,,,,,,,
Armenia,1989,1A2A,Coal,,,,,,,
Armenia,1989,1A2A,Natural gas,,,,,,,
Armenia,1989,1A2A,Oil,,,,,,,
Armenia,1989,1A2B,Coal,,,,,,,
Armenia,1989,1A2B,Natural gas,,,,,,,
Armenia,1989,1A2B,Oil,,,,,,,
Armenia,1989,1A2C,Coal,,,,,,,
Armenia,1989,1A2C,Natural gas,,,,,,,
Armenia,1989,1A2C,Oil,,,,,,,
Armenia,1989,1A2D,Coal,,,,,,,
Armenia,1989,1A2D,Natural gas,,,,,,,
Armenia,1989,1A2D,Oil,,,,,,,
Armenia,1989,1A2E,Coal,,,,,,,
Armenia,1989,1A2E,Natural gas,,,,,,,
Armenia,1989,1A2E,Oil,,,,,,,
Armenia,1989,1A2F,Coal,,,,,,,
Armenia,1989,1A2F,Natural gas,,,,,,,
Armenia,1989,1A2F,Oil,,,,,,,
Armenia,1989,1A2G,Coal,,,,,,,
Armenia,1989,1A2G,Natural gas,,,,,,,
Armenia,1989,1A2G,Oil,,,,,,,
Armenia,1989,1A2H,Coal,,,,,,,
Armenia,1989,1A2H,Natural gas,,,,,,,
Armenia,1989,1A2H,Oil,,,,,,,
Armenia,1989,1A2I,Coal,,,,,,,
Armenia,1989,1A2I,Natural gas,,,,,,,
Armenia,1989,1A2I,Oil,,,,,,,
Armenia,1989,1A2J,Coal,,,,,,,
Armenia,1989,1A2J,Natural gas,,,,,,,
Armenia,1989,1A2J,Oil,,,,,,,
Armenia,1989,1A2K,Coal,,,,,,,
Armenia,1989,1A2K,Natural gas,,,,,,,
Armenia,1989,1A2K,Oil,,,,,,,
Armenia,1989,1A2L,Coal,,,,,,,
Armenia,1989,1A2L,Natural gas,,,,,,,
Armenia,1989,1A2L,Oil,,,,,,,
Armenia,1989,1A2M,Coal,,,,,,,
Armenia,1989,1A2M,Natural gas,,,,,,,
Armenia,1989,1A2M,Oil,,,,,,,
Armenia,1989,1A3,Coal,,,,,,,
Armenia,1989,1A3,Natural gas,,,,,,,
Armenia,1989,1A3,Oil,,,,,,,
Armenia,1989,1A3A,Coal,,,,,,,
Armenia,1989,1A3A,Natural gas,,,,,,,
Armenia,1989,1A3A,Oil,,,,,,,
Armenia,1989,1A3A1,Coal,,,,,,,
Armenia,1989,1A3A1,Natural gas,,,,,,,
Armenia,1989,1A3A1,Oil,,,,,,,
Armenia,1989,1A3A2,Coal,,,,,,,
