jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate,tax_2,tax_2_rate_excl_ex_clcu
Israel,1989,0,,,,,,,,
Israel,1989,1,,,,,,,,
Israel,1989,2,,,,,,,,
Israel,1989,3,,,,,,,,
Israel,1989,4,,,,,,,,
Israel,1989,5,,,,,,,,
Israel,1989,1A,Coal,,,,,,,
Israel,1989,1A,Natural gas,,,,,,,
Israel,1989,1A,Oil,,,,,,,
Israel,1989,1A1,Coal,,,,,,,
Israel,1989,1A1,Natural gas,,,,,,,
Israel,1989,1A1,Oil,,,,,,,
Israel,1989,1A1A,Coal,,,,,,,
Israel,1989,1A1A,Natural gas,,,,,,,
Israel,1989,1A1A,Oil,,,,,,,
Israel,1989,1A1A1,Coal,,,,,,,
Israel,1989,1A1A1,Natural gas,,,,,,,
Israel,1989,1A1A1,Oil,,,,,,,
Israel,1989,1A1A2,Coal,,,,,,,
Israel,1989,1A1A2,Natural gas,,,,,,,
Israel,1989,1A1A2,Oil,,,,,,,
Israel,1989,1A1A3,Coal,,,,,,,
Israel,1989,1A1A3,Natural gas,,,,,,,
Israel,1989,1A1A3,Oil,,,,,,,
Israel,1989,1A1B,Coal,,,,,,,
Israel,1989,1A1B,Natural gas,,,,,,,
Israel,1989,1A1B,Oil,,,,,,,
Israel,1989,1A1C,Coal,,,,,,,
Israel,1989,1A1C,Natural gas,,,,,,,
Israel,1989,1A1C,Oil,,,,,,,
Israel,1989,1A2,Coal,,,,,,,
Israel,1989,1A2,Natural gas,,,,,,,
Israel,1989,1A2,Oil,,,,,,,
Israel,1989,1A2A,Coal,,,,,,,
Israel,1989,1A2A,Natural gas,,,,,,,
Israel,1989,1A2A,Oil,,,,,,,
Israel,1989,1A2B,Coal,,,,,,,
Israel,1989,1A2B,Natural gas,,,,,,,
Israel,1989,1A2B,Oil,,,,,,,
Israel,1989,1A2C,Coal,,,,,,,
Israel,1989,1A2C,Natural gas,,,,,,,
Israel,1989,1A2C,Oil,,,,,,,
Israel,1989,1A2D,Coal,,,,,,,
Israel,1989,1A2D,Natural gas,,,,,,,
Israel,1989,1A2D,Oil,,,,,,,
Israel,1989,1A2E,Coal,,,,,,,
