jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate,tax_2,tax_2_rate_excl_ex_clcu
"Macao SAR, China",1989,0,,,,,,,,
"Macao SAR, China",1989,1,,,,,,,,
"Macao SAR, China",1989,2,,,,,,,,
"Macao SAR, China",1989,3,,,,,,,,
"Macao SAR, China",1989,4,,,,,,,,
"Macao SAR, China",1989,5,,,,,,,,
"Macao SAR, China",1989,1A,Coal,,,,,,,
"Macao SAR, China",1989,1A,Natural gas,,,,,,,
"Macao SAR, China",1989,1A,Oil,,,,,,,
"Macao SAR, China",1989,1A1,Coal,,,,,,,
"Macao SAR, China",1989,1A1,Natural gas,,,,,,,
"Macao SAR, China",1989,1A1,Oil,,,,,,,
"Macao SAR, China",1989,1A1A,Coal,,,,,,,
"Macao SAR, China",1989,1A1A,Natural gas,,,,,,,
"Macao SAR, China",1989,1A1A,Oil,,,,,,,
"Macao SAR, China",1989,1A1A1,Coal,,,,,,,
"Macao SAR, China",1989,1A1A1,Natural gas,,,,,,,
"Macao SAR, China",1989,1A1A1,Oil,,,,,,,
"Macao SAR, China",1989,1A1A2,Coal,,,,,,,
"Macao SAR, China",1989,1A1A2,Natural gas,,,,,,,
"Macao SAR, China",1989,1A1A2,Oil,,,,,,,
"Macao SAR, China",1989,1A1A3,Coal,,,,,,,
"Macao SAR, China",1989,1A1A3,Natural gas,,,,,,,
"Macao SAR, China",1989,1A1A3,Oil,,,,,,,
"Macao SAR, China",1989,1A1B,Coal,,,,,,,
"Macao SAR, China",1989,1A1B,Natural gas,,,,,,,
"Macao SAR, China",1989,1A1B,Oil,,,,,,,
"Macao SAR, China",1989,1A1C,Coal,,,,,,,
"Macao SAR, China",1989,1A1C,Natural gas,,,,,,,
"Macao SAR, China",1989,1A1C,Oil,,,,,,,
"Macao SAR, China",1989,1A2,Coal,,,,,,,
"Macao SAR, China",1989,1A2,Natural gas,,,,,,,
"Macao SAR, China",1989,1A2,Oil,,,,,,,
"Macao SAR, China",1989,1A2A,Coal,,,,,,,
"Macao SAR, China",1989,1A2A,Natural gas,,,,,,,
"Macao SAR, China",1989,1A2A,Oil,,,,,,,
"Macao SAR, China",1989,1A2B,Coal,,,,,,,
"Macao SAR, China",1989,1A2B,Natural gas,,,,,,,
"Macao SAR, China",1989,1A2B,Oil,,,,,,,
"Macao SAR, China",1989,1A2C,Coal,,,,,,,
"Macao SAR, China",1989,1A2C,Natural gas,,,,,,,
"Macao SAR, China",1989,1A2C,Oil,,,,,,,
"Macao SAR, China",1989,1A2D,Coal,,,,,,,
"Macao SAR, China",1989,1A2D,Natural gas,,,,,,,
"Macao SAR, China",1989,1A2D,Oil,,,,,,,
"Macao SAR, China",1989,1A2E,Coal,,,,,,,
"Macao SAR, China",1989,1A2E,Natural gas,,,,,,,
"Macao SAR, China",1989,1A2E,Oil,,,,,,,
"Macao SAR, China",1989,1A2F,Coal,,,,,,,
"Macao SAR, China",1989,1A2F,Natural gas,,,,,,,
"Macao SAR, China",1989,1A2F,Oil,,,,,,,
"Macao SAR, China",1989,1A2G,Coal,,,,,,,
"Macao SAR, China",1989,1A2G,Natural gas,,,,,,,
"Macao SAR, China",1989,1A2G,Oil,,,,,,,
"Macao SAR, China",1989,1A2H,Coal,,,,,,,
"Macao SAR, China",1989,1A2H,Natural gas,,,,,,,
"Macao SAR, China",1989,1A2H,Oil,,,,,,,
"Macao SAR, China",1989,1A2I,Coal,,,,,,,
"Macao SAR, China",1989,1A2I,Natural gas,,,,,,,
"Macao SAR, China",1989,1A2I,Oil,,,,,,,
"Macao SAR, China",1989,1A2J,Coal,,,,,,,
"Macao SAR, China",1989,1A2J,Natural gas,,,,,,,
"Macao SAR, China",1989,1A2J,Oil,,,,,,,
"Macao SAR, China",1989,1A2K,Coal,,,,,,,
"Macao SAR, China",1989,1A2K,Natural gas,,,,,,,
"Macao SAR, China",1989,1A2K,Oil,,,,,,,
"Macao SAR, China",1989,1A2L,Coal,,,,,,,
"Macao SAR, China",1989,1A2L,Natural gas,,,,,,,
"Macao SAR, China",1989,1A2L,Oil,,,,,,,
"Macao SAR, China",1989,1A2M,Coal,,,,,,,
"Macao SAR, China",1989,1A2M,Natural gas,,,,,,,
"Macao SAR, China",1989,1A2M,Oil,,,,,,,
"Macao SAR, China",1989,1A3,Coal,,,,,,,
"Macao SAR, China",1989,1A3,Natural gas,,,,,,,
"Macao SAR, China",1989,1A3,Oil,,,,,,,
"Macao SAR, China",1989,1A3A,Coal,,,,,,,
"Macao SAR, China",1989,1A3A,Natural gas,,,,,,,
"Macao SAR, China",1989,1A3A,Oil,,,,,,,
"Macao SAR, China",1989,1A3A1,Coal,,,,,,,
"Macao SAR, China",1989,1A3A1,Natural gas,,,,,,,
"Macao SAR, China",1989,1A3A1,Oil,,,,,,,
"Macao SAR, China",1989,1A3A2,Coal,,,,,,,
