jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate,tax_2,tax_2_rate_excl_ex_clcu
Mongolia,1989,0,,,,,,,,
Mongolia,1989,1,,,,,,,,
Mongolia,1989,2,,,,,,,,
Mongolia,1989,3,,,,,,,,
Mongolia,1989,4,,,,,,,,
Mongolia,1989,5,,,,,,,,
Mongolia,1989,1A,Coal,,,,,,,
Mongolia,1989,1A,Natural gas,,,,,,,
Mongolia,1989,1A,Oil,,,,,,,
Mongolia,1989,1A1,Coal,,,,,,,
Mongolia,1989,1A1,Natural gas,,,,,,,
Mongolia,1989,1A1,Oil,,,,,,,
Mongolia,1989,1A1A,Coal,,,,,,,
Mongolia,1989,1A1A,Natural gas,,,,,,,
Mongolia,1989,1A1A,Oil,,,,,,,
Mongolia,1989,1A1A1,Coal,,,,,,,
Mongolia,1989,1A1A1,Natural gas,,,,,,,
Mongolia,1989,1A1A1,Oil,,,,,,,
Mongolia,1989,1A1A2,Coal,,,,,,,
Mongolia,1989,1A1A2,Natural gas,,,,,,,
Mongolia,1989,1A1A2,Oil,,,,,,,
Mongolia,1989,1A1A3,Coal,,,,,,,
Mongolia,1989,1A1A3,Natural gas,,,,,,,
Mongolia,1989,1A1A3,Oil,,,,,,,
Mongolia,1989,1A1B,Coal,,,,,,,
Mongolia,1989,1A1B,Natural gas,,,,,,,
Mongolia,1989,1A1B,Oil,,,,,,,
Mongolia,1989,1A1C,Coal,,,,,,,
Mongolia,1989,1A1C,Natural gas,,,,,,,
Mongolia,1989,1A1C,Oil,,,,,,,
Mongolia,1989,1A2,Coal,,,,,,,
Mongolia,1989,1A2,Natural gas,,,,,,,
Mongolia,1989,1A2,Oil,,,,,,,
Mongolia,1989,1A2A,Coal,,,,,,,
Mongolia,1989,1A2A,Natural gas,,,,,,,
Mongolia,1989,1A2A,Oil,,,,,,,
Mongolia,1989,1A2B,Coal,,,,,,,
Mongolia,1989,1A2B,Natural gas,,,,,,,
Mongolia,1989,1A2B,Oil,,,,,,,
Mongolia,1989,1A2C,Coal,,,,,,,
Mongolia,1989,1A2C,Natural gas,,,,,,,
Mongolia,1989,1A2C,Oil,,,,,,,
Mongolia,1989,1A2D,Coal,,,,,,,
Mongolia,1989,1A2D,Natural gas,,,,,,,
Mongolia,1989,1A2D,Oil,,,,,,,
Mongolia,1989,1A2E,Coal,,,,,,,
Mongolia,1989,1A2E,Natural gas,,,,,,,
Mongolia,1989,1A2E,Oil,,,,,,,
Mongolia,1989,1A2F,Coal,,,,,,,
Mongolia,1989,1A2F,Natural gas,,,,,,,
Mongolia,1989,1A2F,Oil,,,,,,,
Mongolia,1989,1A2G,Coal,,,,,,,
Mongolia,1989,1A2G,Natural gas,,,,,,,
Mongolia,1989,1A2G,Oil,,,,,,,
Mongolia,1989,1A2H,Coal,,,,,,,
Mongolia,1989,1A2H,Natural gas,,,,,,,
Mongolia,1989,1A2H,Oil,,,,,,,
Mongolia,1989,1A2I,Coal,,,,,,,
Mongolia,1989,1A2I,Natural gas,,,,,,,
Mongolia,1989,1A2I,Oil,,,,,,,
Mongolia,1989,1A2J,Coal,,,,,,,
Mongolia,1989,1A2J,Natural gas,,,,,,,
Mongolia,1989,1A2J,Oil,,,,,,,
Mongolia,1989,1A2K,Coal,,,,,,,
Mongolia,1989,1A2K,Natural gas,,,,,,,
Mongolia,1989,1A2K,Oil,,,,,,,
Mongolia,1989,1A2L,Coal,,,,,,,
Mongolia,1989,1A2L,Natural gas,,,,,,,
Mongolia,1989,1A2L,Oil,,,,,,,
Mongolia,1989,1A2M,Coal,,,,,,,
Mongolia,1989,1A2M,Natural gas,,,,,,,
Mongolia,1989,1A2M,Oil,,,,,,,
Mongolia,1989,1A3,Coal,,,,,,,
Mongolia,1989,1A3,Natural gas,,,,,,,
Mongolia,1989,1A3,Oil,,,,,,,
Mongolia,1989,1A3A,Coal,,,,,,,
Mongolia,1989,1A3A,Natural gas,,,,,,,
Mongolia,1989,1A3A,Oil,,,,,,,
Mongolia,1989,1A3A1,Coal,,,,,,,
Mongolia,1989,1A3A1,Natural gas,,,,,,,
Mongolia,1989,1A3A1,Oil,,,,,,,
Mongolia,1989,1A3A2,Coal,,,,,,,
Mongolia,1989,1A3A2,Natural gas,,,,,,,
Mongolia,1989,1A3A2,Oil,,,,,,,
Mongolia,1989,1A3B,Coal,,,,,,,
Mongolia,1989,1A3B,Natural gas,,,,,,,
Mongolia,1989,1A3B,Oil,,,,,,,
Mongolia,1989,1A3C,Coal,,,,,,,
Mongolia,1989,1A3C,Natural gas,,,,,,,
Mongolia,1989,1A3C,Oil,,,,,,,
Mongolia,1989,1A3D,Coal,,,,,,,
Mongolia,1989,1A3D,Natural gas,,,,,,,
Mongolia,1989,1A3D,Oil,,,,,,,
Mongolia,1989,1A3D1,Coal,,,,,,,
Mongolia,1989,1A3D1,Natural gas,,,,,,,
Mongolia,1989,1A3D1,Oil,,,,,,,
Mongolia,1989,1A3D2,Coal,,,,,,,
Mongolia,1989,1A3D2,Natural gas,,,,,,,
Mongolia,1989,1A3D2,Oil,,,,,,,
Mongolia,1989,1A3E,Coal,,,,,,,
Mongolia,1989,1A3E,Natural gas,,,,,,,
Mongolia,1989,1A3E,Oil,,,,,,,
Mongolia,1989,1A3E1,Coal,,,,,,,
Mongolia,1989,1A3E1,Natural gas,,,,,,,
Mongolia,1989,1A3E1,Oil,,,,,,,
Mongolia,1989,1A4,Coal,,,,,,,
Mongolia,1989,1A4,Natural gas,,,,,,,
Mongolia,1989,1A4,Oil,,,,,,,
Mongolia,1989,1A4A,Coal,,,,,,,
Mongolia,1989,1A4A,Natural gas,,,,,,,
Mongolia,1989,1A4A,Oil,,,,,,,
Mongolia,1989,1A4B,Coal,,,,,,,
Mongolia,1989,1A4B,Natural gas,,,,,,,
Mongolia,1989,1A4B,Oil,,,,,,,
Mongolia,1989,1A4C,Coal,,,,,,,
Mongolia,1989,1A4C,Natural gas,,,,,,,
Mongolia,1989,1A4C,Oil,,,,,,,
Mongolia,1989,1A4C1,Coal,,,,,,,
Mongolia,1989,1A4C1,Natural gas,,,,,,,
Mongolia,1989,1A4C1,Oil,,,,,,,
Mongolia,1989,1A4C2,Coal,,,,,,,
Mongolia,1989,1A4C2,Natural gas,,,,,,,
Mongolia,1989,1A4C2,Oil,,,,,,,
Mongolia,1989,1A4C3,Coal,,,,,,,
Mongolia,1989,1A4C3,Natural gas,,,,,,,
Mongolia,1989,1A4C3,Oil,,,,,,,
Mongolia,1989,1A5,Coal,,,,,,,
Mongolia,1989,1A5,Natural gas,,,,,,,
Mongolia,1989,1A5,Oil,,,,,,,
Mongolia,1989,1A5A,Coal,,,,,,,
Mongolia,1989,1A5A,Natural gas,,,,,,,
Mongolia,1989,1A5A,Oil,,,,,,,
Mongolia,1989,1A5B,Coal,,,,,,,
Mongolia,1989,1A5B,Natural gas,,,,,,,
Mongolia,1989,1A5B,Oil,,,,,,,
Mongolia,1989,1A5C,Coal,,,,,,,
Mongolia,1989,1A5C,Natural gas,,,,,,,
Mongolia,1989,1A5C,Oil,,,,,,,
Mongolia,1989,1B,,,,,,,,
Mongolia,1989,1B1,,,,,,,,
Mongolia,1989,1B1A,,,,,,,,
Mongolia,1989,1B1A1,,,,,,,,
Mongolia,1989,1B1A11,,,,,,,,
Mongolia,1989,1B1A12,,,,,,,,
Mongolia,1989,1B1A13,,,,,,,,
Mongolia,1989,1B1A14,,,,,,,,
Mongolia,1989,1B1A2,,,,,,,,
Mongolia,1989,1B1A21,,,,,,,,
Mongolia,1989,1B1A22,,,,,,,,
Mongolia,1989,1B1B,,,,,,,,
Mongolia,1989,1B2,,,,,,,,
Mongolia,1989,1B2A,,,,,,,,
Mongolia,1989,1B2A1,,,,,,,,
Mongolia,1989,1B2A2,,,,,,,,
Mongolia,1989,1B2A3,,,,,,,,
Mongolia,1989,1B2A31,,,,,,,,
Mongolia,1989,1B2A32,,,,,,,,
Mongolia,1989,1B2A33,,,,,,,,
Mongolia,1989,1B2A34,,,,,,,,
Mongolia,1989,1B2A35,,,,,,,,
Mongolia,1989,1B2A36,,,,,,,,
Mongolia,1989,1B2B,,,,,,,,
Mongolia,1989,1B2B1,,,,,,,,
Mongolia,1989,1B2B2,,,,,,,,
Mongolia,1989,1B2B3,,,,,,,,
Mongolia,1989,1B2B31,,,,,,,,
Mongolia,1989,1B2B32,,,,,,,,
Mongolia,1989,1B2B33,,,,,,,,
Mongolia,1989,1B2B34,,,,,,,,
Mongolia,1989,1B2B35,,,,,,,,
Mongolia,1989,1B2B36,,,,,,,,
Mongolia,1989,1B3,,,,,,,,
Mongolia,1989,1C,,,,,,,,
Mongolia,1989,1C1,,,,,,,,
Mongolia,1989,1C1A,,,,,,,,
Mongolia,1989,1C1B,,,,,,,,
Mongolia,1989,1C1C,,,,,,,,
Mongolia,1989,1C2,,,,,,,,
Mongolia,1989,1C2A,,,,,,,,
Mongolia,1989,1C2B,,,,,,,,
Mongolia,1989,1C3,,,,,,,,
Mongolia,1989,2A,,,,,,,,
Mongolia,1989,2A1,,,,,,,,
Mongolia,1989,2A2,,,,,,,,
Mongolia,1989,2A3,,,,,,,,
Mongolia,1989,2A4,,,,,,,,
Mongolia,1989,2A4A,,,,,,,,
Mongolia,1989,2A4B,,,,,,,,
Mongolia,1989,2A4C,,,,,,,,
