jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate,tax_2,tax_2_rate_excl_ex_clcu
Oman,1989,0,,,,,,,,
Oman,1989,1,,,,,,,,
Oman,1989,2,,,,,,,,
Oman,1989,3,,,,,,,,
Oman,1989,4,,,,,,,,
Oman,1989,5,,,,,,,,
Oman,1989,1A,Coal,,,,,,,
Oman,1989,1A,Natural gas,,,,,,,
Oman,1989,1A,Oil,,,,,,,
Oman,1989,1A1,Coal,,,,,,,
Oman,1989,1A1,Natural gas,,,,,,,
Oman,1989,1A1,Oil,,,,,,,
Oman,1989,1A1A,Coal,,,,,,,
Oman,1989,1A1A,Natural gas,,,,,,,
Oman,1989,1A1A,Oil,,,,,,,
Oman,1989,1A1A1,Coal,,,,,,,
Oman,1989,1A1A1,Natural gas,,,,,,,
Oman,1989,1A1A1,Oil,,,,,,,
Oman,1989,1A1A2,Coal,,,,,,,
Oman,1989,1A1A2,Natural gas,,,,,,,
Oman,1989,1A1A2,Oil,,,,,,,
Oman,1989,1A1A3,Coal,,,,,,,
Oman,1989,1A1A3,Natural gas,,,,,,,
Oman,1989,1A1A3,Oil,,,,,,,
Oman,1989,1A1B,Coal,,,,,,,
Oman,1989,1A1B,Natural gas,,,,,,,
Oman,1989,1A1B,Oil,,,,,,,
Oman,1989,1A1C,Coal,,,,,,,
Oman,1989,1A1C,Natural gas,,,,,,,
Oman,1989,1A1C,Oil,,,,,,,
Oman,1989,1A2,Coal,,,,,,,
Oman,1989,1A2,Natural gas,,,,,,,
Oman,1989,1A2,Oil,,,,,,,
Oman,1989,1A2A,Coal,,,,,,,
Oman,1989,1A2A,Natural gas,,,,,,,
Oman,1989,1A2A,Oil,,,,,,,
Oman,1989,1A2B,Coal,,,,,,,
Oman,1989,1A2B,Natural gas,,,,,,,
Oman,1989,1A2B,Oil,,,,,,,
Oman,1989,1A2C,Coal,,,,,,,
Oman,1989,1A2C,Natural gas,,,,,,,
Oman,1989,1A2C,Oil,,,,,,,
Oman,1989,1A2D,Coal,,,,,,,
Oman,1989,1A2D,Natural gas,,,,,,,
Oman,1989,1A2D,Oil,,,,,,,
Oman,1989,1A2E,Coal,,,,,,,
Oman,1989,1A2E,Natural gas,,,,,,,
Oman,1989,1A2E,Oil,,,,,,,
Oman,1989,1A2F,Coal,,,,,,,
Oman,1989,1A2F,Natural gas,,,,,,,
Oman,1989,1A2F,Oil,,,,,,,
Oman,1989,1A2G,Coal,,,,,,,
Oman,1989,1A2G,Natural gas,,,,,,,
Oman,1989,1A2G,Oil,,,,,,,
Oman,1989,1A2H,Coal,,,,,,,
Oman,1989,1A2H,Natural gas,,,,,,,
Oman,1989,1A2H,Oil,,,,,,,
Oman,1989,1A2I,Coal,,,,,,,
Oman,1989,1A2I,Natural gas,,,,,,,
Oman,1989,1A2I,Oil,,,,,,,
Oman,1989,1A2J,Coal,,,,,,,
Oman,1989,1A2J,Natural gas,,,,,,,
Oman,1989,1A2J,Oil,,,,,,,
Oman,1989,1A2K,Coal,,,,,,,
Oman,1989,1A2K,Natural gas,,,,,,,
Oman,1989,1A2K,Oil,,,,,,,
Oman,1989,1A2L,Coal,,,,,,,
Oman,1989,1A2L,Natural gas,,,,,,,
Oman,1989,1A2L,Oil,,,,,,,
Oman,1989,1A2M,Coal,,,,,,,
Oman,1989,1A2M,Natural gas,,,,,,,
Oman,1989,1A2M,Oil,,,,,,,
Oman,1989,1A3,Coal,,,,,,,
Oman,1989,1A3,Natural gas,,,,,,,
Oman,1989,1A3,Oil,,,,,,,
Oman,1989,1A3A,Coal,,,,,,,
Oman,1989,1A3A,Natural gas,,,,,,,
Oman,1989,1A3A,Oil,,,,,,,
Oman,1989,1A3A1,Coal,,,,,,,
Oman,1989,1A3A1,Natural gas,,,,,,,
Oman,1989,1A3A1,Oil,,,,,,,
Oman,1989,1A3A2,Coal,,,,,,,
Oman,1989,1A3A2,Natural gas,,,,,,,
Oman,1989,1A3A2,Oil,,,,,,,
Oman,1989,1A3B,Coal,,,,,,,
Oman,1989,1A3B,Natural gas,,,,,,,
Oman,1989,1A3B,Oil,,,,,,,
Oman,1989,1A3C,Coal,,,,,,,
Oman,1989,1A3C,Natural gas,,,,,,,
Oman,1989,1A3C,Oil,,,,,,,
Oman,1989,1A3D,Coal,,,,,,,
Oman,1989,1A3D,Natural gas,,,,,,,
Oman,1989,1A3D,Oil,,,,,,,
Oman,1989,1A3D1,Coal,,,,,,,
