jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate,tax_2,tax_2_rate_excl_ex_clcu
Alberta,1989,0,,,,,,,,
Alberta,1989,1,,,,,,,,
Alberta,1989,2,,,,,,,,
Alberta,1989,3,,,,,,,,
Alberta,1989,4,,,,,,,,
Alberta,1989,5,,,,,,,,
Alberta,1989,1A,Coal,,,,,,,
Alberta,1989,1A,Natural gas,,,,,,,
Alberta,1989,1A,Oil,,,,,,,
Alberta,1989,1A1,Coal,,,,,,,
Alberta,1989,1A1,Natural gas,,,,,,,
Alberta,1989,1A1,Oil,,,,,,,
Alberta,1989,1A1A,Coal,,,,,,,
Alberta,1989,1A1A,Natural gas,,,,,,,
Alberta,1989,1A1A,Oil,,,,,,,
Alberta,1989,1A1A1,Coal,,,,,,,
Alberta,1989,1A1A1,Natural gas,,,,,,,
Alberta,1989,1A1A1,Oil,,,,,,,
Alberta,1989,1A1A2,Coal,,,,,,,
Alberta,1989,1A1A2,Natural gas,,,,,,,
Alberta,1989,1A1A2,Oil,,,,,,,
Alberta,1989,1A1A3,Coal,,,,,,,
Alberta,1989,1A1A3,Natural gas,,,,,,,
Alberta,1989,1A1A3,Oil,,,,,,,
Alberta,1989,1A1B,Coal,,,,,,,
Alberta,1989,1A1B,Natural gas,,,,,,,
Alberta,1989,1A1B,Oil,,,,,,,
Alberta,1989,1A1C,Coal,,,,,,,
Alberta,1989,1A1C,Natural gas,,,,,,,
Alberta,1989,1A1C,Oil,,,,,,,
Alberta,1989,1A2,Coal,,,,,,,
Alberta,1989,1A2,Natural gas,,,,,,,
Alberta,1989,1A2,Oil,,,,,,,
Alberta,1989,1A2A,Coal,,,,,,,
Alberta,1989,1A2A,Natural gas,,,,,,,
Alberta,1989,1A2A,Oil,,,,,,,
Alberta,1989,1A2B,Coal,,,,,,,
Alberta,1989,1A2B,Natural gas,,,,,,,
Alberta,1989,1A2B,Oil,,,,,,,
Alberta,1989,1A2C,Coal,,,,,,,
Alberta,1989,1A2C,Natural gas,,,,,,,
Alberta,1989,1A2C,Oil,,,,,,,
Alberta,1989,1A2D,Coal,,,,,,,
Alberta,1989,1A2D,Natural gas,,,,,,,
Alberta,1989,1A2D,Oil,,,,,,,
Alberta,1989,1A2E,Coal,,,,,,,
Alberta,1989,1A2E,Natural gas,,,,,,,
Alberta,1989,1A2E,Oil,,,,,,,
Alberta,1989,1A2F,Coal,,,,,,,
Alberta,1989,1A2F,Natural gas,,,,,,,
Alberta,1989,1A2F,Oil,,,,,,,
Alberta,1989,1A2G,Coal,,,,,,,
Alberta,1989,1A2G,Natural gas,,,,,,,
Alberta,1989,1A2G,Oil,,,,,,,
Alberta,1989,1A2H,Coal,,,,,,,
Alberta,1989,1A2H,Natural gas,,,,,,,
Alberta,1989,1A2H,Oil,,,,,,,
Alberta,1989,1A2I,Coal,,,,,,,
Alberta,1989,1A2I,Natural gas,,,,,,,
Alberta,1989,1A2I,Oil,,,,,,,
Alberta,1989,1A2J,Coal,,,,,,,
Alberta,1989,1A2J,Natural gas,,,,,,,
Alberta,1989,1A2J,Oil,,,,,,,
Alberta,1989,1A2K,Coal,,,,,,,
Alberta,1989,1A2K,Natural gas,,,,,,,
Alberta,1989,1A2K,Oil,,,,,,,
Alberta,1989,1A2L,Coal,,,,,,,
Alberta,1989,1A2L,Natural gas,,,,,,,
Alberta,1989,1A2L,Oil,,,,,,,
Alberta,1989,1A2M,Coal,,,,,,,
Alberta,1989,1A2M,Natural gas,,,,,,,
Alberta,1989,1A2M,Oil,,,,,,,
Alberta,1989,1A3,Coal,,,,,,,
Alberta,1989,1A3,Natural gas,,,,,,,
Alberta,1989,1A3,Oil,,,,,,,
Alberta,1989,1A3A,Coal,,,,,,,
Alberta,1989,1A3A,Natural gas,,,,,,,
Alberta,1989,1A3A,Oil,,,,,,,
Alberta,1989,1A3A1,Coal,,,,,,,
Alberta,1989,1A3A1,Natural gas,,,,,,,
