jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate,tax_2,tax_2_rate_excl_ex_clcu
Chiapas,1989,0,,,,,,,,
Chiapas,1989,1,,,,,,,,
Chiapas,1989,2,,,,,,,,
Chiapas,1989,3,,,,,,,,
Chiapas,1989,4,,,,,,,,
Chiapas,1989,5,,,,,,,,
Chiapas,1989,1A,Coal,,,,,,,
Chiapas,1989,1A,Natural gas,,,,,,,
Chiapas,1989,1A,Oil,,,,,,,
Chiapas,1989,1A1,Coal,,,,,,,
Chiapas,1989,1A1,Natural gas,,,,,,,
Chiapas,1989,1A1,Oil,,,,,,,
Chiapas,1989,1A1A,Coal,,,,,,,
Chiapas,1989,1A1A,Natural gas,,,,,,,
Chiapas,1989,1A1A,Oil,,,,,,,
Chiapas,1989,1A1A1,Coal,,,,,,,
Chiapas,1989,1A1A1,Natural gas,,,,,,,
Chiapas,1989,1A1A1,Oil,,,,,,,
Chiapas,1989,1A1A2,Coal,,,,,,,
Chiapas,1989,1A1A2,Natural gas,,,,,,,
Chiapas,1989,1A1A2,Oil,,,,,,,
Chiapas,1989,1A1A3,Coal,,,,,,,
Chiapas,1989,1A1A3,Natural gas,,,,,,,
Chiapas,1989,1A1A3,Oil,,,,,,,
Chiapas,1989,1A1B,Coal,,,,,,,
Chiapas,1989,1A1B,Natural gas,,,,,,,
Chiapas,1989,1A1B,Oil,,,,,,,
Chiapas,1989,1A1C,Coal,,,,,,,
Chiapas,1989,1A1C,Natural gas,,,,,,,
Chiapas,1989,1A1C,Oil,,,,,,,
Chiapas,1989,1A2,Coal,,,,,,,
Chiapas,1989,1A2,Natural gas,,,,,,,
Chiapas,1989,1A2,Oil,,,,,,,
Chiapas,1989,1A2A,Coal,,,,,,,
Chiapas,1989,1A2A,Natural gas,,,,,,,
Chiapas,1989,1A2A,Oil,,,,,,,
Chiapas,1989,1A2B,Coal,,,,,,,
Chiapas,1989,1A2B,Natural gas,,,,,,,
Chiapas,1989,1A2B,Oil,,,,,,,
Chiapas,1989,1A2C,Coal,,,,,,,
Chiapas,1989,1A2C,Natural gas,,,,,,,
Chiapas,1989,1A2C,Oil,,,,,,,
Chiapas,1989,1A2D,Coal,,,,,,,
Chiapas,1989,1A2D,Natural gas,,,,,,,
Chiapas,1989,1A2D,Oil,,,,,,,
Chiapas,1989,1A2E,Coal,,,,,,,
Chiapas,1989,1A2E,Natural gas,,,,,,,
Chiapas,1989,1A2E,Oil,,,,,,,
Chiapas,1989,1A2F,Coal,,,,,,,
Chiapas,1989,1A2F,Natural gas,,,,,,,
Chiapas,1989,1A2F,Oil,,,,,,,
Chiapas,1989,1A2G,Coal,,,,,,,
Chiapas,1989,1A2G,Natural gas,,,,,,,
Chiapas,1989,1A2G,Oil,,,,,,,
Chiapas,1989,1A2H,Coal,,,,,,,
Chiapas,1989,1A2H,Natural gas,,,,,,,
Chiapas,1989,1A2H,Oil,,,,,,,
Chiapas,1989,1A2I,Coal,,,,,,,
Chiapas,1989,1A2I,Natural gas,,,,,,,
Chiapas,1989,1A2I,Oil,,,,,,,
Chiapas,1989,1A2J,Coal,,,,,,,
Chiapas,1989,1A2J,Natural gas,,,,,,,
Chiapas,1989,1A2J,Oil,,,,,,,
Chiapas,1989,1A2K,Coal,,,,,,,
Chiapas,1989,1A2K,Natural gas,,,,,,,
Chiapas,1989,1A2K,Oil,,,,,,,
Chiapas,1989,1A2L,Coal,,,,,,,
Chiapas,1989,1A2L,Natural gas,,,,,,,
Chiapas,1989,1A2L,Oil,,,,,,,
Chiapas,1989,1A2M,Coal,,,,,,,
Chiapas,1989,1A2M,Natural gas,,,,,,,
Chiapas,1989,1A2M,Oil,,,,,,,
Chiapas,1989,1A3,Coal,,,,,,,
Chiapas,1989,1A3,Natural gas,,,,,,,
Chiapas,1989,1A3,Oil,,,,,,,
Chiapas,1989,1A3A,Coal,,,,,,,
Chiapas,1989,1A3A,Natural gas,,,,,,,
Chiapas,1989,1A3A,Oil,,,,,,,
Chiapas,1989,1A3A1,Coal,,,,,,,
Chiapas,1989,1A3A1,Natural gas,,,,,,,
Chiapas,1989,1A3A1,Oil,,,,,,,
Chiapas,1989,1A3A2,Coal,,,,,,,
Chiapas,1989,1A3A2,Natural gas,,,,,,,
Chiapas,1989,1A3A2,Oil,,,,,,,
Chiapas,1989,1A3B,Coal,,,,,,,
Chiapas,1989,1A3B,Natural gas,,,,,,,
Chiapas,1989,1A3B,Oil,,,,,,,
Chiapas,1989,1A3C,Coal,,,,,,,
Chiapas,1989,1A3C,Natural gas,,,,,,,
Chiapas,1989,1A3C,Oil,,,,,,,
Chiapas,1989,1A3D,Coal,,,,,,,
Chiapas,1989,1A3D,Natural gas,,,,,,,
Chiapas,1989,1A3D,Oil,,,,,,,
Chiapas,1989,1A3D1,Coal,,,,,,,
Chiapas,1989,1A3D1,Natural gas,,,,,,,
Chiapas,1989,1A3D1,Oil,,,,,,,
Chiapas,1989,1A3D2,Coal,,,,,,,
Chiapas,1989,1A3D2,Natural gas,,,,,,,
Chiapas,1989,1A3D2,Oil,,,,,,,
Chiapas,1989,1A3E,Coal,,,,,,,
Chiapas,1989,1A3E,Natural gas,,,,,,,
Chiapas,1989,1A3E,Oil,,,,,,,
Chiapas,1989,1A3E1,Coal,,,,,,,
Chiapas,1989,1A3E1,Natural gas,,,,,,,
Chiapas,1989,1A3E1,Oil,,,,,,,
Chiapas,1989,1A4,Coal,,,,,,,
Chiapas,1989,1A4,Natural gas,,,,,,,
Chiapas,1989,1A4,Oil,,,,,,,
Chiapas,1989,1A4A,Coal,,,,,,,
Chiapas,1989,1A4A,Natural gas,,,,,,,
Chiapas,1989,1A4A,Oil,,,,,,,
Chiapas,1989,1A4B,Coal,,,,,,,
Chiapas,1989,1A4B,Natural gas,,,,,,,
Chiapas,1989,1A4B,Oil,,,,,,,
Chiapas,1989,1A4C,Coal,,,,,,,
Chiapas,1989,1A4C,Natural gas,,,,,,,
Chiapas,1989,1A4C,Oil,,,,,,,
Chiapas,1989,1A4C1,Coal,,,,,,,
