jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate,tax_2,tax_2_rate_excl_ex_clcu
Fukushima,1989,0,,,,,,,,
Fukushima,1989,1,,,,,,,,
Fukushima,1989,2,,,,,,,,
Fukushima,1989,3,,,,,,,,
Fukushima,1989,4,,,,,,,,
Fukushima,1989,5,,,,,,,,
Fukushima,1989,1A,Coal,,,,,,,
Fukushima,1989,1A,Natural gas,,,,,,,
Fukushima,1989,1A,Oil,,,,,,,
Fukushima,1989,1A1,Coal,,,,,,,
Fukushima,1989,1A1,Natural gas,,,,,,,
Fukushima,1989,1A1,Oil,,,,,,,
Fukushima,1989,1A1A,Coal,,,,,,,
Fukushima,1989,1A1A,Natural gas,,,,,,,
Fukushima,1989,1A1A,Oil,,,,,,,
Fukushima,1989,1A1A1,Coal,,,,,,,
Fukushima,1989,1A1A1,Natural gas,,,,,,,
Fukushima,1989,1A1A1,Oil,,,,,,,
Fukushima,1989,1A1A2,Coal,,,,,,,
Fukushima,1989,1A1A2,Natural gas,,,,,,,
Fukushima,1989,1A1A2,Oil,,,,,,,
Fukushima,1989,1A1A3,Coal,,,,,,,
Fukushima,1989,1A1A3,Natural gas,,,,,,,
Fukushima,1989,1A1A3,Oil,,,,,,,
Fukushima,1989,1A1B,Coal,,,,,,,
Fukushima,1989,1A1B,Natural gas,,,,,,,
Fukushima,1989,1A1B,Oil,,,,,,,
Fukushima,1989,1A1C,Coal,,,,,,,
Fukushima,1989,1A1C,Natural gas,,,,,,,
Fukushima,1989,1A1C,Oil,,,,,,,
Fukushima,1989,1A2,Coal,,,,,,,
Fukushima,1989,1A2,Natural gas,,,,,,,
Fukushima,1989,1A2,Oil,,,,,,,
Fukushima,1989,1A2A,Coal,,,,,,,
Fukushima,1989,1A2A,Natural gas,,,,,,,
Fukushima,1989,1A2A,Oil,,,,,,,
Fukushima,1989,1A2B,Coal,,,,,,,
Fukushima,1989,1A2B,Natural gas,,,,,,,
Fukushima,1989,1A2B,Oil,,,,,,,
Fukushima,1989,1A2C,Coal,,,,,,,
Fukushima,1989,1A2C,Natural gas,,,,,,,
Fukushima,1989,1A2C,Oil,,,,,,,
Fukushima,1989,1A2D,Coal,,,,,,,
Fukushima,1989,1A2D,Natural gas,,,,,,,
Fukushima,1989,1A2D,Oil,,,,,,,
Fukushima,1989,1A2E,Coal,,,,,,,
Fukushima,1989,1A2E,Natural gas,,,,,,,
Fukushima,1989,1A2E,Oil,,,,,,,
Fukushima,1989,1A2F,Coal,,,,,,,
Fukushima,1989,1A2F,Natural gas,,,,,,,
Fukushima,1989,1A2F,Oil,,,,,,,
Fukushima,1989,1A2G,Coal,,,,,,,
Fukushima,1989,1A2G,Natural gas,,,,,,,
Fukushima,1989,1A2G,Oil,,,,,,,
Fukushima,1989,1A2H,Coal,,,,,,,
Fukushima,1989,1A2H,Natural gas,,,,,,,
Fukushima,1989,1A2H,Oil,,,,,,,
Fukushima,1989,1A2I,Coal,,,,,,,
Fukushima,1989,1A2I,Natural gas,,,,,,,
Fukushima,1989,1A2I,Oil,,,,,,,
Fukushima,1989,1A2J,Coal,,,,,,,
Fukushima,1989,1A2J,Natural gas,,,,,,,
Fukushima,1989,1A2J,Oil,,,,,,,
Fukushima,1989,1A2K,Coal,,,,,,,
Fukushima,1989,1A2K,Natural gas,,,,,,,
Fukushima,1989,1A2K,Oil,,,,,,,
Fukushima,1989,1A2L,Coal,,,,,,,
Fukushima,1989,1A2L,Natural gas,,,,,,,
Fukushima,1989,1A2L,Oil,,,,,,,
Fukushima,1989,1A2M,Coal,,,,,,,
Fukushima,1989,1A2M,Natural gas,,,,,,,
Fukushima,1989,1A2M,Oil,,,,,,,
Fukushima,1989,1A3,Coal,,,,,,,
Fukushima,1989,1A3,Natural gas,,,,,,,
Fukushima,1989,1A3,Oil,,,,,,,
Fukushima,1989,1A3A,Coal,,,,,,,
Fukushima,1989,1A3A,Natural gas,,,,,,,
Fukushima,1989,1A3A,Oil,,,,,,,
Fukushima,1989,1A3A1,Coal,,,,,,,
Fukushima,1989,1A3A1,Natural gas,,,,,,,
Fukushima,1989,1A3A1,Oil,,,,,,,
Fukushima,1989,1A3A2,Coal,,,,,,,
Fukushima,1989,1A3A2,Natural gas,,,,,,,
Fukushima,1989,1A3A2,Oil,,,,,,,
Fukushima,1989,1A3B,Coal,,,,,,,
Fukushima,1989,1A3B,Natural gas,,,,,,,
Fukushima,1989,1A3B,Oil,,,,,,,
Fukushima,1989,1A3C,Coal,,,,,,,
Fukushima,1989,1A3C,Natural gas,,,,,,,
Fukushima,1989,1A3C,Oil,,,,,,,
Fukushima,1989,1A3D,Coal,,,,,,,
Fukushima,1989,1A3D,Natural gas,,,,,,,
Fukushima,1989,1A3D,Oil,,,,,,,
Fukushima,1989,1A3D1,Coal,,,,,,,
Fukushima,1989,1A3D1,Natural gas,,,,,,,
Fukushima,1989,1A3D1,Oil,,,,,,,
Fukushima,1989,1A3D2,Coal,,,,,,,
Fukushima,1989,1A3D2,Natural gas,,,,,,,
Fukushima,1989,1A3D2,Oil,,,,,,,
Fukushima,1989,1A3E,Coal,,,,,,,
Fukushima,1989,1A3E,Natural gas,,,,,,,
Fukushima,1989,1A3E,Oil,,,,,,,
Fukushima,1989,1A3E1,Coal,,,,,,,
Fukushima,1989,1A3E1,Natural gas,,,,,,,
Fukushima,1989,1A3E1,Oil,,,,,,,
Fukushima,1989,1A4,Coal,,,,,,,
Fukushima,1989,1A4,Natural gas,,,,,,,
Fukushima,1989,1A4,Oil,,,,,,,
Fukushima,1989,1A4A,Coal,,,,,,,
