jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate,tax_2,tax_2_rate_excl_ex_clcu
Hong Kong Special Administrative Region,1989,0,,,,,,,,
Hong Kong Special Administrative Region,1989,1,,,,,,,,
Hong Kong Special Administrative Region,1989,2,,,,,,,,
Hong Kong Special Administrative Region,1989,3,,,,,,,,
Hong Kong Special Administrative Region,1989,4,,,,,,,,
Hong Kong Special Administrative Region,1989,5,,,,,,,,
Hong Kong Special Administrative Region,1989,1A,Coal,,,,,,,
Hong Kong Special Administrative Region,1989,1A,Natural gas,,,,,,,
Hong Kong Special Administrative Region,1989,1A,Oil,,,,,,,
Hong Kong Special Administrative Region,1989,1A1,Coal,,,,,,,
Hong Kong Special Administrative Region,1989,1A1,Natural gas,,,,,,,
Hong Kong Special Administrative Region,1989,1A1,Oil,,,,,,,
Hong Kong Special Administrative Region,1989,1A1A,Coal,,,,,,,
Hong Kong Special Administrative Region,1989,1A1A,Natural gas,,,,,,,
Hong Kong Special Administrative Region,1989,1A1A,Oil,,,,,,,
Hong Kong Special Administrative Region,1989,1A1A1,Coal,,,,,,,
Hong Kong Special Administrative Region,1989,1A1A1,Natural gas,,,,,,,
Hong Kong Special Administrative Region,1989,1A1A1,Oil,,,,,,,
Hong Kong Special Administrative Region,1989,1A1A2,Coal,,,,,,,
Hong Kong Special Administrative Region,1989,1A1A2,Natural gas,,,,,,,
Hong Kong Special Administrative Region,1989,1A1A2,Oil,,,,,,,
Hong Kong Special Administrative Region,1989,1A1A3,Coal,,,,,,,
Hong Kong Special Administrative Region,1989,1A1A3,Natural gas,,,,,,,
Hong Kong Special Administrative Region,1989,1A1A3,Oil,,,,,,,
Hong Kong Special Administrative Region,1989,1A1B,Coal,,,,,,,
Hong Kong Special Administrative Region,1989,1A1B,Natural gas,,,,,,,
Hong Kong Special Administrative Region,1989,1A1B,Oil,,,,,,,
Hong Kong Special Administrative Region,1989,1A1C,Coal,,,,,,,
Hong Kong Special Administrative Region,1989,1A1C,Natural gas,,,,,,,
Hong Kong Special Administrative Region,1989,1A1C,Oil,,,,,,,
Hong Kong Special Administrative Region,1989,1A2,Coal,,,,,,,
Hong Kong Special Administrative Region,1989,1A2,Natural gas,,,,,,,
Hong Kong Special Administrative Region,1989,1A2,Oil,,,,,,,
Hong Kong Special Administrative Region,1989,1A2A,Coal,,,,,,,
Hong Kong Special Administrative Region,1989,1A2A,Natural gas,,,,,,,
Hong Kong Special Administrative Region,1989,1A2A,Oil,,,,,,,
Hong Kong Special Administrative Region,1989,1A2B,Coal,,,,,,,
Hong Kong Special Administrative Region,1989,1A2B,Natural gas,,,,,,,
Hong Kong Special Administrative Region,1989,1A2B,Oil,,,,,,,
Hong Kong Special Administrative Region,1989,1A2C,Coal,,,,,,,
Hong Kong Special Administrative Region,1989,1A2C,Natural gas,,,,,,,
Hong Kong Special Administrative Region,1989,1A2C,Oil,,,,,,,
Hong Kong Special Administrative Region,1989,1A2D,Coal,,,,,,,
Hong Kong Special Administrative Region,1989,1A2D,Natural gas,,,,,,,
Hong Kong Special Administrative Region,1989,1A2D,Oil,,,,,,,
Hong Kong Special Administrative Region,1989,1A2E,Coal,,,,,,,
Hong Kong Special Administrative Region,1989,1A2E,Natural gas,,,,,,,
Hong Kong Special Administrative Region,1989,1A2E,Oil,,,,,,,
Hong Kong Special Administrative Region,1989,1A2F,Coal,,,,,,,
Hong Kong Special Administrative Region,1989,1A2F,Natural gas,,,,,,,
Hong Kong Special Administrative Region,1989,1A2F,Oil,,,,,,,
Hong Kong Special Administrative Region,1989,1A2G,Coal,,,,,,,
Hong Kong Special Administrative Region,1989,1A2G,Natural gas,,,,,,,
Hong Kong Special Administrative Region,1989,1A2G,Oil,,,,,,,
Hong Kong Special Administrative Region,1989,1A2H,Coal,,,,,,,
Hong Kong Special Administrative Region,1989,1A2H,Natural gas,,,,,,,
Hong Kong Special Administrative Region,1989,1A2H,Oil,,,,,,,
Hong Kong Special Administrative Region,1989,1A2I,Coal,,,,,,,
Hong Kong Special Administrative Region,1989,1A2I,Natural gas,,,,,,,
Hong Kong Special Administrative Region,1989,1A2I,Oil,,,,,,,
Hong Kong Special Administrative Region,1989,1A2J,Coal,,,,,,,
Hong Kong Special Administrative Region,1989,1A2J,Natural gas,,,,,,,
Hong Kong Special Administrative Region,1989,1A2J,Oil,,,,,,,
Hong Kong Special Administrative Region,1989,1A2K,Coal,,,,,,,
Hong Kong Special Administrative Region,1989,1A2K,Natural gas,,,,,,,
Hong Kong Special Administrative Region,1989,1A2K,Oil,,,,,,,
