jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate,tax_2,tax_2_rate_excl_ex_clcu
Iwate,1989,0,,,,,,,,
Iwate,1989,1,,,,,,,,
Iwate,1989,2,,,,,,,,
Iwate,1989,3,,,,,,,,
Iwate,1989,4,,,,,,,,
Iwate,1989,5,,,,,,,,
Iwate,1989,1A,Coal,,,,,,,
Iwate,1989,1A,Natural gas,,,,,,,
Iwate,1989,1A,Oil,,,,,,,
Iwate,1989,1A1,Coal,,,,,,,
Iwate,1989,1A1,Natural gas,,,,,,,
Iwate,1989,1A1,Oil,,,,,,,
Iwate,1989,1A1A,Coal,,,,,,,
Iwate,1989,1A1A,Natural gas,,,,,,,
Iwate,1989,1A1A,Oil,,,,,,,
Iwate,1989,1A1A1,Coal,,,,,,,
Iwate,1989,1A1A1,Natural gas,,,,,,,
Iwate,1989,1A1A1,Oil,,,,,,,
Iwate,1989,1A1A2,Coal,,,,,,,
Iwate,1989,1A1A2,Natural gas,,,,,,,
Iwate,1989,1A1A2,Oil,,,,,,,
Iwate,1989,1A1A3,Coal,,,,,,,
Iwate,1989,1A1A3,Natural gas,,,,,,,
Iwate,1989,1A1A3,Oil,,,,,,,
Iwate,1989,1A1B,Coal,,,,,,,
Iwate,1989,1A1B,Natural gas,,,,,,,
Iwate,1989,1A1B,Oil,,,,,,,
Iwate,1989,1A1C,Coal,,,,,,,
Iwate,1989,1A1C,Natural gas,,,,,,,
Iwate,1989,1A1C,Oil,,,,,,,
Iwate,1989,1A2,Coal,,,,,,,
Iwate,1989,1A2,Natural gas,,,,,,,
Iwate,1989,1A2,Oil,,,,,,,
Iwate,1989,1A2A,Coal,,,,,,,
Iwate,1989,1A2A,Natural gas,,,,,,,
Iwate,1989,1A2A,Oil,,,,,,,
Iwate,1989,1A2B,Coal,,,,,,,
Iwate,1989,1A2B,Natural gas,,,,,,,
Iwate,1989,1A2B,Oil,,,,,,,
Iwate,1989,1A2C,Coal,,,,,,,
Iwate,1989,1A2C,Natural gas,,,,,,,
Iwate,1989,1A2C,Oil,,,,,,,
Iwate,1989,1A2D,Coal,,,,,,,
Iwate,1989,1A2D,Natural gas,,,,,,,
Iwate,1989,1A2D,Oil,,,,,,,
Iwate,1989,1A2E,Coal,,,,,,,
Iwate,1989,1A2E,Natural gas,,,,,,,
Iwate,1989,1A2E,Oil,,,,,,,
Iwate,1989,1A2F,Coal,,,,,,,
Iwate,1989,1A2F,Natural gas,,,,,,,
Iwate,1989,1A2F,Oil,,,,,,,
Iwate,1989,1A2G,Coal,,,,,,,
Iwate,1989,1A2G,Natural gas,,,,,,,
Iwate,1989,1A2G,Oil,,,,,,,
Iwate,1989,1A2H,Coal,,,,,,,
Iwate,1989,1A2H,Natural gas,,,,,,,
Iwate,1989,1A2H,Oil,,,,,,,
Iwate,1989,1A2I,Coal,,,,,,,
Iwate,1989,1A2I,Natural gas,,,,,,,
Iwate,1989,1A2I,Oil,,,,,,,
Iwate,1989,1A2J,Coal,,,,,,,
Iwate,1989,1A2J,Natural gas,,,,,,,
Iwate,1989,1A2J,Oil,,,,,,,
Iwate,1989,1A2K,Coal,,,,,,,
Iwate,1989,1A2K,Natural gas,,,,,,,
Iwate,1989,1A2K,Oil,,,,,,,
Iwate,1989,1A2L,Coal,,,,,,,
Iwate,1989,1A2L,Natural gas,,,,,,,
Iwate,1989,1A2L,Oil,,,,,,,
Iwate,1989,1A2M,Coal,,,,,,,
Iwate,1989,1A2M,Natural gas,,,,,,,
Iwate,1989,1A2M,Oil,,,,,,,
Iwate,1989,1A3,Coal,,,,,,,
Iwate,1989,1A3,Natural gas,,,,,,,
Iwate,1989,1A3,Oil,,,,,,,
Iwate,1989,1A3A,Coal,,,,,,,
Iwate,1989,1A3A,Natural gas,,,,,,,
Iwate,1989,1A3A,Oil,,,,,,,
Iwate,1989,1A3A1,Coal,,,,,,,
Iwate,1989,1A3A1,Natural gas,,,,,,,
Iwate,1989,1A3A1,Oil,,,,,,,
Iwate,1989,1A3A2,Coal,,,,,,,
Iwate,1989,1A3A2,Natural gas,,,,,,,
Iwate,1989,1A3A2,Oil,,,,,,,
Iwate,1989,1A3B,Coal,,,,,,,
Iwate,1989,1A3B,Natural gas,,,,,,,
Iwate,1989,1A3B,Oil,,,,,,,
Iwate,1989,1A3C,Coal,,,,,,,
Iwate,1989,1A3C,Natural gas,,,,,,,
Iwate,1989,1A3C,Oil,,,,,,,
Iwate,1989,1A3D,Coal,,,,,,,
Iwate,1989,1A3D,Natural gas,,,,,,,
Iwate,1989,1A3D,Oil,,,,,,,
Iwate,1989,1A3D1,Coal,,,,,,,
Iwate,1989,1A3D1,Natural gas,,,,,,,
Iwate,1989,1A3D1,Oil,,,,,,,
Iwate,1989,1A3D2,Coal,,,,,,,
Iwate,1989,1A3D2,Natural gas,,,,,,,
Iwate,1989,1A3D2,Oil,,,,,,,
Iwate,1989,1A3E,Coal,,,,,,,
Iwate,1989,1A3E,Natural gas,,,,,,,
Iwate,1989,1A3E,Oil,,,,,,,
Iwate,1989,1A3E1,Coal,,,,,,,
Iwate,1989,1A3E1,Natural gas,,,,,,,
