jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate,tax_2,tax_2_rate_excl_ex_clcu
Kagawa,1989,0,,,,,,,,
Kagawa,1989,1,,,,,,,,
Kagawa,1989,2,,,,,,,,
Kagawa,1989,3,,,,,,,,
Kagawa,1989,4,,,,,,,,
Kagawa,1989,5,,,,,,,,
Kagawa,1989,1A,Coal,,,,,,,
Kagawa,1989,1A,Natural gas,,,,,,,
Kagawa,1989,1A,Oil,,,,,,,
Kagawa,1989,1A1,Coal,,,,,,,
Kagawa,1989,1A1,Natural gas,,,,,,,
Kagawa,1989,1A1,Oil,,,,,,,
Kagawa,1989,1A1A,Coal,,,,,,,
Kagawa,1989,1A1A,Natural gas,,,,,,,
Kagawa,1989,1A1A,Oil,,,,,,,
Kagawa,1989,1A1A1,Coal,,,,,,,
Kagawa,1989,1A1A1,Natural gas,,,,,,,
Kagawa,1989,1A1A1,Oil,,,,,,,
Kagawa,1989,1A1A2,Coal,,,,,,,
Kagawa,1989,1A1A2,Natural gas,,,,,,,
Kagawa,1989,1A1A2,Oil,,,,,,,
Kagawa,1989,1A1A3,Coal,,,,,,,
Kagawa,1989,1A1A3,Natural gas,,,,,,,
Kagawa,1989,1A1A3,Oil,,,,,,,
Kagawa,1989,1A1B,Coal,,,,,,,
Kagawa,1989,1A1B,Natural gas,,,,,,,
Kagawa,1989,1A1B,Oil,,,,,,,
Kagawa,1989,1A1C,Coal,,,,,,,
Kagawa,1989,1A1C,Natural gas,,,,,,,
Kagawa,1989,1A1C,Oil,,,,,,,
Kagawa,1989,1A2,Coal,,,,,,,
Kagawa,1989,1A2,Natural gas,,,,,,,
Kagawa,1989,1A2,Oil,,,,,,,
Kagawa,1989,1A2A,Coal,,,,,,,
Kagawa,1989,1A2A,Natural gas,,,,,,,
Kagawa,1989,1A2A,Oil,,,,,,,
Kagawa,1989,1A2B,Coal,,,,,,,
Kagawa,1989,1A2B,Natural gas,,,,,,,
Kagawa,1989,1A2B,Oil,,,,,,,
Kagawa,1989,1A2C,Coal,,,,,,,
Kagawa,1989,1A2C,Natural gas,,,,,,,
Kagawa,1989,1A2C,Oil,,,,,,,
Kagawa,1989,1A2D,Coal,,,,,,,
Kagawa,1989,1A2D,Natural gas,,,,,,,
Kagawa,1989,1A2D,Oil,,,,,,,
Kagawa,1989,1A2E,Coal,,,,,,,
Kagawa,1989,1A2E,Natural gas,,,,,,,
Kagawa,1989,1A2E,Oil,,,,,,,
Kagawa,1989,1A2F,Coal,,,,,,,
Kagawa,1989,1A2F,Natural gas,,,,,,,
Kagawa,1989,1A2F,Oil,,,,,,,
Kagawa,1989,1A2G,Coal,,,,,,,
Kagawa,1989,1A2G,Natural gas,,,,,,,
Kagawa,1989,1A2G,Oil,,,,,,,
Kagawa,1989,1A2H,Coal,,,,,,,
Kagawa,1989,1A2H,Natural gas,,,,,,,
Kagawa,1989,1A2H,Oil,,,,,,,
Kagawa,1989,1A2I,Coal,,,,,,,
Kagawa,1989,1A2I,Natural gas,,,,,,,
Kagawa,1989,1A2I,Oil,,,,,,,
Kagawa,1989,1A2J,Coal,,,,,,,
Kagawa,1989,1A2J,Natural gas,,,,,,,
Kagawa,1989,1A2J,Oil,,,,,,,
Kagawa,1989,1A2K,Coal,,,,,,,
Kagawa,1989,1A2K,Natural gas,,,,,,,
Kagawa,1989,1A2K,Oil,,,,,,,
Kagawa,1989,1A2L,Coal,,,,,,,
Kagawa,1989,1A2L,Natural gas,,,,,,,
Kagawa,1989,1A2L,Oil,,,,,,,
Kagawa,1989,1A2M,Coal,,,,,,,
Kagawa,1989,1A2M,Natural gas,,,,,,,
Kagawa,1989,1A2M,Oil,,,,,,,
Kagawa,1989,1A3,Coal,,,,,,,
