jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate,tax_2,tax_2_rate_excl_ex_clcu
Liaoning Province,1989,0,,,,,,,,
Liaoning Province,1989,1,,,,,,,,
Liaoning Province,1989,2,,,,,,,,
Liaoning Province,1989,3,,,,,,,,
Liaoning Province,1989,4,,,,,,,,
Liaoning Province,1989,5,,,,,,,,
Liaoning Province,1989,1A,Coal,,,,,,,
Liaoning Province,1989,1A,Natural gas,,,,,,,
Liaoning Province,1989,1A,Oil,,,,,,,
Liaoning Province,1989,1A1,Coal,,,,,,,
Liaoning Province,1989,1A1,Natural gas,,,,,,,
Liaoning Province,1989,1A1,Oil,,,,,,,
Liaoning Province,1989,1A1A,Coal,,,,,,,
Liaoning Province,1989,1A1A,Natural gas,,,,,,,
Liaoning Province,1989,1A1A,Oil,,,,,,,
Liaoning Province,1989,1A1A1,Coal,,,,,,,
Liaoning Province,1989,1A1A1,Natural gas,,,,,,,
Liaoning Province,1989,1A1A1,Oil,,,,,,,
Liaoning Province,1989,1A1A2,Coal,,,,,,,
Liaoning Province,1989,1A1A2,Natural gas,,,,,,,
Liaoning Province,1989,1A1A2,Oil,,,,,,,
Liaoning Province,1989,1A1A3,Coal,,,,,,,
Liaoning Province,1989,1A1A3,Natural gas,,,,,,,
Liaoning Province,1989,1A1A3,Oil,,,,,,,
Liaoning Province,1989,1A1B,Coal,,,,,,,
Liaoning Province,1989,1A1B,Natural gas,,,,,,,
Liaoning Province,1989,1A1B,Oil,,,,,,,
Liaoning Province,1989,1A1C,Coal,,,,,,,
Liaoning Province,1989,1A1C,Natural gas,,,,,,,
Liaoning Province,1989,1A1C,Oil,,,,,,,
Liaoning Province,1989,1A2,Coal,,,,,,,
Liaoning Province,1989,1A2,Natural gas,,,,,,,
Liaoning Province,1989,1A2,Oil,,,,,,,
Liaoning Province,1989,1A2A,Coal,,,,,,,
Liaoning Province,1989,1A2A,Natural gas,,,,,,,
Liaoning Province,1989,1A2A,Oil,,,,,,,
Liaoning Province,1989,1A2B,Coal,,,,,,,
Liaoning Province,1989,1A2B,Natural gas,,,,,,,
Liaoning Province,1989,1A2B,Oil,,,,,,,
Liaoning Province,1989,1A2C,Coal,,,,,,,
Liaoning Province,1989,1A2C,Natural gas,,,,,,,
Liaoning Province,1989,1A2C,Oil,,,,,,,
Liaoning Province,1989,1A2D,Coal,,,,,,,
Liaoning Province,1989,1A2D,Natural gas,,,,,,,
Liaoning Province,1989,1A2D,Oil,,,,,,,
Liaoning Province,1989,1A2E,Coal,,,,,,,
Liaoning Province,1989,1A2E,Natural gas,,,,,,,
Liaoning Province,1989,1A2E,Oil,,,,,,,
Liaoning Province,1989,1A2F,Coal,,,,,,,
Liaoning Province,1989,1A2F,Natural gas,,,,,,,
Liaoning Province,1989,1A2F,Oil,,,,,,,
Liaoning Province,1989,1A2G,Coal,,,,,,,
Liaoning Province,1989,1A2G,Natural gas,,,,,,,
Liaoning Province,1989,1A2G,Oil,,,,,,,
Liaoning Province,1989,1A2H,Coal,,,,,,,
Liaoning Province,1989,1A2H,Natural gas,,,,,,,
Liaoning Province,1989,1A2H,Oil,,,,,,,
Liaoning Province,1989,1A2I,Coal,,,,,,,
Liaoning Province,1989,1A2I,Natural gas,,,,,,,
Liaoning Province,1989,1A2I,Oil,,,,,,,
Liaoning Province,1989,1A2J,Coal,,,,,,,
Liaoning Province,1989,1A2J,Natural gas,,,,,,,
Liaoning Province,1989,1A2J,Oil,,,,,,,
Liaoning Province,1989,1A2K,Coal,,,,,,,
Liaoning Province,1989,1A2K,Natural gas,,,,,,,
Liaoning Province,1989,1A2K,Oil,,,,,,,
Liaoning Province,1989,1A2L,Coal,,,,,,,
Liaoning Province,1989,1A2L,Natural gas,,,,,,,
Liaoning Province,1989,1A2L,Oil,,,,,,,
Liaoning Province,1989,1A2M,Coal,,,,,,,
Liaoning Province,1989,1A2M,Natural gas,,,,,,,
Liaoning Province,1989,1A2M,Oil,,,,,,,
Liaoning Province,1989,1A3,Coal,,,,,,,
Liaoning Province,1989,1A3,Natural gas,,,,,,,
Liaoning Province,1989,1A3,Oil,,,,,,,
Liaoning Province,1989,1A3A,Coal,,,,,,,
Liaoning Province,1989,1A3A,Natural gas,,,,,,,
Liaoning Province,1989,1A3A,Oil,,,,,,,
Liaoning Province,1989,1A3A1,Coal,,,,,,,
Liaoning Province,1989,1A3A1,Natural gas,,,,,,,
Liaoning Province,1989,1A3A1,Oil,,,,,,,
Liaoning Province,1989,1A3A2,Coal,,,,,,,
Liaoning Province,1989,1A3A2,Natural gas,,,,,,,
Liaoning Province,1989,1A3A2,Oil,,,,,,,
Liaoning Province,1989,1A3B,Coal,,,,,,,
Liaoning Province,1989,1A3B,Natural gas,,,,,,,
Liaoning Province,1989,1A3B,Oil,,,,,,,
Liaoning Province,1989,1A3C,Coal,,,,,,,
Liaoning Province,1989,1A3C,Natural gas,,,,,,,
Liaoning Province,1989,1A3C,Oil,,,,,,,
Liaoning Province,1989,1A3D,Coal,,,,,,,
Liaoning Province,1989,1A3D,Natural gas,,,,,,,
Liaoning Province,1989,1A3D,Oil,,,,,,,
Liaoning Province,1989,1A3D1,Coal,,,,,,,
Liaoning Province,1989,1A3D1,Natural gas,,,,,,,
Liaoning Province,1989,1A3D1,Oil,,,,,,,
Liaoning Province,1989,1A3D2,Coal,,,,,,,
Liaoning Province,1989,1A3D2,Natural gas,,,,,,,
Liaoning Province,1989,1A3D2,Oil,,,,,,,
Liaoning Province,1989,1A3E,Coal,,,,,,,
Liaoning Province,1989,1A3E,Natural gas,,,,,,,
Liaoning Province,1989,1A3E,Oil,,,,,,,
Liaoning Province,1989,1A3E1,Coal,,,,,,,
Liaoning Province,1989,1A3E1,Natural gas,,,,,,,
Liaoning Province,1989,1A3E1,Oil,,,,,,,
Liaoning Province,1989,1A4,Coal,,,,,,,
Liaoning Province,1989,1A4,Natural gas,,,,,,,
Liaoning Province,1989,1A4,Oil,,,,,,,
Liaoning Province,1989,1A4A,Coal,,,,,,,
Liaoning Province,1989,1A4A,Natural gas,,,,,,,
Liaoning Province,1989,1A4A,Oil,,,,,,,
Liaoning Province,1989,1A4B,Coal,,,,,,,
Liaoning Province,1989,1A4B,Natural gas,,,,,,,
Liaoning Province,1989,1A4B,Oil,,,,,,,
Liaoning Province,1989,1A4C,Coal,,,,,,,
Liaoning Province,1989,1A4C,Natural gas,,,,,,,
Liaoning Province,1989,1A4C,Oil,,,,,,,
Liaoning Province,1989,1A4C1,Coal,,,,,,,
Liaoning Province,1989,1A4C1,Natural gas,,,,,,,
Liaoning Province,1989,1A4C1,Oil,,,,,,,
Liaoning Province,1989,1A4C2,Coal,,,,,,,
Liaoning Province,1989,1A4C2,Natural gas,,,,,,,
Liaoning Province,1989,1A4C2,Oil,,,,,,,
Liaoning Province,1989,1A4C3,Coal,,,,,,,
Liaoning Province,1989,1A4C3,Natural gas,,,,,,,
Liaoning Province,1989,1A4C3,Oil,,,,,,,
Liaoning Province,1989,1A5,Coal,,,,,,,
Liaoning Province,1989,1A5,Natural gas,,,,,,,
Liaoning Province,1989,1A5,Oil,,,,,,,
Liaoning Province,1989,1A5A,Coal,,,,,,,
Liaoning Province,1989,1A5A,Natural gas,,,,,,,
Liaoning Province,1989,1A5A,Oil,,,,,,,
Liaoning Province,1989,1A5B,Coal,,,,,,,
Liaoning Province,1989,1A5B,Natural gas,,,,,,,
Liaoning Province,1989,1A5B,Oil,,,,,,,
Liaoning Province,1989,1A5C,Coal,,,,,,,
Liaoning Province,1989,1A5C,Natural gas,,,,,,,
Liaoning Province,1989,1A5C,Oil,,,,,,,
Liaoning Province,1989,1B,,,,,,,,
Liaoning Province,1989,1B1,,,,,,,,
Liaoning Province,1989,1B1A,,,,,,,,
Liaoning Province,1989,1B1A1,,,,,,,,
Liaoning Province,1989,1B1A11,,,,,,,,
Liaoning Province,1989,1B1A12,,,,,,,,
Liaoning Province,1989,1B1A13,,,,,,,,
Liaoning Province,1989,1B1A14,,,,,,,,
Liaoning Province,1989,1B1A2,,,,,,,,
Liaoning Province,1989,1B1A21,,,,,,,,
Liaoning Province,1989,1B1A22,,,,,,,,
Liaoning Province,1989,1B1B,,,,,,,,
Liaoning Province,1989,1B2,,,,,,,,
Liaoning Province,1989,1B2A,,,,,,,,
Liaoning Province,1989,1B2A1,,,,,,,,
Liaoning Province,1989,1B2A2,,,,,,,,
Liaoning Province,1989,1B2A3,,,,,,,,
Liaoning Province,1989,1B2A31,,,,,,,,
Liaoning Province,1989,1B2A32,,,,,,,,
Liaoning Province,1989,1B2A33,,,,,,,,
Liaoning Province,1989,1B2A34,,,,,,,,
Liaoning Province,1989,1B2A35,,,,,,,,
Liaoning Province,1989,1B2A36,,,,,,,,
Liaoning Province,1989,1B2B,,,,,,,,
Liaoning Province,1989,1B2B1,,,,,,,,
Liaoning Province,1989,1B2B2,,,,,,,,
Liaoning Province,1989,1B2B3,,,,,,,,
Liaoning Province,1989,1B2B31,,,,,,,,
Liaoning Province,1989,1B2B32,,,,,,,,
Liaoning Province,1989,1B2B33,,,,,,,,
Liaoning Province,1989,1B2B34,,,,,,,,
Liaoning Province,1989,1B2B35,,,,,,,,
Liaoning Province,1989,1B2B36,,,,,,,,
Liaoning Province,1989,1B3,,,,,,,,
Liaoning Province,1989,1C,,,,,,,,
Liaoning Province,1989,1C1,,,,,,,,
Liaoning Province,1989,1C1A,,,,,,,,
Liaoning Province,1989,1C1B,,,,,,,,
Liaoning Province,1989,1C1C,,,,,,,,
Liaoning Province,1989,1C2,,,,,,,,
Liaoning Province,1989,1C2A,,,,,,,,
Liaoning Province,1989,1C2B,,,,,,,,
Liaoning Province,1989,1C3,,,,,,,,
Liaoning Province,1989,2A,,,,,,,,
Liaoning Province,1989,2A1,,,,,,,,
Liaoning Province,1989,2A2,,,,,,,,
Liaoning Province,1989,2A3,,,,,,,,
Liaoning Province,1989,2A4,,,,,,,,
Liaoning Province,1989,2A4A,,,,,,,,
Liaoning Province,1989,2A4B,,,,,,,,
Liaoning Province,1989,2A4C,,,,,,,,
Liaoning Province,1989,2A4D,,,,,,,,
Liaoning Province,1989,2B,,,,,,,,
Liaoning Province,1989,2B1,,,,,,,,
Liaoning Province,1989,2B10,,,,,,,,
Liaoning Province,1989,2B2,,,,,,,,
Liaoning Province,1989,2B3,,,,,,,,
Liaoning Province,1989,2B4,,,,,,,,
Liaoning Province,1989,2B5,,,,,,,,
