jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate,tax_2,tax_2_rate_excl_ex_clcu
Mie,1989,0,,,,,,,,
Mie,1989,1,,,,,,,,
Mie,1989,2,,,,,,,,
Mie,1989,3,,,,,,,,
Mie,1989,4,,,,,,,,
Mie,1989,5,,,,,,,,
Mie,1989,1A,Coal,,,,,,,
Mie,1989,1A,Natural gas,,,,,,,
Mie,1989,1A,Oil,,,,,,,
Mie,1989,1A1,Coal,,,,,,,
Mie,1989,1A1,Natural gas,,,,,,,
Mie,1989,1A1,Oil,,,,,,,
Mie,1989,1A1A,Coal,,,,,,,
Mie,1989,1A1A,Natural gas,,,,,,,
Mie,1989,1A1A,Oil,,,,,,,
Mie,1989,1A1A1,Coal,,,,,,,
Mie,1989,1A1A1,Natural gas,,,,,,,
Mie,1989,1A1A1,Oil,,,,,,,
Mie,1989,1A1A2,Coal,,,,,,,
Mie,1989,1A1A2,Natural gas,,,,,,,
Mie,1989,1A1A2,Oil,,,,,,,
Mie,1989,1A1A3,Coal,,,,,,,
Mie,1989,1A1A3,Natural gas,,,,,,,
Mie,1989,1A1A3,Oil,,,,,,,
Mie,1989,1A1B,Coal,,,,,,,
Mie,1989,1A1B,Natural gas,,,,,,,
Mie,1989,1A1B,Oil,,,,,,,
Mie,1989,1A1C,Coal,,,,,,,
Mie,1989,1A1C,Natural gas,,,,,,,
Mie,1989,1A1C,Oil,,,,,,,
Mie,1989,1A2,Coal,,,,,,,
Mie,1989,1A2,Natural gas,,,,,,,
Mie,1989,1A2,Oil,,,,,,,
Mie,1989,1A2A,Coal,,,,,,,
Mie,1989,1A2A,Natural gas,,,,,,,
Mie,1989,1A2A,Oil,,,,,,,
Mie,1989,1A2B,Coal,,,,,,,
Mie,1989,1A2B,Natural gas,,,,,,,
Mie,1989,1A2B,Oil,,,,,,,
Mie,1989,1A2C,Coal,,,,,,,
Mie,1989,1A2C,Natural gas,,,,,,,
Mie,1989,1A2C,Oil,,,,,,,
Mie,1989,1A2D,Coal,,,,,,,
Mie,1989,1A2D,Natural gas,,,,,,,
Mie,1989,1A2D,Oil,,,,,,,
Mie,1989,1A2E,Coal,,,,,,,
Mie,1989,1A2E,Natural gas,,,,,,,
Mie,1989,1A2E,Oil,,,,,,,
Mie,1989,1A2F,Coal,,,,,,,
Mie,1989,1A2F,Natural gas,,,,,,,
Mie,1989,1A2F,Oil,,,,,,,
Mie,1989,1A2G,Coal,,,,,,,
Mie,1989,1A2G,Natural gas,,,,,,,
Mie,1989,1A2G,Oil,,,,,,,
Mie,1989,1A2H,Coal,,,,,,,
Mie,1989,1A2H,Natural gas,,,,,,,
Mie,1989,1A2H,Oil,,,,,,,
Mie,1989,1A2I,Coal,,,,,,,
Mie,1989,1A2I,Natural gas,,,,,,,
Mie,1989,1A2I,Oil,,,,,,,
Mie,1989,1A2J,Coal,,,,,,,
Mie,1989,1A2J,Natural gas,,,,,,,
Mie,1989,1A2J,Oil,,,,,,,
Mie,1989,1A2K,Coal,,,,,,,
Mie,1989,1A2K,Natural gas,,,,,,,
Mie,1989,1A2K,Oil,,,,,,,
Mie,1989,1A2L,Coal,,,,,,,
Mie,1989,1A2L,Natural gas,,,,,,,
Mie,1989,1A2L,Oil,,,,,,,
Mie,1989,1A2M,Coal,,,,,,,
Mie,1989,1A2M,Natural gas,,,,,,,
Mie,1989,1A2M,Oil,,,,,,,
Mie,1989,1A3,Coal,,,,,,,
Mie,1989,1A3,Natural gas,,,,,,,
Mie,1989,1A3,Oil,,,,,,,
Mie,1989,1A3A,Coal,,,,,,,
Mie,1989,1A3A,Natural gas,,,,,,,
Mie,1989,1A3A,Oil,,,,,,,
Mie,1989,1A3A1,Coal,,,,,,,
Mie,1989,1A3A1,Natural gas,,,,,,,
Mie,1989,1A3A1,Oil,,,,,,,
Mie,1989,1A3A2,Coal,,,,,,,
Mie,1989,1A3A2,Natural gas,,,,,,,
Mie,1989,1A3A2,Oil,,,,,,,
Mie,1989,1A3B,Coal,,,,,,,
Mie,1989,1A3B,Natural gas,,,,,,,
Mie,1989,1A3B,Oil,,,,,,,
Mie,1989,1A3C,Coal,,,,,,,
Mie,1989,1A3C,Natural gas,,,,,,,
Mie,1989,1A3C,Oil,,,,,,,
Mie,1989,1A3D,Coal,,,,,,,
Mie,1989,1A3D,Natural gas,,,,,,,
Mie,1989,1A3D,Oil,,,,,,,
Mie,1989,1A3D1,Coal,,,,,,,
Mie,1989,1A3D1,Natural gas,,,,,,,
Mie,1989,1A3D1,Oil,,,,,,,
Mie,1989,1A3D2,Coal,,,,,,,
Mie,1989,1A3D2,Natural gas,,,,,,,
Mie,1989,1A3D2,Oil,,,,,,,
Mie,1989,1A3E,Coal,,,,,,,
Mie,1989,1A3E,Natural gas,,,,,,,
Mie,1989,1A3E,Oil,,,,,,,
Mie,1989,1A3E1,Coal,,,,,,,
Mie,1989,1A3E1,Natural gas,,,,,,,
Mie,1989,1A3E1,Oil,,,,,,,
Mie,1989,1A4,Coal,,,,,,,
Mie,1989,1A4,Natural gas,,,,,,,
Mie,1989,1A4,Oil,,,,,,,
