jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate,tax_2,tax_2_rate_excl_ex_clcu
Minnesota,1989,0,,,,,,,,
Minnesota,1989,1,,,,,,,,
Minnesota,1989,2,,,,,,,,
Minnesota,1989,3,,,,,,,,
Minnesota,1989,4,,,,,,,,
Minnesota,1989,5,,,,,,,,
Minnesota,1989,1A,Coal,,,,,,,
Minnesota,1989,1A,Natural gas,,,,,,,
Minnesota,1989,1A,Oil,,,,,,,
Minnesota,1989,1A1,Coal,,,,,,,
Minnesota,1989,1A1,Natural gas,,,,,,,
Minnesota,1989,1A1,Oil,,,,,,,
Minnesota,1989,1A1A,Coal,,,,,,,
Minnesota,1989,1A1A,Natural gas,,,,,,,
Minnesota,1989,1A1A,Oil,,,,,,,
Minnesota,1989,1A1A1,Coal,,,,,,,
Minnesota,1989,1A1A1,Natural gas,,,,,,,
Minnesota,1989,1A1A1,Oil,,,,,,,
Minnesota,1989,1A1A2,Coal,,,,,,,
Minnesota,1989,1A1A2,Natural gas,,,,,,,
Minnesota,1989,1A1A2,Oil,,,,,,,
Minnesota,1989,1A1A3,Coal,,,,,,,
Minnesota,1989,1A1A3,Natural gas,,,,,,,
Minnesota,1989,1A1A3,Oil,,,,,,,
Minnesota,1989,1A1B,Coal,,,,,,,
Minnesota,1989,1A1B,Natural gas,,,,,,,
Minnesota,1989,1A1B,Oil,,,,,,,
Minnesota,1989,1A1C,Coal,,,,,,,
Minnesota,1989,1A1C,Natural gas,,,,,,,
Minnesota,1989,1A1C,Oil,,,,,,,
Minnesota,1989,1A2,Coal,,,,,,,
Minnesota,1989,1A2,Natural gas,,,,,,,
Minnesota,1989,1A2,Oil,,,,,,,
Minnesota,1989,1A2A,Coal,,,,,,,
Minnesota,1989,1A2A,Natural gas,,,,,,,
Minnesota,1989,1A2A,Oil,,,,,,,
Minnesota,1989,1A2B,Coal,,,,,,,
Minnesota,1989,1A2B,Natural gas,,,,,,,
Minnesota,1989,1A2B,Oil,,,,,,,
Minnesota,1989,1A2C,Coal,,,,,,,
Minnesota,1989,1A2C,Natural gas,,,,,,,
Minnesota,1989,1A2C,Oil,,,,,,,
Minnesota,1989,1A2D,Coal,,,,,,,
Minnesota,1989,1A2D,Natural gas,,,,,,,
Minnesota,1989,1A2D,Oil,,,,,,,
Minnesota,1989,1A2E,Coal,,,,,,,
Minnesota,1989,1A2E,Natural gas,,,,,,,
Minnesota,1989,1A2E,Oil,,,,,,,
Minnesota,1989,1A2F,Coal,,,,,,,
Minnesota,1989,1A2F,Natural gas,,,,,,,
Minnesota,1989,1A2F,Oil,,,,,,,
Minnesota,1989,1A2G,Coal,,,,,,,
Minnesota,1989,1A2G,Natural gas,,,,,,,
Minnesota,1989,1A2G,Oil,,,,,,,
Minnesota,1989,1A2H,Coal,,,,,,,
Minnesota,1989,1A2H,Natural gas,,,,,,,
Minnesota,1989,1A2H,Oil,,,,,,,
Minnesota,1989,1A2I,Coal,,,,,,,
Minnesota,1989,1A2I,Natural gas,,,,,,,
Minnesota,1989,1A2I,Oil,,,,,,,
Minnesota,1989,1A2J,Coal,,,,,,,
Minnesota,1989,1A2J,Natural gas,,,,,,,
Minnesota,1989,1A2J,Oil,,,,,,,
Minnesota,1989,1A2K,Coal,,,,,,,
Minnesota,1989,1A2K,Natural gas,,,,,,,
Minnesota,1989,1A2K,Oil,,,,,,,
Minnesota,1989,1A2L,Coal,,,,,,,
Minnesota,1989,1A2L,Natural gas,,,,,,,
