jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate,tax_2,tax_2_rate_excl_ex_clcu
Nagano,1989,0,,,,,,,,
Nagano,1989,1,,,,,,,,
Nagano,1989,2,,,,,,,,
Nagano,1989,3,,,,,,,,
Nagano,1989,4,,,,,,,,
Nagano,1989,5,,,,,,,,
Nagano,1989,1A,Coal,,,,,,,
Nagano,1989,1A,Natural gas,,,,,,,
Nagano,1989,1A,Oil,,,,,,,
Nagano,1989,1A1,Coal,,,,,,,
Nagano,1989,1A1,Natural gas,,,,,,,
Nagano,1989,1A1,Oil,,,,,,,
Nagano,1989,1A1A,Coal,,,,,,,
Nagano,1989,1A1A,Natural gas,,,,,,,
Nagano,1989,1A1A,Oil,,,,,,,
Nagano,1989,1A1A1,Coal,,,,,,,
Nagano,1989,1A1A1,Natural gas,,,,,,,
Nagano,1989,1A1A1,Oil,,,,,,,
Nagano,1989,1A1A2,Coal,,,,,,,
Nagano,1989,1A1A2,Natural gas,,,,,,,
Nagano,1989,1A1A2,Oil,,,,,,,
Nagano,1989,1A1A3,Coal,,,,,,,
Nagano,1989,1A1A3,Natural gas,,,,,,,
Nagano,1989,1A1A3,Oil,,,,,,,
Nagano,1989,1A1B,Coal,,,,,,,
Nagano,1989,1A1B,Natural gas,,,,,,,
Nagano,1989,1A1B,Oil,,,,,,,
Nagano,1989,1A1C,Coal,,,,,,,
Nagano,1989,1A1C,Natural gas,,,,,,,
Nagano,1989,1A1C,Oil,,,,,,,
Nagano,1989,1A2,Coal,,,,,,,
Nagano,1989,1A2,Natural gas,,,,,,,
Nagano,1989,1A2,Oil,,,,,,,
Nagano,1989,1A2A,Coal,,,,,,,
Nagano,1989,1A2A,Natural gas,,,,,,,
Nagano,1989,1A2A,Oil,,,,,,,
Nagano,1989,1A2B,Coal,,,,,,,
Nagano,1989,1A2B,Natural gas,,,,,,,
Nagano,1989,1A2B,Oil,,,,,,,
Nagano,1989,1A2C,Coal,,,,,,,
Nagano,1989,1A2C,Natural gas,,,,,,,
Nagano,1989,1A2C,Oil,,,,,,,
Nagano,1989,1A2D,Coal,,,,,,,
Nagano,1989,1A2D,Natural gas,,,,,,,
Nagano,1989,1A2D,Oil,,,,,,,
Nagano,1989,1A2E,Coal,,,,,,,
Nagano,1989,1A2E,Natural gas,,,,,,,
Nagano,1989,1A2E,Oil,,,,,,,
Nagano,1989,1A2F,Coal,,,,,,,
Nagano,1989,1A2F,Natural gas,,,,,,,
Nagano,1989,1A2F,Oil,,,,,,,
Nagano,1989,1A2G,Coal,,,,,,,
Nagano,1989,1A2G,Natural gas,,,,,,,
Nagano,1989,1A2G,Oil,,,,,,,
Nagano,1989,1A2H,Coal,,,,,,,
Nagano,1989,1A2H,Natural gas,,,,,,,
Nagano,1989,1A2H,Oil,,,,,,,
Nagano,1989,1A2I,Coal,,,,,,,
Nagano,1989,1A2I,Natural gas,,,,,,,
Nagano,1989,1A2I,Oil,,,,,,,
Nagano,1989,1A2J,Coal,,,,,,,
Nagano,1989,1A2J,Natural gas,,,,,,,
Nagano,1989,1A2J,Oil,,,,,,,
Nagano,1989,1A2K,Coal,,,,,,,
Nagano,1989,1A2K,Natural gas,,,,,,,
Nagano,1989,1A2K,Oil,,,,,,,
Nagano,1989,1A2L,Coal,,,,,,,
Nagano,1989,1A2L,Natural gas,,,,,,,
Nagano,1989,1A2L,Oil,,,,,,,
Nagano,1989,1A2M,Coal,,,,,,,
Nagano,1989,1A2M,Natural gas,,,,,,,
Nagano,1989,1A2M,Oil,,,,,,,
Nagano,1989,1A3,Coal,,,,,,,
Nagano,1989,1A3,Natural gas,,,,,,,
Nagano,1989,1A3,Oil,,,,,,,
Nagano,1989,1A3A,Coal,,,,,,,
Nagano,1989,1A3A,Natural gas,,,,,,,
Nagano,1989,1A3A,Oil,,,,,,,
Nagano,1989,1A3A1,Coal,,,,,,,
Nagano,1989,1A3A1,Natural gas,,,,,,,
Nagano,1989,1A3A1,Oil,,,,,,,
Nagano,1989,1A3A2,Coal,,,,,,,
Nagano,1989,1A3A2,Natural gas,,,,,,,
Nagano,1989,1A3A2,Oil,,,,,,,
Nagano,1989,1A3B,Coal,,,,,,,
Nagano,1989,1A3B,Natural gas,,,,,,,
Nagano,1989,1A3B,Oil,,,,,,,
Nagano,1989,1A3C,Coal,,,,,,,
Nagano,1989,1A3C,Natural gas,,,,,,,
Nagano,1989,1A3C,Oil,,,,,,,
Nagano,1989,1A3D,Coal,,,,,,,
Nagano,1989,1A3D,Natural gas,,,,,,,
Nagano,1989,1A3D,Oil,,,,,,,
Nagano,1989,1A3D1,Coal,,,,,,,
Nagano,1989,1A3D1,Natural gas,,,,,,,
Nagano,1989,1A3D1,Oil,,,,,,,
Nagano,1989,1A3D2,Coal,,,,,,,
Nagano,1989,1A3D2,Natural gas,,,,,,,
Nagano,1989,1A3D2,Oil,,,,,,,
Nagano,1989,1A3E,Coal,,,,,,,
Nagano,1989,1A3E,Natural gas,,,,,,,
Nagano,1989,1A3E,Oil,,,,,,,
Nagano,1989,1A3E1,Coal,,,,,,,
Nagano,1989,1A3E1,Natural gas,,,,,,,
Nagano,1989,1A3E1,Oil,,,,,,,
Nagano,1989,1A4,Coal,,,,,,,
Nagano,1989,1A4,Natural gas,,,,,,,
Nagano,1989,1A4,Oil,,,,,,,
Nagano,1989,1A4A,Coal,,,,,,,
Nagano,1989,1A4A,Natural gas,,,,,,,
Nagano,1989,1A4A,Oil,,,,,,,
Nagano,1989,1A4B,Coal,,,,,,,
Nagano,1989,1A4B,Natural gas,,,,,,,
Nagano,1989,1A4B,Oil,,,,,,,
Nagano,1989,1A4C,Coal,,,,,,,
Nagano,1989,1A4C,Natural gas,,,,,,,
Nagano,1989,1A4C,Oil,,,,,,,
Nagano,1989,1A4C1,Coal,,,,,,,
Nagano,1989,1A4C1,Natural gas,,,,,,,
Nagano,1989,1A4C1,Oil,,,,,,,
Nagano,1989,1A4C2,Coal,,,,,,,
Nagano,1989,1A4C2,Natural gas,,,,,,,
Nagano,1989,1A4C2,Oil,,,,,,,
Nagano,1989,1A4C3,Coal,,,,,,,
Nagano,1989,1A4C3,Natural gas,,,,,,,
Nagano,1989,1A4C3,Oil,,,,,,,
Nagano,1989,1A5,Coal,,,,,,,
Nagano,1989,1A5,Natural gas,,,,,,,
Nagano,1989,1A5,Oil,,,,,,,
Nagano,1989,1A5A,Coal,,,,,,,
Nagano,1989,1A5A,Natural gas,,,,,,,
Nagano,1989,1A5A,Oil,,,,,,,
Nagano,1989,1A5B,Coal,,,,,,,
